i	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	1-3年	面议	2020年04月25日	29911-UI工程师	北京	腾讯	https://www.liepin.com/job/1927757849.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
1	2	本科及以上	3-5年	面议	2020年04月25日	24012-UI设计师	深圳	腾讯	https://www.liepin.com/job/1924517327.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
2	3	本科及以上	5-10年	面议	2020年04月25日	18302-UI设计组长	深圳	腾讯	https://www.liepin.com/job/1927414895.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
3	4	本科及以上	3-5年	面议	2020年04月25日	15618-UI视觉设计师	上海	腾讯	https://www.liepin.com/job/1927414925.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
4	5	本科及以上	3-5年	面议	2020年04月25日	15570-游戏UI设计（深圳）	深圳	腾讯	https://www.liepin.com/job/1927141545.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
5	6	大专及以上	5-10年	面议	2020年04月25日	15618-UI设计师（上海）	上海	腾讯	https://www.liepin.com/job/1926500781.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
6	7	本科及以上	1-3年	面议	2020年04月25日	HY6-UI开发(重构)	深圳	腾讯	https://www.liepin.com/job/1927497127.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
7	8	本科及以上	5-10年	面议	2020年04月25日	32032-高级UI视觉设计师	深圳	腾讯	https://www.liepin.com/job/1926284421.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
8	9	统招本科	5-10年	面议	2020年04月25日	资深UI设计师（北京）		京东数字科技控股有限公司	https://www.liepin.com/job/1924990763.shtml	https://www.liepin.com/company/215535/	0	2018互联网300强	界面设计	0
9	10	本科及以上	3-5年	面议	2020年04月25日	15616-高级UI设计师（上海）	上海	腾讯	https://www.liepin.com/job/1927497099.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
10	11	大专及以上	5-10年	面议	2020年04月25日	28937-游戏UI视觉设计（深圳）	深圳	腾讯	https://www.liepin.com/job/1927038123.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
11	12	本科及以上	5-10年	面议	2020年04月25日	15569-QQ飞车高级视觉UI设计师	深圳	腾讯	https://www.liepin.com/job/1925864395.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
12	13	本科及以上	1-3年	面议	2020年04月25日	30933-高级UI设计师（深圳）	深圳	腾讯	https://www.liepin.com/job/1924434883.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
13	14	本科及以上	1-3年	面议	2020年04月25日	15712-游戏UI视觉设计(深圳)	深圳	腾讯	https://www.liepin.com/job/1926713539.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
14	15	本科及以上	3-5年	面议	2020年04月25日	29923-高级UI设计师（上海）	上海	腾讯	https://www.liepin.com/job/1927657275.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
15	16	大专及以上	3-5年	面议	2020年04月25日	32032-UI美术视觉设计(深圳）	深圳	腾讯	https://www.liepin.com/job/1927100399.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
16	17	大专及以上	5-10年	面议	2020年04月25日	15612-高级游戏UI设计师（北京）	北京	腾讯	https://www.liepin.com/job/1926500791.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
17	18	本科及以上	5-10年	面议	2020年04月25日	15569-竞速游戏UI视觉组长（深圳）	深圳	腾讯	https://www.liepin.com/job/1925864393.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
18	19	大专及以上	3-5年	面议	2020年04月25日	24012-游戏UI视觉设计师（深圳）	深圳	腾讯	https://www.liepin.com/job/1926578293.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
19	20	本科及以上	3-5年	面议	2020年04月25日	58301-24987-无限法则-UI设计师	上海	腾讯	https://www.liepin.com/job/1926492461.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
20	21	大专及以上	5-10年	面议	2020年04月25日	15569-魂斗罗高级UI设计师（深圳）	深圳	腾讯	https://www.liepin.com/job/1926101643.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
21	22	本科及以上	3-5年	面议	2020年04月25日	15614-天刀UI视觉设计师(上海	上海	腾讯	https://www.liepin.com/job/1924409413.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
22	23	本科及以上	3-5年	面议	2020年04月25日	22989-高级UI开发工程师（深圳）	深圳	腾讯	https://www.liepin.com/job/1926317799.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
23	24	本科及以上	3-5年	面议	2020年04月25日	TME-QQ音乐UI开发工程师（深圳）	深圳	腾讯	https://www.liepin.com/job/1925538439.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
24	25	本科及以上	经验不限	面议	2020年04月25日	58864-28966-移动端UI设计师(深圳)	深圳	腾讯	https://www.liepin.com/job/1926795627.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
25	26	本科及以上	3-5年	面议	2020年04月25日	15570-RPG手游UI设计师（深圳）	深圳	腾讯	https://www.liepin.com/job/1924681743.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
26	27	大专及以上	5-10年	面议	2020年04月25日	15712-Visual Artist for Game UI(Los Angeles)	深圳	腾讯	https://www.liepin.com/job/1926008429.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
27	28	本科及以上	3-5年	面议	2020年04月25日	21882-腾讯医典-UI视觉设计师（北京）	北京	腾讯	https://www.liepin.com/job/1926658783.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
28	29	本科及以上	3-5年	面议	2020年04月25日	21882-腾讯医典-UI视觉设计师（深圳）	深圳	腾讯	https://www.liepin.com/job/1926658781.shtml	https://www.liepin.com/company/7983148/	0	2018互联网300强	界面设计	0
29	30	本科及以上	3-5年	面议	2020年04月24日	UI设计师	北京	京东数字科技控股有限公司	https://www.liepin.com/job/1926867841.shtml	https://www.liepin.com/company/215535/	0	2018互联网300强	界面设计	0
30	31	本科及以上	3-5年	10-20k·12薪	2020年04月24日	UI设计师	北京	小米	https://www.liepin.com/job/1926743219.shtml	https://www.liepin.com/company/2174886/	0	2018互联网300强	界面设计	0
31	32	本科及以上	3-5年	15-25k·12薪	2020年04月24日	UI设计师		小米	https://www.liepin.com/job/1926597657.shtml	https://www.liepin.com/company/2174886/	0	2018互联网300强	界面设计	0
