	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	统招本科	3-5年	20-40k·12薪	2020年04月07日	产品经理 (MJ000613)		虎牙直播	https://www.liepin.com/job/1921238177.shtml	https://www.liepin.com/company/9287281/	342	独角兽	UI设计	6
1	2	本科及以上	经验不限	18-30k·12薪	2020年04月07日	Android开发工程师（内部系统方向） (MJ000578)	广州-番禺区	虎牙直播	https://www.liepin.com/job/1920648887.shtml	https://www.liepin.com/company/9287281/	342	独角兽	UI设计	6
2	3	统招本科	经验不限	面议	2020年04月07日	Android开发工程师（内部系统方向） (MJ000578)	广州	虎牙直播	https://www.liepin.com/job/1920604265.shtml	https://www.liepin.com/company/9287281/	342	独角兽	UI设计	6
3	4	本科及以上	1-3年	11-15k·12薪	2020年04月07日	Cocos2d开发工程师	广州	虎牙直播	https://www.liepin.com/job/1919010481.shtml	https://www.liepin.com/company/9287281/	342	独角兽	UI设计	6
4	5	学历不限	1-3年	25-50k·12薪	2020年04月07日	Cocos2d开发工程师	广州-番禺区	虎牙直播	https://www.liepin.com/job/1917651405.shtml	https://www.liepin.com/company/9287281/	342	独角兽	UI设计	6
5	6	本科及以上	5-10年	15-20k·12薪	2020年04月07日	游戏动作特效	广州-番禺区	虎牙直播	https://www.liepin.com/job/1917510401.shtml	https://www.liepin.com/company/9287281/	342	独角兽	UI设计	6
6	7	硕士及以上	经验不限	面议	2020年04月02日	121886高级光学算法工程师	深圳-南山区	大疆创新	https://www.liepin.com/job/1925801621.shtml	https://www.liepin.com/company/2495108/	342	独角兽	UI设计	6
7	8	统招本科	1-3年	面议	2020年04月02日	前端开发工程师	杭州-长河	华为	https://www.liepin.com/job/1927188651.shtml	https://www.liepin.com/company/954482/	342	独角兽	UI设计	6
8	9	统招本科	1-3年	面议	2020年04月02日	前端开发工程师	西安-雁塔区	华为	https://www.liepin.com/job/1927188649.shtml	https://www.liepin.com/company/954482/	342	独角兽	UI设计	6
9	10	统招本科	3-5年	20-35k·12薪	2020年04月03日	高级前端开发工程师	北京	每日优鲜	https://www.liepin.com/job/1919319893.shtml	https://www.liepin.com/company/8398578/	342	独角兽	UI设计	6
10	11	学历不限	5-10年	面议	2020年02月29日	高级UXUI设计师	深圳-南山区	众安在线财产保险	https://www.liepin.com/job/1924944967.shtml	https://www.liepin.com/company/7962446/	342	独角兽	UI设计	6
11	12	统招本科	5-10年	面议	2019年06月05日	高级视觉设计经理	深圳	华为	https://www.liepin.com/job/1915523101.shtml	https://www.liepin.com/company/954482/	342	独角兽	UI设计	6
12	13	统招本科	3-5年	30-50k·12薪	2020年01月21日	主创视觉设计师	深圳-龙岗区	华为	https://www.liepin.com/job/1916851101.shtml	https://www.liepin.com/company/954482/	342	独角兽	UI设计	6
13	14	本科及以上	3-5年	10-15k·15薪	2020年01月20日	交互设计师	上海-长宁区	明略科技集团	https://www.liepin.com/job/1925631655.shtml	https://www.liepin.com/company/8550487/	342	独角兽	UI设计	6
14	15	大专及以上	3-5年	15-30k·12薪	2020年04月03日	高级Android开发工程师(001641)	上海	北京奇安信科技有限公司	https://www.liepin.com/job/1920629119.shtml	https://www.liepin.com/company/8879588/	342	独角兽	UI设计	6
15	16	统招本科	3-5年	15-20k·12薪	2020年02月25日	产品设计师	杭州-西溪	个推	https://www.liepin.com/job/1921430271.shtml	https://www.liepin.com/company/8155730/	342	独角兽	UI设计	6
16	17	大专及以上	3-5年	15-20k·12薪	2019年02月21日	安卓开发工程师（硬件产品app开发）	深圳-龙岗区	物联传感	https://www.liepin.com/job/1917466677.shtml	https://www.liepin.com/company/7881157/	342	独角兽	UI设计	6
17	18	本科及以上	3-5年	10-15k·12薪	2020年04月02日	视觉设计师	珠海	珠海市魅族科技有限公司	https://www.liepin.com/job/1923780183.shtml	https://www.liepin.com/company/8519520/	342	独角兽	UI设计	6
18	19	统招本科	3-5年	10-20k·12薪	2020年01月02日	企业移动化应用产品设计师	武汉-光谷	北京青云科技股份有限公司	https://www.liepin.com/job/1925595033.shtml	https://www.liepin.com/company/8697054/	342	独角兽	UI设计	6
19	20	本科及以上	3-5年	25-45k·16薪	2020年04月02日	移动终端高级技术顾问	深圳	腾讯云计算(北京)有限责任公司	https://www.liepin.com/job/1927195443.shtml	https://www.liepin.com/company/9802487/	342	独角兽	UI设计	6
20	21	统招本科	1-3年	15-25k·12薪	2020年04月02日	移动端测试工程师		NewDada新达达	https://www.liepin.com/job/1927175291.shtml	https://www.liepin.com/company/8512676/	342	独角兽	UI设计	6
21	22	本科及以上	5-10年	面议	2020年04月02日	122036 高级Android开发工程师（北京）		大疆创新	https://www.liepin.com/job/1926961085.shtml	https://www.liepin.com/company/2495108/	342	独角兽	UI设计	6
22	23	本科及以上	5-10年	15-30k·12薪	2020年04月02日	高级Android开发工程师	上海-杨浦区	找钢网	https://www.liepin.com/job/1926081415.shtml	https://www.liepin.com/company/7863280/	342	独角兽	UI设计	6
23	24	本科及以上	5-10年	15-30k·12薪	2020年04月02日	高级iOS开发工程师	上海-杨浦区	找钢网	https://www.liepin.com/job/1926081367.shtml	https://www.liepin.com/company/7863280/	342	独角兽	UI设计	6
24	25	本科及以上	5-10年	15-20k·12薪	2020年04月02日	前端开发工程师	珠海	珠海市魅族科技有限公司	https://www.liepin.com/job/1923780181.shtml	https://www.liepin.com/company/8519520/	342	独角兽	UI设计	6
25	26	本科及以上	5-10年	15-20k·12薪	2020年04月02日	前端开发工程师	珠海-香洲区	珠海市魅族科技有限公司	https://www.liepin.com/job/1923770259.shtml	https://www.liepin.com/company/8519520/	342	独角兽	UI设计	6
26	27	本科及以上	1-3年	10-15k·12薪	2020年04月02日	安卓开发工程师	珠海	珠海市魅族科技有限公司	https://www.liepin.com/job/1923747385.shtml	https://www.liepin.com/company/8519520/	342	独角兽	UI设计	6
27	28	本科及以上	1-3年	8-15k·12薪	2020年04月02日	安卓开发工程师	珠海-香洲区	珠海市魅族科技有限公司	https://www.liepin.com/job/1923725109.shtml	https://www.liepin.com/company/8519520/	342	独角兽	UI设计	6
28	29	本科及以上	5-10年	50-80k·12薪	2020年03月31日	AI算法评估工程师	上海	华为	https://www.liepin.com/job/1927117129.shtml	https://www.liepin.com/company/954482/	342	独角兽	UI设计	6
29	30	本科及以上	5-10年	50-80k·12薪	2020年03月31日	AI算法评估工程师		华为	https://www.liepin.com/job/1927116843.shtml	https://www.liepin.com/company/954482/	342	独角兽	UI设计	6
30	31	本科及以上	5-10年	50-80k·12薪	2020年03月31日	AI算法评估工程师	深圳-龙岗区	华为	https://www.liepin.com/job/1927116691.shtml	https://www.liepin.com/company/954482/	342	独角兽	UI设计	6
31	32	本科及以上	5-10年	50-80k·12薪	2020年03月31日	AI算法评估工程师	南京	华为	https://www.liepin.com/job/1927116013.shtml	https://www.liepin.com/company/954482/	342	独角兽	UI设计	6
32	33	本科及以上	3-5年	10-16k·12薪	2020年03月31日	产品经理-20033G01178	无锡	华云数据	https://www.liepin.com/job/1927105075.shtml	https://www.liepin.com/company/7966960/	342	独角兽	UI设计	6
33	34	本科及以上	经验不限	3-6k·12薪	2020年03月31日	滴滴视觉设计实习生	北京	滴滴	https://www.liepin.com/job/1927102709.shtml	https://www.liepin.com/company/8076624/	342	独角兽	UI设计	6
34	35	本科及以上	3-5年	20-40k·13薪	2019年12月18日	高级iOS 开发工程师(000330)	北京-团结湖	宝宝树	https://www.liepin.com/job/1915373200.shtml	https://www.liepin.com/company/7855801/	342	独角兽	UI设计	6
35	36	本科及以上	3-5年	25-34k·14薪	2019年10月21日	高级产品经理	上海	爱回收	https://www.liepin.com/job/1924246013.shtml	https://www.liepin.com/company/7868039/	342	独角兽	UI设计	6
36	37	统招本科	5-10年	25-35k·12薪	2019年10月21日	android开发工程师	北京	花椒直播	https://www.liepin.com/job/1919009249.shtml	https://www.liepin.com/company/8982244/	342	独角兽	UI设计	6
37	38	本科及以上	3-5年	15-30k·12薪	2020年04月01日	Cocos开发工程师 (MJ004271)	北京	作业帮	https://www.liepin.com/job/1927160105.shtml	https://www.liepin.com/company/8518662/	342	独角兽	UI设计	6
38	39	统招本科	5-10年	面议	2020年04月01日	android高级工程师	深圳	华为	https://www.liepin.com/job/1927149947.shtml	https://www.liepin.com/company/954482/	342	独角兽	UI设计	6
39	40	统招本科	1-3年	20-30k·12薪	2020年04月01日	iOS工程师	北京	好大夫在线	https://www.liepin.com/job/1927135133.shtml	https://www.liepin.com/company/7972851/	342	独角兽	UI设计	6
