	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	5-10年	8-14k·12薪	2020年03月31日	资深平面设计师	上海	洋码头	https://www.liepin.com/job/1927018945.shtml	https://www.liepin.com/company/7971183/	347	独角兽	视觉设计	1
1	2	大专及以上	3-5年	8-15k·15薪	2020年03月31日	平面设计师（外包）(J11071)	武汉-洪山区	斗鱼网络	https://www.liepin.com/job/1925507379.shtml	https://www.liepin.com/company/8805953/	347	独角兽	视觉设计	1
2	3	本科及以上	经验不限	4-8k·12薪	2020年03月27日	视觉设计实习生	上海	SenseTime（商汤集团）	https://www.liepin.com/job/1927001159.shtml	https://www.liepin.com/company/8349238/	347	独角兽	视觉设计	1
3	4	本科及以上	3-5年	面议	2020年03月23日	活动运营视觉设计leader（上海总部）	上海	小红书	https://www.liepin.com/job/1926871949.shtml	https://www.liepin.com/company/7921271/	347	独角兽	视觉设计	1
4	5	本科及以上	3-5年	15-30k·15薪	2020年03月22日	高级视觉设计师 (MJ000319)		斗鱼网络	https://www.liepin.com/job/1926863061.shtml	https://www.liepin.com/company/8805953/	347	独角兽	视觉设计	1
5	6	本科及以上	1-3年	18-25k·12薪	2020年03月20日	视觉设计师	广州	虎牙直播	https://www.liepin.com/job/1926844597.shtml	https://www.liepin.com/company/9287281/	347	独角兽	视觉设计	1
6	7	学历不限	3-5年	12-25k·12薪	2020年03月18日	视觉设计师（零售线）	上海-宝山区	上海微盟	https://www.liepin.com/job/1926142121.shtml	https://www.liepin.com/company/8586548/	347	独角兽	视觉设计	1
7	8	大专及以上	3-5年	面议	2020年03月18日	视觉设计师		NewDada新达达	https://www.liepin.com/job/1916553425.shtml	https://www.liepin.com/company/8512676/	347	独角兽	视觉设计	1
8	9	大专及以上	3-5年	面议	2020年03月18日	视觉营销设计		NewDada新达达	https://www.liepin.com/job/1916553389.shtml	https://www.liepin.com/company/8512676/	347	独角兽	视觉设计	1
9	10	大专及以上	3-5年	面议	2020年03月12日	资深视觉设计师（平面方向）	深圳	华为	https://www.liepin.com/job/1926152783.shtml	https://www.liepin.com/company/954482/	347	独角兽	视觉设计	1
10	11	统招本科	1-3年	面议	2020年03月11日	视觉设计	北京	阅文集团	https://www.liepin.com/job/1922472523.shtml	https://www.liepin.com/company/8166451/	347	独角兽	视觉设计	1
11	12	统招本科	经验不限	面议	2020年03月11日	运营视觉设计师-QQ阅读	北京	阅文集团	https://www.liepin.com/job/1916327179.shtml	https://www.liepin.com/company/8166451/	347	独角兽	视觉设计	1
12	13	本科及以上	3-5年	15-25k·14薪	2020年03月10日	高级视觉设计师（电商视觉）	上海-杨浦区	NewDada新达达	https://www.liepin.com/job/1926240189.shtml	https://www.liepin.com/company/8512676/	347	独角兽	视觉设计	1
13	14	统招本科	3-5年	12-25k·14薪	2020年03月06日	视觉创意设计师		花椒直播	https://www.liepin.com/job/1926494405.shtml	https://www.liepin.com/company/8982244/	347	独角兽	视觉设计	1
14	15	本科及以上	5-10年	面议	2020年03月05日	高级视觉设计师-798087899894	深圳	华为	https://www.liepin.com/job/1925271305.shtml	https://www.liepin.com/company/954482/	347	独角兽	视觉设计	1
15	16	统招本科	5-10年	面议	2020年03月03日	音乐创意视觉设计师	深圳-坂田	华为	https://www.liepin.com/job/1926409219.shtml	https://www.liepin.com/company/954482/	347	独角兽	视觉设计	1
16	17	统招本科	3-5年	面议	2020年02月25日	高级UX视觉设计师	上海-金桥	华为	https://www.liepin.com/job/1925023223.shtml	https://www.liepin.com/company/954482/	347	独角兽	视觉设计	1
17	18	统招本科	5-10年	面议	2020年02月20日	华为电商视觉设计总监	深圳	华为	https://www.liepin.com/job/1915705248.shtml	https://www.liepin.com/company/954482/	347	独角兽	视觉设计	1
18	19	学历不限	经验不限	面议	2020年02月19日	运营视觉设计师（游戏直播）	广州-番禺区	虎牙直播	https://www.liepin.com/job/1926134181.shtml	https://www.liepin.com/company/9287281/	347	独角兽	视觉设计	1
19	20	本科及以上	1-3年	15-30k·12薪	2020年02月18日	视觉设计师(网校业务) (MJ000762)		一起教育科技	https://www.liepin.com/job/1919100043.shtml	https://www.liepin.com/company/8091439/	347	独角兽	视觉设计	1
20	21	本科及以上	经验不限	13-26k·12薪	2020年02月18日	品牌视觉设计师（直播业务） (MJ000625)	北京-望京	一起教育科技	https://www.liepin.com/job/1916542745.shtml	https://www.liepin.com/company/8091439/	347	独角兽	视觉设计	1
21	22	本科及以上	经验不限	14-28k·12薪	2020年02月18日	高级视觉设计师（直播业务） (MJ000426)	北京	一起教育科技	https://www.liepin.com/job/1915846912.shtml	https://www.liepin.com/company/8091439/	347	独角兽	视觉设计	1
22	23	本科及以上	3-5年	15-30k·12薪	2020年02月18日	直播视觉设计师(业务平台） (MJ000095)	北京	一起教育科技	https://www.liepin.com/job/1915846793.shtml	https://www.liepin.com/company/8091439/	347	独角兽	视觉设计	1
23	24	本科及以上	3-5年	15-30k·12薪	2020年02月18日	高级视觉设计师（业务平台）	北京	一起教育科技	https://www.liepin.com/job/1915069269.shtml	https://www.liepin.com/company/8091439/	347	独角兽	视觉设计	1
24	25	本科及以上	3-5年	15-30k·14薪	2020年02月18日	视觉设计师（业务平台）	北京	一起教育科技	https://www.liepin.com/job/1915069109.shtml	https://www.liepin.com/company/8091439/	347	独角兽	视觉设计	1
25	26	本科及以上	3-5年	15-30k·14薪	2020年02月18日	高级视觉设计师（小学业务）	北京	一起教育科技	https://www.liepin.com/job/1915068991.shtml	https://www.liepin.com/company/8091439/	347	独角兽	视觉设计	1
26	27	学历不限	3-5年	15-30k·14薪	2020年02月18日	高级AI视觉设计师（技术）	北京	一起教育科技	https://www.liepin.com/job/1915061189.shtml	https://www.liepin.com/company/8091439/	347	独角兽	视觉设计	1
27	28	学历不限	3-5年	15-30k·12薪	2020年02月18日	小学视觉设计师（业务平台）	北京-望京	一起教育科技	https://www.liepin.com/job/1914964893.shtml	https://www.liepin.com/company/8091439/	347	独角兽	视觉设计	1
28	29	大专及以上	1-3年	面议	2020年02月12日	视觉/UI设计师（海外电商）-797997959971	深圳	华为	https://www.liepin.com/job/1926015947.shtml	https://www.liepin.com/company/954482/	347	独角兽	视觉设计	1
29	30	本科及以上	3-5年	16-32k·15薪	2020年02月10日	高级视觉设计师(产品UI方向)	深圳-科技园	SenseTime（商汤集团）	https://www.liepin.com/job/1925703923.shtml	https://www.liepin.com/company/8349238/	347	独角兽	视觉设计	1
