	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	统招本科	3-5年	20-35k·12薪	2019年06月15日	用户体验设计师(J10102)	上海	房多多	https://www.liepin.com/job/1919653601.shtml	https://www.liepin.com/company/7871137/	359	独角兽	交互设计	3
1	2	统招本科	5-10年	25-33k·15薪	2020年03月19日	用户体验运营专家		滴滴	https://www.liepin.com/job/1925600247.shtml	https://www.liepin.com/company/8076624/	359	独角兽	交互设计	3
2	3	统招本科	1-3年	15-25k·14薪	2019年06月15日	用户体验设计师(J10118)	深圳-科技园	房多多	https://www.liepin.com/job/1919676679.shtml	https://www.liepin.com/company/7871137/	359	独角兽	交互设计	3
3	4	统招本科	3-5年	20-35k·12薪	2019年06月13日	用户体验设计师(J10046)	深圳	房多多	https://www.liepin.com/job/1918070763.shtml	https://www.liepin.com/company/7871137/	359	独角兽	交互设计	3
4	5	本科及以上	3-5年	15-30k·12薪	2020年02月18日	用户体验产品经理	上海-浦东新区	喜马拉雅	https://www.liepin.com/job/1926109155.shtml	https://www.liepin.com/company/8449626/	359	独角兽	交互设计	3
5	6	统招本科	3-5年	15-25k·12薪	2019年12月23日	用户体验设计师(J10487)	深圳-科技园	房多多	https://www.liepin.com/job/1923654379.shtml	https://www.liepin.com/company/7871137/	359	独角兽	交互设计	3
6	7	本科及以上	1-3年	面议	2019年04月17日	高级体验设计师（UX）(J190319011)		滴滴	https://www.liepin.com/job/1919240287.shtml	https://www.liepin.com/company/8076624/	359	独角兽	交互设计	3
7	8	统招本科	3-5年	18-35k·14薪	2019年06月15日	高级用户体验设计师(J10114)	深圳-科技园	房多多	https://www.liepin.com/job/1919675845.shtml	https://www.liepin.com/company/7871137/	359	独角兽	交互设计	3
8	9	本科及以上	5-10年	20-35k·12薪	2019年12月27日	资深 UI / UX 设计师 (MJ000127)	上海-浦东新区	七牛	https://www.liepin.com/job/1925531073.shtml	https://www.liepin.com/company/7688655/	359	独角兽	交互设计	3
9	10	本科及以上	3-5年	面议	2020年03月06日	用户体验研究工程师	西安	华为	https://www.liepin.com/job/1926321717.shtml	https://www.liepin.com/company/954482/	359	独角兽	交互设计	3
10	11	统招本科	经验不限	20-40k·12薪	2019年08月19日	ue4开发工程师	北京-回龙观	北京若森数字科技股份有限公司	https://www.liepin.com/job/1922266903.shtml	https://www.liepin.com/company/9856849/	359	独角兽	交互设计	3
11	12	本科及以上	5-10年	30-45k·15薪	2019年11月22日	服务体验设计高级经理	广州	广州小鹏汽车科技有限公司	https://www.liepin.com/job/1924890823.shtml	https://www.liepin.com/company/8908817/	359	独角兽	交互设计	3
12	13	本科及以上	5-10年	面议	2020年03月24日	客服体验与用户洞察经理	北京-望京	理想汽车	https://www.liepin.com/job/1914709783.shtml	https://www.liepin.com/company/8572825/	359	独角兽	交互设计	3
13	14	本科及以上	5-10年	25-50k·20薪	2019年09月24日	用户体验研究经理/专家	北京	华为	https://www.liepin.com/job/1923705639.shtml	https://www.liepin.com/company/954482/	359	独角兽	交互设计	3
14	15	统招本科	5-10年	面议	2019年12月30日	用户体验专家(深圳)	深圳-龙岗区	华为	https://www.liepin.com/job/1919117691.shtml	https://www.liepin.com/company/954482/	359	独角兽	交互设计	3
15	16	硕士及以上	3-5年	面议	2019年12月26日	用户体验研发高级工程师	南京	华为	https://www.liepin.com/job/1925506363.shtml	https://www.liepin.com/company/954482/	359	独角兽	交互设计	3
16	17	硕士及以上	3-5年	面议	2019年12月26日	用户体验研发高级工程师	深圳	华为	https://www.liepin.com/job/1925506361.shtml	https://www.liepin.com/company/954482/	359	独角兽	交互设计	3
17	18	本科及以上	1-3年	7-15k·12薪	2018年10月31日	HRBP-集团用户体验部	杭州	贝贝集团	https://www.liepin.com/job/1915685768.shtml	https://www.liepin.com/company/6673968/	359	独角兽	交互设计	3
18	19	本科及以上	3-5年	面议	2020年03月18日	资深用户研究专家/体验管理	杭州	滴滴	https://www.liepin.com/job/1926776231.shtml	https://www.liepin.com/company/8076624/	359	独角兽	交互设计	3
19	20	本科及以上	3-5年	15-25k·16薪	2019年05月23日	用户体验专家（物流方向）	深圳-南山区	每日优鲜	https://www.liepin.com/job/1920161515.shtml	https://www.liepin.com/company/8398578/	359	独角兽	交互设计	3
20	21	学历不限	3-5年	面议	2019年06月04日	392177-体验/UI设计师	上海	平安医疗健康管理股份有限公司	https://www.liepin.com/job/1920441131.shtml	https://www.liepin.com/company/8938944/	359	独角兽	交互设计	3
21	22	本科及以上	3-5年	15-18k·12薪	2019年11月14日	用户体验专家(J191024042)		滴滴	https://www.liepin.com/job/1924433539.shtml	https://www.liepin.com/company/8076624/	359	独角兽	交互设计	3
22	23	本科及以上	5-10年	25-38k·12薪	2019年11月06日	用户体验改善专家(J190910011)	上海-长宁区	滴滴	https://www.liepin.com/job/1923983301.shtml	https://www.liepin.com/company/8076624/	359	独角兽	交互设计	3
23	24	本科及以上	5-10年	32-35k·12薪	2019年10月23日	用户体验改善专家(J190616009)		滴滴	https://www.liepin.com/job/1920757797.shtml	https://www.liepin.com/company/8076624/	359	独角兽	交互设计	3
24	25	本科及以上	3-5年	面议	2019年09月22日	内容质量策略运营-用户体验		小红书	https://www.liepin.com/job/1923634751.shtml	https://www.liepin.com/company/7921271/	359	独角兽	交互设计	3
25	26	本科及以上	5-10年	29-38k·12薪	2019年08月13日	用户体验高级经理(J190723014)		滴滴	https://www.liepin.com/job/1922490749.shtml	https://www.liepin.com/company/8076624/	359	独角兽	交互设计	3
26	27	本科及以上	3-5年	15-30k·12薪	2019年05月16日	高级体验设计师 (MJ000710)	上海-杨浦区	哔哩哔哩弹幕网	https://www.liepin.com/job/1919945307.shtml	https://www.liepin.com/company/8169452/	359	独角兽	交互设计	3
27	28	本科及以上	3-5年	15-25k·13薪	2019年12月30日	交付运营岗（用户体验）1026113605	北京	车好多集团	https://www.liepin.com/job/1925199197.shtml	https://www.liepin.com/company/8621471/	359	独角兽	交互设计	3
28	29	大专及以上	3-5年	15-21k·12薪	2019年10月23日	用户体验改善专员(J190712002)		滴滴	https://www.liepin.com/job/1922378485.shtml	https://www.liepin.com/company/8076624/	359	独角兽	交互设计	3
29	30	统招本科	1-3年	面议	2019年09月22日	内容质量风控专员-用户体验		小红书	https://www.liepin.com/job/1923634827.shtml	https://www.liepin.com/company/7921271/	359	独角兽	交互设计	3
30	31	本科及以上	3-5年	面议	2020年03月24日	金融信贷用户体验运营(J200310017)		滴滴	https://www.liepin.com/job/1926590025.shtml	https://www.liepin.com/company/8076624/	359	独角兽	交互设计	3
31	32	统招本科	3-5年	20-30k·12薪	2020年02月25日	39217F-大数据可视化UED工程师	上海-龙华	平安医疗健康管理股份有限公司	https://www.liepin.com/job/1921658599.shtml	https://www.liepin.com/company/8938944/	359	独角兽	交互设计	3
32	33	大专及以上	1-3年	8-11k·12薪	2019年10月23日	国际业务英语用户体验专家(J181007001)		滴滴	https://www.liepin.com/job/1915658703.shtml	https://www.liepin.com/company/8076624/	359	独角兽	交互设计	3
33	34	本科及以上	3-5年	14-25k·12薪	2020年02月19日	用户体验专家（国际化方向）(J200120006)		滴滴	https://www.liepin.com/job/1925927477.shtml	https://www.liepin.com/company/8076624/	359	独角兽	交互设计	3
34	35	本科及以上	5-10年	27-33k·12薪	2020年03月25日	服务设计专家 （体验优化方向）(J200323019)		滴滴	https://www.liepin.com/job/1926942519.shtml	https://www.liepin.com/company/8076624/	359	独角兽	交互设计	3
35	36	本科及以上	3-5年	20-30k·12薪	2019年08月05日	数据平台部-资深体验设计师(J190605029)	杭州-西湖区	滴滴	https://www.liepin.com/job/1921040387.shtml	https://www.liepin.com/company/8076624/	359	独角兽	交互设计	3
36	37	本科及以上	3-5年	21-42k·12薪	2019年10月23日	用户体验专家(项目管理方向)(J190311004)		滴滴	https://www.liepin.com/job/1920152909.shtml	https://www.liepin.com/company/8076624/	359	独角兽	交互设计	3
37	38	本科及以上	3-5年	21-33k·12薪	2019年10月23日	资深用户研究员（体验分析方向）(J190304016)		滴滴	https://www.liepin.com/job/1920581137.shtml	https://www.liepin.com/company/8076624/	359	独角兽	交互设计	3
38	39	本科及以上	10年以上	面议	2020年04月24日	零售中心店长-长沙	长沙-天心区	理想汽车	https://www.liepin.com/job/1927740007.shtml	https://www.liepin.com/company/8572825/	359	独角兽	交互设计	3
39	40	本科及以上	5-10年	20-35k·15薪	2020年04月25日	信贷用户端产品经理		滴滴	https://www.liepin.com/job/1927750907.shtml	https://www.liepin.com/company/8076624/	359	独角兽	交互设计	3
