	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	3-5年	10-15k·12薪	2020年04月24日	高级产品经理（社交方向）	长沙-开福区	快乐阳光	https://www.liepin.com/job/1924496847.shtml	https://www.liepin.com/company/7862610/	372	独角兽	用户体验	6
1	2	统招本科	3-5年	14-20k·12薪	2020年04月24日	产品经理-私有云		环信	https://www.liepin.com/job/1924334813.shtml	https://www.liepin.com/company/7868834/	372	独角兽	用户体验	6
2	3	本科及以上	1-3年	4-6k·12薪	2020年04月24日	媒资编辑	长沙-开福区	快乐阳光	https://www.liepin.com/job/1924277147.shtml	https://www.liepin.com/company/7862610/	372	独角兽	用户体验	6
3	4	本科及以上	3-5年	10-20k·13薪	2020年04月24日	产品经理（积分成长体系方向）	长沙-开福区	快乐阳光	https://www.liepin.com/job/1924188283.shtml	https://www.liepin.com/company/7862610/	372	独角兽	用户体验	6
4	5	本科及以上	3-5年	12-20k·12薪	2020年04月24日	产品经理	长沙-开福区	快乐阳光	https://www.liepin.com/job/1923373745.shtml	https://www.liepin.com/company/7862610/	372	独角兽	用户体验	6
5	6	本科及以上	1-3年	10-15k·16薪	2020年04月24日	会员活动运营	上海	喜马拉雅	https://www.liepin.com/job/1921844031.shtml	https://www.liepin.com/company/8449626/	372	独角兽	用户体验	6
6	7	统招本科	5-10年	面议	2020年04月24日	广告平台产品总经理	上海-普陀区	成都新潮传媒集团有限公司	https://www.liepin.com/job/1921410267.shtml	https://www.liepin.com/company/9272548/	372	独角兽	用户体验	6
7	8	本科及以上	3-5年	15-25k·12薪	2020年04月24日	算法工程师/研究员	长沙-开福区	快乐阳光	https://www.liepin.com/job/1921073939.shtml	https://www.liepin.com/company/7862610/	372	独角兽	用户体验	6
8	9	学历不限	3-5年	10-18k·12薪	2020年04月24日	用户运营产品经理（平台）	长沙-开福区	快乐阳光	https://www.liepin.com/job/1920774199.shtml	https://www.liepin.com/company/7862610/	372	独角兽	用户体验	6
9	10	本科及以上	3-5年	8-15k·14薪	2020年04月24日	点播线产品经理（平台）	长沙-开福区	快乐阳光	https://www.liepin.com/job/1920774139.shtml	https://www.liepin.com/company/7862610/	372	独角兽	用户体验	6
10	11	本科及以上	经验不限	8-15k·12薪	2020年04月24日	用户运营产品经理	长沙-开福区	快乐阳光	https://www.liepin.com/job/1920708117.shtml	https://www.liepin.com/company/7862610/	372	独角兽	用户体验	6
11	12	本科及以上	1-3年	8-15k·12薪	2020年04月24日	点播线产品经理	长沙-开福区	快乐阳光	https://www.liepin.com/job/1920707741.shtml	https://www.liepin.com/company/7862610/	372	独角兽	用户体验	6
12	13	本科及以上	经验不限	8-12k·12薪	2020年04月24日	媒资动漫组组长	长沙-开福区	快乐阳光	https://www.liepin.com/job/1919574043.shtml	https://www.liepin.com/company/7862610/	372	独角兽	用户体验	6
13	14	本科及以上	10年以上	20-30k·13薪	2020年04月24日	产品总监	长沙	快乐阳光	https://www.liepin.com/job/1919324741.shtml	https://www.liepin.com/company/7862610/	372	独角兽	用户体验	6
14	15	本科及以上	1-3年	8-14k·14薪	2020年04月24日	综艺组组长	长沙	快乐阳光	https://www.liepin.com/job/1918417267.shtml	https://www.liepin.com/company/7862610/	372	独角兽	用户体验	6
15	16	大专及以上	1-3年	面议	2020年04月24日	商家运营（上海）	上海-南码头	NewDada新达达	https://www.liepin.com/job/1916288671.shtml	https://www.liepin.com/company/8512676/	372	独角兽	用户体验	6
16	17	本科及以上	经验不限	10-20k·12薪	2020年04月24日	IOS开发工程师	珠海-唐家湾	麒麟合盛网络技术股份有限公司	https://www.liepin.com/job/1916108675.shtml	https://www.liepin.com/company/8454950/	372	独角兽	用户体验	6
17	18	本科及以上	3-5年	8-12k·12薪	2020年04月24日	高级测试开发工程师	长沙	快乐阳光	https://www.liepin.com/job/1915790999.shtml	https://www.liepin.com/company/7862610/	372	独角兽	用户体验	6
18	19	本科及以上	5-10年	30-45k·14薪	2020年04月24日	研发总监	珠海-香洲区	麒麟合盛网络技术股份有限公司	https://www.liepin.com/job/1915592127.shtml	https://www.liepin.com/company/8454950/	372	独角兽	用户体验	6
19	20	本科及以上	经验不限	8-12k·12薪	2020年04月24日	服务伙伴管理专家	无锡	南京帆软软件	https://www.liepin.com/job/1915050985.shtml	https://www.liepin.com/company/8107238/	372	独角兽	用户体验	6
20	21	大专及以上	1-3年	10-20k·12薪	2020年04月24日	区域渠道经理	上海-陆家嘴	蜻蜓FM	https://www.liepin.com/job/1914834044.shtml	https://www.liepin.com/company/3523684/	372	独角兽	用户体验	6
21	22	学历不限	3-5年	35-60k·13薪	2020年04月24日	推荐技术专家	上海-陆家嘴	蜻蜓FM	https://www.liepin.com/job/1912996260.shtml	https://www.liepin.com/company/3523684/	372	独角兽	用户体验	6
22	23	本科及以上	1-3年	10-20k·12薪	2020年04月24日	前端工程师	珠海-香洲区	麒麟合盛网络技术股份有限公司	https://www.liepin.com/job/1912268792.shtml	https://www.liepin.com/company/8454950/	372	独角兽	用户体验	6
23	24	学历不限	1-3年	7-15k·12薪	2020年04月24日	内容运营	上海	沪江	https://www.liepin.com/job/1927746749.shtml	https://www.liepin.com/company/1606138/	372	独角兽	用户体验	6
