	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	统招本科	3-5年	10-15k·12薪	2020年04月23日	25312N-营销策划岗	上海	陆金所	https://www.liepin.com/job/1927609135.shtml	https://www.liepin.com/company/6138100/	383	独角兽	体验设计	7
1	2	本科及以上	3-5年	20-40k·14薪	2020年04月23日	前端产品经理 (MJ003782)	北京	作业帮	https://www.liepin.com/job/1926346199.shtml	https://www.liepin.com/company/8518662/	383	独角兽	体验设计	7
2	3	大专及以上	1-3年	8-20k·13薪	2020年04月23日	前端开发工程师	南京	好享家舒适智能家居股份有限公司	https://www.liepin.com/job/1915543150.shtml	https://www.liepin.com/company/8340889/	383	独角兽	体验设计	7
3	4	大专及以上	5-10年	20-40k·12薪	2020年04月23日	电商产品总监（本地生活） (MJ000416)	北京	玖富	https://www.liepin.com/job/1927712593.shtml	https://www.liepin.com/company/10078435/	383	独角兽	体验设计	7
4	5	统招本科	1-3年	12-24k·12薪	2020年04月23日	Web前端开发工程师	上海-张江	阅文集团	https://www.liepin.com/job/1927706747.shtml	https://www.liepin.com/company/8166451/	383	独角兽	体验设计	7
5	6	统招本科	1-3年	12-24k·12薪	2020年04月23日	前端 开发工程师	上海-张江	阅文集团	https://www.liepin.com/job/1927705981.shtml	https://www.liepin.com/company/8166451/	383	独角兽	体验设计	7
6	7	本科及以上	3-5年	15-30k·12薪	2020年04月23日	前端开发工程师	上海-张江	阅文集团	https://www.liepin.com/job/1927705307.shtml	https://www.liepin.com/company/8166451/	383	独角兽	体验设计	7
7	8	统招本科	3-5年	30-40k·14薪	2020年04月23日	高级产品经理（商城）	北京-清河	易点租	https://www.liepin.com/job/1927179187.shtml	https://www.liepin.com/company/8461421/	383	独角兽	体验设计	7
8	9	学历不限	5-10年	15-30k·12薪	2020年04月22日	模型资产Leader	上海-张江	阅文集团	https://www.liepin.com/job/1927310763.shtml	https://www.liepin.com/company/8166451/	383	独角兽	体验设计	7
9	10	统招本科	5-10年	面议	2020年04月23日	Web前端工程师	北京	北京比特大陆科技有限公司	https://www.liepin.com/job/1927247667.shtml	https://www.liepin.com/company/8054924/	383	独角兽	体验设计	7
10	11	统招本科	3-5年	15-25k·13薪	2020年04月23日	智能软件产品经理	上海-浦东新区	拉卡拉	https://www.liepin.com/job/1927701543.shtml	https://www.liepin.com/company/2488460/	383	独角兽	体验设计	7
