	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	经验不限	13-26k·12薪	2020年04月14日	华为武研Java开发工程师(OD)	深圳	华为	https://www.liepin.com/job/1927425041.shtml	https://www.liepin.com/company/954482/	388	独角兽	服务设计	2
1	2	统招本科	3-5年	15-30k·15薪	2020年04月13日	平台产品专家	杭州	涂鸦智能	https://www.liepin.com/job/1926782055.shtml	https://www.liepin.com/company/8347186/	388	独角兽	服务设计	2
2	3	本科及以上	1-3年	8-16k·15薪	2020年04月13日	KA服务运营专家	杭州-西湖区	涂鸦智能	https://www.liepin.com/job/1924183259.shtml	https://www.liepin.com/company/8347186/	388	独角兽	服务设计	2
3	4	本科及以上	1-3年	面议	2020年04月13日	内容运营	上海-浦东新区	波奇网	https://www.liepin.com/job/1924979355.shtml	https://www.liepin.com/company/4725529/	388	独角兽	服务设计	2
4	5	本科及以上	3-5年	15-25k·15薪	2020年04月13日	IPC产品经理	杭州	涂鸦智能	https://www.liepin.com/job/1922825297.shtml	https://www.liepin.com/company/8347186/	388	独角兽	服务设计	2
5	6	本科及以上	3-5年	16-35k·12薪	2020年04月13日	架构工程师	南京-雨花台区	华为	https://www.liepin.com/job/1922811603.shtml	https://www.liepin.com/company/954482/	388	独角兽	服务设计	2
6	7	本科及以上	5-10年	面议	2020年04月13日	java技术专家	深圳-南山区	深圳市优必选科技股份有限公司	https://www.liepin.com/job/1919743301.shtml	https://www.liepin.com/company/8095160/	388	独角兽	服务设计	2
7	8	本科及以上	5-10年	20-40k·12薪	2020年04月13日	高级java开发工程师	深圳-南山区	深圳市优必选科技股份有限公司	https://www.liepin.com/job/1919741223.shtml	https://www.liepin.com/company/8095160/	388	独角兽	服务设计	2
8	9	学历不限	3-5年	面议	2020年04月13日	高级IPC产品经理	杭州-西溪	涂鸦智能	https://www.liepin.com/job/1915512819.shtml	https://www.liepin.com/company/8347186/	388	独角兽	服务设计	2
9	10	本科及以上	经验不限	7-8k·12薪	2020年04月10日	java开发实习生	杭州	菜鸟网络科技有限公司	https://www.liepin.com/job/1927362161.shtml	https://www.liepin.com/company/9814435/	388	独角兽	服务设计	2
10	11	本科及以上	3-5年	面议	2020年04月10日	商家端产品经理	深圳	华为	https://www.liepin.com/job/1927108793.shtml	https://www.liepin.com/company/954482/	388	独角兽	服务设计	2
11	12	本科及以上	1-3年	面议	2020年04月10日	高级硬件开发工程师-797997869752	深圳	华为	https://www.liepin.com/job/1926058311.shtml	https://www.liepin.com/company/954482/	388	独角兽	服务设计	2
12	13	统招本科	3-5年	面议	2020年04月10日	JAVA高级开发工程师（开放平台）	上海	阅文集团	https://www.liepin.com/job/1925011937.shtml	https://www.liepin.com/company/8166451/	388	独角兽	服务设计	2
13	14	统招本科	3-5年	15-25k·12薪	2020年04月10日	PHP开发工程师	上海	阅文集团	https://www.liepin.com/job/1923680759.shtml	https://www.liepin.com/company/8166451/	388	独角兽	服务设计	2
14	15	大专及以上	5-10年	15-25k·12薪	2020年04月10日	系统工程师 (MJ000414)	上海	上海寒武纪信息科技有限公司	https://www.liepin.com/job/1918111021.shtml	https://www.liepin.com/company/9320629/	388	独角兽	服务设计	2
