	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	10年以上	30-50k·12薪	2020年02月06日	项目总工程师	北京	旷视科技	https://www.liepin.com/job/1925954377.shtml	https://www.liepin.com/company/7858396/	397	独角兽	信息设计	1
1	2	本科及以上	3-5年	15-25k·12薪	2019年11月29日	用户研究岗(J10341)		北京新能源汽车股份有限公司	https://www.liepin.com/job/1924725935.shtml	https://www.liepin.com/company/8086279/	397	独角兽	信息设计	1
2	3	本科及以上	5-10年	20-30k·15薪	2019年09月19日	供应链产品专家	杭州	贝贝集团	https://www.liepin.com/job/1923552701.shtml	https://www.liepin.com/company/6673968/	397	独角兽	信息设计	1
3	4	统招本科	5-10年	50-80k·12薪	2019年09月05日	CTO	杭州	杭州网银互联科技股份有限公司	https://www.liepin.com/job/1923162553.shtml	https://www.liepin.com/company/9174702/	397	独角兽	信息设计	1
4	5	本科及以上	经验不限	10-20k·12薪	2019年07月18日	UI设计师	北京-中关村	旷视科技	https://www.liepin.com/job/1921661643.shtml	https://www.liepin.com/company/7858396/	397	独角兽	信息设计	1
5	6	本科及以上	3-5年	25-50k·12薪	2019年07月01日	资深信息安全策略工程师(J190625001)		滴滴	https://www.liepin.com/job/1921097025.shtml	https://www.liepin.com/company/8076624/	397	独角兽	信息设计	1
6	7	本科及以上	3-5年	10-20k·12薪	2020年03月26日	资料开发工程师	杭州	数梦工场	https://www.liepin.com/job/1926988793.shtml	https://www.liepin.com/company/8527277/	397	独角兽	信息设计	1
7	8	本科及以上	3-5年	10-20k·12薪	2020年03月26日	资料开发工程师	北京	数梦工场	https://www.liepin.com/job/1926988791.shtml	https://www.liepin.com/company/8527277/	397	独角兽	信息设计	1
8	9	统招本科	3-5年	面议	2020年03月24日	车载以太网模块嵌入式软件工程师		理想汽车	https://www.liepin.com/job/1925721975.shtml	https://www.liepin.com/company/8572825/	397	独角兽	信息设计	1
9	10	本科及以上	5-10年	面议	2020年03月24日	UX体验设计师(J190710021)		滴滴	https://www.liepin.com/job/1921452309.shtml	https://www.liepin.com/company/8076624/	397	独角兽	信息设计	1
10	11	本科及以上	1-3年	18-25k·12薪	2020年03月20日	视觉设计师	广州	虎牙直播	https://www.liepin.com/job/1926844597.shtml	https://www.liepin.com/company/9287281/	397	独角兽	信息设计	1
11	12	本科及以上	3-5年	20-35k·12薪	2020年03月20日	高级UI设计师	广州	虎牙直播	https://www.liepin.com/job/1926844577.shtml	https://www.liepin.com/company/9287281/	397	独角兽	信息设计	1
12	13	统招本科	5-10年	15-30k·12薪	2020年03月18日	广告设计师 (MJ000700)	上海	途虎养车网	https://www.liepin.com/job/1926772107.shtml	https://www.liepin.com/company/8220345/	397	独角兽	信息设计	1
13	14	本科及以上	1-3年	11-20k·12薪	2020年03月11日	资料开发工程师	东莞	华为	https://www.liepin.com/job/1926610293.shtml	https://www.liepin.com/company/954482/	397	独角兽	信息设计	1
14	15	统招本科	3-5年	面议	2020年03月11日	高级/资深 工业设计师	上海-金桥	华为	https://www.liepin.com/job/1926598595.shtml	https://www.liepin.com/company/954482/	397	独角兽	信息设计	1
