	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	3-5年	20-40k·14薪	2020年04月23日	CRM产品经理（OL） (MJ003704)	北京	作业帮	https://www.liepin.com/job/1926186539.shtml	https://www.liepin.com/company/8518662/	400	独角兽	全链路设计	0
1	2	本科及以上	经验不限	10-20k·14薪	2020年04月07日	体验设计师	苏州	同程艺龙	https://www.liepin.com/job/1924219083.shtml	https://www.liepin.com/company/3698161/	400	独角兽	全链路设计	0
2	3	大专及以上	3-5年	10-20k·12薪	2020年04月07日	交互设计师	苏州-工业园区	同程艺龙	https://www.liepin.com/job/1922296377.shtml	https://www.liepin.com/company/3698161/	400	独角兽	全链路设计	0
3	4	本科及以上	经验不限	35-65k·16薪	2020年02月11日	架构师	深圳-龙岗区	华为	https://www.liepin.com/job/1925997129.shtml	https://www.liepin.com/company/954482/	400	独角兽	全链路设计	0
4	5	本科及以上	3-5年	20-40k·16薪	2020年02月11日	高级软件工程师	深圳-龙岗区	华为	https://www.liepin.com/job/1925997005.shtml	https://www.liepin.com/company/954482/	400	独角兽	全链路设计	0
5	6	本科及以上	1-3年	15-30k·16薪	2020年02月11日	软件工程师	深圳-龙岗区	华为	https://www.liepin.com/job/1925935685.shtml	https://www.liepin.com/company/954482/	400	独角兽	全链路设计	0
6	7	本科及以上	3-5年	17-30k·14薪	2019年04月11日	光电硬件&互连工程师	武汉	华为	https://www.liepin.com/job/1919113421.shtml	https://www.liepin.com/company/954482/	400	独角兽	全链路设计	0
7	8	本科及以上	3-5年	17-30k·14薪	2019年04月11日	光电硬件&互连工程师	东莞-松山湖	华为	https://www.liepin.com/job/1919113419.shtml	https://www.liepin.com/company/954482/	400	独角兽	全链路设计	0
8	9	本科及以上	3-5年	面议	2020年03月18日	资深用户研究专家/体验管理	杭州	滴滴	https://www.liepin.com/job/1926776231.shtml	https://www.liepin.com/company/8076624/	400	独角兽	全链路设计	0
9	10	本科及以上	5-10年	面议	2020年02月10日	资深交互设计师	深圳-南山区	SenseTime（商汤集团）	https://www.liepin.com/job/1925703875.shtml	https://www.liepin.com/company/8349238/	400	独角兽	全链路设计	0
10	11	本科及以上	5-10年	面议	2020年02月10日	资深交互设计师	上海-徐汇区	SenseTime（商汤集团）	https://www.liepin.com/job/1925703873.shtml	https://www.liepin.com/company/8349238/	400	独角兽	全链路设计	0
11	12	本科及以上	5-10年	25-50k·12薪	2020年01月23日	Java	杭州	华为	https://www.liepin.com/job/1925891181.shtml	https://www.liepin.com/company/954482/	400	独角兽	全链路设计	0
12	13	统招本科	5-10年	面议	2019年12月30日	高级产品经理 (MJ003283)	北京-上地	作业帮	https://www.liepin.com/job/1925571649.shtml	https://www.liepin.com/company/8518662/	400	独角兽	全链路设计	0
13	14	统招本科	3-5年	15-25k·12薪	2019年12月23日	用户体验设计师(J10487)	深圳-科技园	房多多	https://www.liepin.com/job/1923654379.shtml	https://www.liepin.com/company/7871137/	400	独角兽	全链路设计	0
14	15	本科及以上	3-5年	40-70k·15薪	2019年08月07日	Java	北京	今日头条	https://www.liepin.com/job/1922317897.shtml	https://www.liepin.com/company/9352611/	400	独角兽	全链路设计	0
15	16	本科及以上	3-5年	50-80k·15薪	2019年08月07日	全栈	北京	今日头条	https://www.liepin.com/job/1922317891.shtml	https://www.liepin.com/company/9352611/	400	独角兽	全链路设计	0
16	17	本科及以上	3-5年	15-26k·12薪	2019年03月29日	光电互连工程师	深圳	华为	https://www.liepin.com/job/1917526569.shtml	https://www.liepin.com/company/954482/	400	独角兽	全链路设计	0
17	18	本科及以上	3-5年	15-26k·12薪	2019年02月15日	光电互连工程师	东莞-松山湖	华为	https://www.liepin.com/job/1917526571.shtml	https://www.liepin.com/company/954482/	400	独角兽	全链路设计	0
