	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	3-5年	15-30k·16薪	2020年04月24日	高级/资深视觉设计师	杭州	网易集团	https://www.liepin.com/job/1927659429.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
1	2	本科及以上	3-5年	面议	2020年04月24日	网易云音乐资深产品经理	杭州	网易集团	https://www.liepin.com/job/1927589487.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
2	3	学历不限	3-5年	面议	2020年04月24日	企业智能事业部-前端开发专家-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927514543.shtml	https://www.liepin.com/company/1072424/	215	中国500强	界面设计	7
3	4	学历不限	经验不限	20-40k·15薪	2020年04月24日	高级产品经理（用户体验）	广州	网易集团	https://www.liepin.com/job/1927491871.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
4	5	学历不限	5-10年	面议	2020年04月24日	集团公共事务部-展区运营专家（前端开发）-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927442083.shtml	https://www.liepin.com/company/1072424/	215	中国500强	界面设计	7
5	6	本科及以上	经验不限	15-20k·16薪	2020年04月24日	G117数值策划	广州	网易集团	https://www.liepin.com/job/1927432751.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
6	7	学历不限	3-5年	面议	2020年04月24日	钉钉(DingTalk)-Android技术专家-新来往	杭州	阿里巴巴	https://www.liepin.com/job/1927412219.shtml	https://www.liepin.com/company/1072424/	215	中国500强	界面设计	7
7	8	学历不限	3-5年	面议	2020年04月24日	钉钉(DingTalk)-产品设计专家-钉钉开放平台&商业化	杭州	阿里巴巴	https://www.liepin.com/job/1927412217.shtml	https://www.liepin.com/company/1072424/	215	中国500强	界面设计	7
8	9	学历不限	3-5年	面议	2020年04月24日	钉钉(DingTalk)-IOS技术专家-新来往	杭州	阿里巴巴	https://www.liepin.com/job/1927412033.shtml	https://www.liepin.com/company/1072424/	215	中国500强	界面设计	7
9	10	学历不限	5-10年	面议	2020年04月24日	钉钉(DingTalk)-（高级）iOS级技术专家-研发中心	杭州	阿里巴巴	https://www.liepin.com/job/1927411619.shtml	https://www.liepin.com/company/1072424/	215	中国500强	界面设计	7
10	11	学历不限	5-10年	面议	2020年04月24日	钉钉(DingTalk)-（高级）无线技术专家-小程序架构方向	杭州	阿里巴巴	https://www.liepin.com/job/1927411211.shtml	https://www.liepin.com/company/1072424/	215	中国500强	界面设计	7
11	12	本科及以上	3-5年	18-30k·16薪	2020年04月24日	易盾-高级/资深测试工程师	杭州	网易集团	https://www.liepin.com/job/1927409463.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
12	13	学历不限	5-10年	面议	2020年04月24日	业务平台事业部-前端技术专家-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927161085.shtml	https://www.liepin.com/company/1072424/	215	中国500强	界面设计	7
13	14	统招本科	经验不限	2-3k·12薪	2020年04月24日	游戏视觉设计实习生-杭州	杭州-长河	网易集团	https://www.liepin.com/job/1926986913.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
14	15	统招本科	5-10年	15-30k·14薪	2020年04月24日	高级互金产品经理		小米	https://www.liepin.com/job/1926945585.shtml	https://www.liepin.com/company/2174886/	215	中国500强	界面设计	7
15	16	本科及以上	经验不限	面议	2020年04月24日	手游服务端开发工程师（率土之滨） - 第十事业部002	广州	网易集团	https://www.liepin.com/job/1926739935.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
16	17	本科及以上	3-5年	面议	2020年04月24日	资深交互原型工程师	杭州	网易集团	https://www.liepin.com/job/1926571769.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
17	18	本科及以上	5-10年	面议	2020年04月24日	资深技术美术工程师--技术中心-雷火游戏部125	杭州	网易集团	https://www.liepin.com/job/1926532877.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
18	19	本科及以上	3-5年	15-25k·12薪	2020年04月24日	资深商品设计师	杭州	网易集团	https://www.liepin.com/job/1926526477.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
19	20	本科及以上	经验不限	面议	2020年04月24日	UE4引擎开发工程师	广州	网易集团	https://www.liepin.com/job/1926484341.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
20	21	本科及以上	经验不限	20-40k·16薪	2020年04月24日	游戏引擎开发工程师（引擎不限，率土之滨团队）	广州	网易集团	https://www.liepin.com/job/1926484179.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
21	22	本科及以上	5-10年	12-16k·13薪	2020年04月24日	高级Java开发工程师（总部信息部）	成都	通威股份	https://www.liepin.com/job/1926215869.shtml	https://www.liepin.com/company/682357/	215	中国500强	界面设计	7
22	23	本科及以上	5-10年	12-16k·13薪	2020年04月24日	java开发高级工程师	成都	通威股份	https://www.liepin.com/job/1926184657.shtml	https://www.liepin.com/company/682357/	215	中国500强	界面设计	7
23	24	本科及以上	3-5年	12-24k·12薪	2020年04月24日	高级平面设计师		小米	https://www.liepin.com/job/1925945781.shtml	https://www.liepin.com/company/2174886/	215	中国500强	界面设计	7
24	25	统招本科	经验不限	15-25k·12薪	2020年04月24日	游戏动效	杭州-滨江区	网易集团	https://www.liepin.com/job/1925586065.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
25	26	学历不限	3-5年	面议	2020年04月24日	钉钉(DingTalk)-开放平台&商业化体验设计专家-开放平台与商业化	杭州	阿里巴巴	https://www.liepin.com/job/1925331557.shtml	https://www.liepin.com/company/1072424/	215	中国500强	界面设计	7
26	27	本科及以上	3-5年	12-24k·14薪	2020年04月24日	设计师		小米	https://www.liepin.com/job/1924949181.shtml	https://www.liepin.com/company/2174886/	215	中国500强	界面设计	7
27	28	大专及以上	3-5年	15-30k·12薪	2020年04月24日	3d特效	杭州	网易集团	https://www.liepin.com/job/1924601153.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
28	29	大专及以上	3-5年	15-30k·12薪	2020年04月24日	视觉特效设计师	杭州-长河	网易集团	https://www.liepin.com/job/1923165721.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
29	30	大专及以上	1-3年	15-30k·12薪	2020年04月24日	游戏交互设计师	杭州-长河	网易集团	https://www.liepin.com/job/1922083681.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
30	31	本科及以上	经验不限	20-39k·12薪	2020年04月24日	互金产品经理	北京	小米	https://www.liepin.com/job/1916890097.shtml	https://www.liepin.com/company/2174886/	215	中国500强	界面设计	7
31	32	大专及以上	1-3年	10-15k·12薪	2020年04月24日	【APP视觉设计师】（外包编制）	杭州-长河	网易集团	https://www.liepin.com/job/1916348663.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
32	33	本科及以上	5-10年	15-30k·12薪	2020年04月24日	资深视觉设计师	杭州-滨江区	网易集团	https://www.liepin.com/job/1915474478.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
33	34	学历不限	3-5年	面议	2020年04月23日	政务钉钉事业部-Android应用开发高级程序员/技术专家-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927514385.shtml	https://www.liepin.com/company/1072424/	215	中国500强	界面设计	7
34	35	学历不限	3-5年	面议	2020年04月23日	AliExpress-高级前端工程师/专家-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927266713.shtml	https://www.liepin.com/company/1072424/	215	中国500强	界面设计	7
35	36	统招本科	1-3年	15-30k·16薪	2020年04月23日	手游客户端开发（国际IP在研MMO）	广州-天河区	网易集团	https://www.liepin.com/job/1927003375.shtml	https://www.liepin.com/company/5964833/	215	中国500强	界面设计	7
36	37	本科及以上	3-5年	15-25k·14薪	2020年04月23日	Android开发工程师-小米电视		小米	https://www.liepin.com/job/1916315509.shtml	https://www.liepin.com/company/2174886/	215	中国500强	界面设计	7
37	38	学历不限	3-5年	面议	2020年04月23日	CBU技术部-无线技术专家-ios方向	杭州	阿里巴巴	https://www.liepin.com/job/1927703821.shtml	https://www.liepin.com/company/1072424/	215	中国500强	界面设计	7
38	39	学历不限	3-5年	面议	2020年04月23日	政务钉钉事业部-C++技术专家-PC端-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927514835.shtml	https://www.liepin.com/company/1072424/	215	中国500强	界面设计	7
39	40	学历不限	5-10年	面议	2020年04月23日	智能场景事业部-门店VMD视觉体验设计师-ihome	杭州	阿里巴巴	https://www.liepin.com/job/1927316413.shtml	https://www.liepin.com/company/1072424/	215	中国500强	界面设计	7
