	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	学历不限	3-5年	面议	2020年04月23日	政务钉钉事业部-C++技术专家-PC端-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927514835.shtml	https://www.liepin.com/company/1072424/	226	中国500强	UI设计	8
1	2	统招本科	5-10年	面议	2020年04月23日	综合管理部 信息化建设经理	深圳-福田区	中国燃气控股有限公司	https://www.liepin.com/job/1926074815.shtml	https://www.liepin.com/company/8196708/	226	中国500强	UI设计	8
2	3	本科及以上	3-5年	面议	2020年04月23日	（UE）交互设计师	深圳	天虹商场	https://www.liepin.com/job/1920754209.shtml	https://www.liepin.com/company/8149547/	226	中国500强	UI设计	8
3	4	学历不限	5-10年	面议	2020年04月22日	数字供应链事业部-体验设计专家-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927661475.shtml	https://www.liepin.com/company/1072424/	226	中国500强	UI设计	8
4	5	学历不限	3-5年	面议	2020年04月22日	猫超产品技术&手猫技术部-iOS/Android资深工程师/专家-手机天猫技术部	杭州	阿里巴巴	https://www.liepin.com/job/1927671805.shtml	https://www.liepin.com/company/1072424/	226	中国500强	UI设计	8
5	6	本科及以上	5-10年	面议	2020年04月22日	产品经理	珠海	华发集团	https://www.liepin.com/job/1927486241.shtml	https://www.liepin.com/company/8253841/	226	中国500强	UI设计	8
6	7	统招本科	3-5年	17-34k·14薪	2020年04月22日	小程序前端产品经理（微信小程序业务部）	深圳-宝安区	京东	https://www.liepin.com/job/1921428649.shtml	https://www.liepin.com/company/1663745/	226	中国500强	UI设计	8
7	8	大专及以上	1-3年	10-15k·12薪	2020年04月21日	智能家居产品经理	杭州-江干区	华峰集团	https://www.liepin.com/job/1924825769.shtml	https://www.liepin.com/company/5829215/	226	中国500强	UI设计	8
8	9	学历不限	经验不限	面议	2020年04月21日	Lazada-实习生-搜索IOS客户端开发工程师-shenzhen	深圳	阿里巴巴	https://www.liepin.com/job/1927617779.shtml	https://www.liepin.com/company/1072424/	226	中国500强	UI设计	8
9	10	本科及以上	3-5年	面议	2020年04月21日	iOS研发工程师	北京	京东	https://www.liepin.com/job/1927616271.shtml	https://www.liepin.com/company/1663745/	226	中国500强	UI设计	8
10	11	学历不限	3-5年	面议	2020年04月20日	国际化中台-高级移动端开发工程师/技术专家-深圳	深圳	阿里巴巴	https://www.liepin.com/job/1927302173.shtml	https://www.liepin.com/company/1072424/	226	中国500强	UI设计	8
11	12	本科及以上	1-3年	15-25k·12薪	2020年04月21日	自然语言处理部_百度翻译安卓开发工程师	北京	Baidu	https://www.liepin.com/job/1927621685.shtml	https://www.liepin.com/company/884492/	226	中国500强	UI设计	8
12	13	本科及以上	3-5年	面议	2020年04月21日	Android研发工程师	北京	京东	https://www.liepin.com/job/1927614553.shtml	https://www.liepin.com/company/1663745/	226	中国500强	UI设计	8
13	14	本科及以上	经验不限	40-70k·12薪	2020年04月21日	产品总监（财务）	北京	苏宁易购	https://www.liepin.com/job/1927604365.shtml	https://www.liepin.com/company/2051657/	226	中国500强	UI设计	8
14	15	本科及以上	经验不限	40-70k·12薪	2020年04月21日	产品总监（财务）	上海	苏宁易购	https://www.liepin.com/job/1927604361.shtml	https://www.liepin.com/company/2051657/	226	中国500强	UI设计	8
15	16	学历不限	5-10年	面议	2020年04月21日	钉钉(DingTalk)--iOS技术专家-音视频	杭州	阿里巴巴	https://www.liepin.com/job/1927394953.shtml	https://www.liepin.com/company/1072424/	226	中国500强	UI设计	8
16	17	学历不限	3-5年	面议	2020年04月21日	蚂蚁集团-支付宝技术部职位通道-杭州、上海、北京、成都	杭州	阿里巴巴	https://www.liepin.com/job/1926467325.shtml	https://www.liepin.com/company/1072424/	226	中国500强	UI设计	8
17	18	大专及以上	1-3年	9-18k·12薪	2020年04月21日	C++开发工程师_影像事业群	南昌	欧菲光	https://www.liepin.com/job/1921651875.shtml	https://www.liepin.com/company/856576/	226	中国500强	UI设计	8
18	19	大专及以上	1-3年	面议	2020年04月21日	游戏交互设计师	广州-珠江新城	网易集团	https://www.liepin.com/job/1921076719.shtml	https://www.liepin.com/company/5964833/	226	中国500强	UI设计	8
19	20	学历不限	3-5年	面议	2020年04月20日	蚂蚁金服-前端专家-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927600081.shtml	https://www.liepin.com/company/1072424/	226	中国500强	UI设计	8
20	21	本科及以上	经验不限	15-25k·12薪	2020年04月20日	供应链IT产品经理	长沙-岳麓区	中联重科	https://www.liepin.com/job/1927590283.shtml	https://www.liepin.com/company/4450360/	226	中国500强	UI设计	8
21	22	本科及以上	3-5年	25-45k·16薪	2020年04月20日	ios开发专家	杭州	阿里巴巴	https://www.liepin.com/job/1927580431.shtml	https://www.liepin.com/company/8679040/	226	中国500强	UI设计	8
22	23	本科及以上	3-5年	20-35k·15薪	2020年04月20日	ios高级工程师/专家	杭州	阿里巴巴	https://www.liepin.com/job/1927579541.shtml	https://www.liepin.com/company/8679040/	226	中国500强	UI设计	8
23	24	统招本科	3-5年	25-40k·14薪	2020年04月20日	高级产品经理-海外浏览器	北京	小米	https://www.liepin.com/job/1926021079.shtml	https://www.liepin.com/company/2174886/	226	中国500强	UI设计	8
24	25	学历不限	3-5年	面议	2020年04月19日	数据技术及产品部-创意设计专家-创意、可视化、3D动效方向	杭州	阿里巴巴	https://www.liepin.com/job/1927570675.shtml	https://www.liepin.com/company/1072424/	226	中国500强	UI设计	8
25	26	学历不限	3-5年	面议	2020年04月19日	数据技术及产品部-体验设计专家-可视化	杭州	阿里巴巴	https://www.liepin.com/job/1927570569.shtml	https://www.liepin.com/company/1072424/	226	中国500强	UI设计	8
26	27	学历不限	5-10年	面议	2020年04月19日	数据技术及产品部-创意设计专家-商业大数据产品	杭州	阿里巴巴	https://www.liepin.com/job/1927569737.shtml	https://www.liepin.com/company/1072424/	226	中国500强	UI设计	8
27	28	本科及以上	3-5年	20-25k·13薪	2020年04月18日	测试工程师	杭州	网易集团	https://www.liepin.com/job/1927430555.shtml	https://www.liepin.com/company/5964833/	226	中国500强	UI设计	8
28	29	本科及以上	经验不限	8-16k·16薪	2020年04月18日	创意设计师	杭州	网易集团	https://www.liepin.com/job/1927314561.shtml	https://www.liepin.com/company/5964833/	226	中国500强	UI设计	8
29	30	学历不限	3-5年	面议	2020年04月17日	CBU技术部-无线技术专家-Android方向	杭州	阿里巴巴	https://www.liepin.com/job/1927540881.shtml	https://www.liepin.com/company/1072424/	226	中国500强	UI设计	8
