	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	统招本科	3-5年	10-20k·13薪	2020年04月23日	品牌专员	东莞	恒大集团	https://www.liepin.com/job/1924776937.shtml	https://www.liepin.com/company/850378/	237	中国500强	视觉设计	9
1	2	统招本科	3-5年	10-20k·13薪	2020年04月23日	品牌专员	广州	恒大集团	https://www.liepin.com/job/1924776935.shtml	https://www.liepin.com/company/850378/	237	中国500强	视觉设计	9
2	3	统招本科	3-5年	10-20k·13薪	2020年04月23日	品牌专员	清远	恒大集团	https://www.liepin.com/job/1924776933.shtml	https://www.liepin.com/company/850378/	237	中国500强	视觉设计	9
3	4	学历不限	5-10年	面议	2020年04月23日	奢品运营中心-体验设计专家-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927702715.shtml	https://www.liepin.com/company/1072424/	237	中国500强	视觉设计	9
4	5	本科及以上	5-10年	面议	2020年04月23日	集团策划总监/高级经理	深圳-南山区	禹洲地产股份有限公司	https://www.liepin.com/job/1927684643.shtml	https://www.liepin.com/company/2245242/	237	中国500强	视觉设计	9
5	6	学历不限	经验不限	16-32k·16薪	2020年04月23日	G118资深文案策划	广州	网易集团	https://www.liepin.com/job/1927560625.shtml	https://www.liepin.com/company/5964833/	237	中国500强	视觉设计	9
6	7	学历不限	3-5年	面议	2020年04月23日	智能场景事业部-HomeAI交互设计专家/高级专家	杭州	阿里巴巴	https://www.liepin.com/job/1927273785.shtml	https://www.liepin.com/company/1072424/	237	中国500强	视觉设计	9
7	8	本科及以上	3-5年	面议	2020年04月23日	（UE）交互设计师	深圳	天虹商场	https://www.liepin.com/job/1920754209.shtml	https://www.liepin.com/company/8149547/	237	中国500强	视觉设计	9
8	9	学历不限	5-10年	面议	2020年04月22日	数字供应链事业部-体验设计专家-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927661475.shtml	https://www.liepin.com/company/1072424/	237	中国500强	视觉设计	9
9	10	本科及以上	经验不限	4-8k·12薪	2020年04月22日	设计师	武汉	苏宁易购	https://www.liepin.com/job/1927640879.shtml	https://www.liepin.com/company/2051657/	237	中国500强	视觉设计	9
10	11	本科及以上	3-5年	17-25k·12薪	2020年04月22日	策划经理（溧水）-南京区域公司	南京	弘阳集团	https://www.liepin.com/job/1927525679.shtml	https://www.liepin.com/company/729252/	237	中国500强	视觉设计	9
11	12	本科及以上	3-5年	2-3k·12薪	2020年04月22日	策划经理（江浦桥林）-南京区域公司	南京	弘阳集团	https://www.liepin.com/job/1926448525.shtml	https://www.liepin.com/company/729252/	237	中国500强	视觉设计	9
12	13	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	重庆-石桥铺	万科	https://www.liepin.com/job/1926163559.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
13	14	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	天津-马场道	万科	https://www.liepin.com/job/1926163557.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
14	15	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	深圳	万科	https://www.liepin.com/job/1926163555.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
15	16	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	广州-西关	万科	https://www.liepin.com/job/1926163553.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
16	17	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	哈尔滨-进乡	万科	https://www.liepin.com/job/1926163551.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
17	18	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	沈阳-长白	万科	https://www.liepin.com/job/1926163549.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
18	19	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	长春	万科	https://www.liepin.com/job/1926163547.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
19	20	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	宁德	万科	https://www.liepin.com/job/1926163545.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
20	21	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	三明	万科	https://www.liepin.com/job/1926163543.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
21	22	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	厦门-杏东路	万科	https://www.liepin.com/job/1926163541.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
22	23	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	福州-首山	万科	https://www.liepin.com/job/1926163539.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
23	24	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	南京	万科	https://www.liepin.com/job/1926163537.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
24	25	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	苏州	万科	https://www.liepin.com/job/1926163535.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
25	26	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	上海-七宝	万科	https://www.liepin.com/job/1926163533.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
26	27	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	绍兴	万科	https://www.liepin.com/job/1926163531.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
27	28	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	湖州	万科	https://www.liepin.com/job/1926163529.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
28	29	统招本科	3-5年	面议	2020年04月22日	品牌策划经理	嘉兴	万科	https://www.liepin.com/job/1926163527.shtml	https://www.liepin.com/company/4817469/	237	中国500强	视觉设计	9
