	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	硕士及以上	3-5年	20-40k·16薪	2020年04月24日	资深数据挖掘工程师-雷火用户体验研究中心001	杭州	网易集团	https://www.liepin.com/job/1926571709.shtml	https://www.liepin.com/company/5964833/	240	中国500强	交互设计	2
1	2	本科及以上	经验不限	面议	2020年04月24日	UE4客户端开发工程师（战争题材SLG项目）	广州	网易集团	https://www.liepin.com/job/1926483157.shtml	https://www.liepin.com/company/5964833/	240	中国500强	交互设计	2
2	3	学历不限	5-10年	面议	2020年04月23日	奢品运营中心-体验设计专家-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927702715.shtml	https://www.liepin.com/company/1072424/	240	中国500强	交互设计	2
3	4	学历不限	3-5年	面议	2020年04月22日	数字农业产品技术部-UED交互&设计专家-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927671411.shtml	https://www.liepin.com/company/1072424/	240	中国500强	交互设计	2
4	5	学历不限	5-10年	面议	2020年04月22日	数字供应链事业部-高级体验设计专家-UED	杭州	阿里巴巴	https://www.liepin.com/job/1927662027.shtml	https://www.liepin.com/company/1072424/	240	中国500强	交互设计	2
5	6	学历不限	3-5年	面议	2020年04月23日	设计事业部-体验设计专家-ICBU设计部	深圳	阿里巴巴	https://www.liepin.com/job/1927303755.shtml	https://www.liepin.com/company/1072424/	240	中国500强	交互设计	2
6	7	学历不限	3-5年	面议	2020年04月24日	钉钉(DingTalk)-开放平台&商业化体验设计专家-开放平台与商业化	杭州	阿里巴巴	https://www.liepin.com/job/1925331557.shtml	https://www.liepin.com/company/1072424/	240	中国500强	交互设计	2
7	8	学历不限	5-10年	面议	2020年04月24日	集团客户体验事业部-客户服务专家-商家服务赋能-FBT业体验设计&拓展	杭州	阿里巴巴	https://www.liepin.com/job/1927195813.shtml	https://www.liepin.com/company/1072424/	240	中国500强	交互设计	2
8	9	本科及以上	1-3年	10-20k·12薪	2020年04月21日	交互设计师		网易集团	https://www.liepin.com/job/1927635399.shtml	https://www.liepin.com/company/5964833/	240	中国500强	交互设计	2
9	10	本科及以上	3-5年	10-20k·12薪	2020年04月21日	高级交互设计师（软硬件交互设计方向）		网易集团	https://www.liepin.com/job/1927635379.shtml	https://www.liepin.com/company/5964833/	240	中国500强	交互设计	2
10	11	大专及以上	1-3年	面议	2020年04月21日	游戏交互设计师	广州-珠江新城	网易集团	https://www.liepin.com/job/1921076719.shtml	https://www.liepin.com/company/5964833/	240	中国500强	交互设计	2
11	12	本科及以上	1-3年	面议	2020年04月21日	UI/UX设计师	北京	京东	https://www.liepin.com/job/1927616423.shtml	https://www.liepin.com/company/1663745/	240	中国500强	交互设计	2
