	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	统招本科	经验不限	面议	2020年03月17日	UE4开发工程师	深圳	网易集团	https://www.liepin.com/job/1925397443.shtml	https://www.liepin.com/company/5964833/	254	中国500强	用户体验	6
1	2	统招本科	经验不限	20-50k·16薪	2020年03月17日	UE4开发工程师	广州	网易集团	https://www.liepin.com/job/1925387043.shtml	https://www.liepin.com/company/5964833/	254	中国500强	用户体验	6
2	3	本科及以上	3-5年	面议	2019年08月27日	IDG智能驾驶体验设计中心_高级交互设计师	深圳	Baidu	https://www.liepin.com/job/1922925653.shtml	https://www.liepin.com/company/884492/	254	中国500强	用户体验	6
3	4	本科及以上	3-5年	面议	2019年08月27日	IDG智能驾驶体验设计中心_高级交互设计师	北京	Baidu	https://www.liepin.com/job/1922925651.shtml	https://www.liepin.com/company/884492/	254	中国500强	用户体验	6
4	5	本科及以上	5-10年	面议	2019年08月13日	25664-高级交互设计师	广州	腾讯	https://www.liepin.com/job/1918628811.shtml	https://www.liepin.com/company/7983148/	254	中国500强	用户体验	6
5	6	学历不限	5-10年	面议	2020年02月11日	平头哥-UED专家-IoT	杭州	阿里巴巴	https://www.liepin.com/job/1924858753.shtml	https://www.liepin.com/company/1072424/	254	中国500强	用户体验	6
6	7	统招本科	3-5年	面议	2019年09月05日	海外游戏资深交互设计师	杭州-长河	网易集团	https://www.liepin.com/job/1915625386.shtml	https://www.liepin.com/company/5964833/	254	中国500强	用户体验	6
7	8	本科及以上	3-5年	面议	2019年10月15日	29911-TaiQ 交互设计师	深圳	腾讯	https://www.liepin.com/job/1922540757.shtml	https://www.liepin.com/company/7983148/	254	中国500强	用户体验	6
8	9	本科及以上	5-10年	面议	2019年10月15日	29910-高级交互设计师	深圳	腾讯	https://www.liepin.com/job/1923462121.shtml	https://www.liepin.com/company/7983148/	254	中国500强	用户体验	6
9	10	本科及以上	3-5年	面议	2019年10月15日	27553-腾讯音乐交互设计	深圳	腾讯	https://www.liepin.com/job/1922696555.shtml	https://www.liepin.com/company/7983148/	254	中国500强	用户体验	6
10	11	学历不限	3-5年	面议	2019年09月29日	数字农业事业部-UED交互&设计专家-杭州		阿里巴巴	https://www.liepin.com/job/1923817963.shtml	https://www.liepin.com/company/1072424/	254	中国500强	用户体验	6
11	12	统招本科	3-5年	面议	2019年09月29日	用户交互营销总监/经理	青岛	海尔智家	https://www.liepin.com/job/1916526751.shtml	https://www.liepin.com/company/9671743/	254	中国500强	用户体验	6
12	13	学历不限	5-10年	面议	2020年02月16日	Lazada-UED Lead-深圳	深圳	阿里巴巴	https://www.liepin.com/job/1912215533.shtml	https://www.liepin.com/company/1072424/	254	中国500强	用户体验	6
13	14	统招本科	5-10年	面议	2020年02月27日	体验设计专家/高级专家		阿里巴巴	https://www.liepin.com/job/1926295459.shtml	https://www.liepin.com/company/1072424/	254	中国500强	用户体验	6
14	15	统招本科	1-3年	面议	2018年11月19日	UE4引擎开发工程师	广州-天河区	网易集团	https://www.liepin.com/job/1915170867.shtml	https://www.liepin.com/company/5964833/	254	中国500强	用户体验	6
15	16	本科及以上	5-10年	面议	2020年02月11日	资深交互设计师/专家	杭州	网易集团	https://www.liepin.com/job/1926003351.shtml	https://www.liepin.com/company/5964833/	254	中国500强	用户体验	6
16	17	本科及以上	3-5年	面议	2020年03月30日	UE设计师（智能互联事业部）	南京-栖霞区	奇瑞控股集团有限公司	https://www.liepin.com/job/1926983947.shtml	https://www.liepin.com/company/9572203/	254	中国500强	用户体验	6
17	18	学历不限	5-10年	面议	2020年04月02日	阿里云智能事业群-高级体验设计师-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927172501.shtml	https://www.liepin.com/company/1072424/	254	中国500强	用户体验	6
18	19	本科及以上	1-3年	面议	2019年10月15日	25925-少儿编程交互设计师	深圳	腾讯	https://www.liepin.com/job/1923587481.shtml	https://www.liepin.com/company/7983148/	254	中国500强	用户体验	6
19	20	本科及以上	3-5年	面议	2019年10月15日	MIG07-交互设计（深圳）	深圳	腾讯	https://www.liepin.com/job/1915361563.shtml	https://www.liepin.com/company/7983148/	254	中国500强	用户体验	6
20	21	本科及以上	经验不限	10-15k·12薪	2019年03月11日	UE4C++程序员-应届		苏宁易购	https://www.liepin.com/job/1917632303.shtml	https://www.liepin.com/company/2051657/	254	中国500强	用户体验	6
21	22	学历不限	5-10年	面议	2019年08月20日	创新事业群UC事业部-智能交互及搜索产品体验设计专家	杭州	阿里巴巴	https://www.liepin.com/job/1922474735.shtml	https://www.liepin.com/company/1072424/	254	中国500强	用户体验	6
22	23	本科及以上	3-5年	面议	2019年04月02日	阿里云智能-高级体验设计师	防城港	阿里巴巴	https://www.liepin.com/job/1918891403.shtml	https://www.liepin.com/company/1072424/	254	中国500强	用户体验	6
23	24	本科及以上	3-5年	面议	2019年02月26日	阿里集团-高级体验设计师	防城港	阿里巴巴	https://www.liepin.com/job/1917846287.shtml	https://www.liepin.com/company/1072424/	254	中国500强	用户体验	6
24	25	本科及以上	3-5年	面议	2019年12月31日	55098-27553-腾讯音乐交互设计	深圳	腾讯	https://www.liepin.com/job/1925583421.shtml	https://www.liepin.com/company/7983148/	254	中国500强	用户体验	6
25	26	统招本科	经验不限	2-3k·12薪	2020年03月26日	游戏交互设计实习生-广州	广州-东圃	网易集团	https://www.liepin.com/job/1926986477.shtml	https://www.liepin.com/company/5964833/	254	中国500强	用户体验	6
