	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	学历不限	3-5年	面议	2020年04月15日	Teambition-大数据开发专家-上海	杭州	阿里巴巴	https://www.liepin.com/job/1927478517.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
1	2	统招本科	5-10年	25-50k·12薪	2020年04月15日	数据库研发工程师	北京	小米	https://www.liepin.com/job/1927478499.shtml	https://www.liepin.com/company/2174886/	275	中国500强	服务设计	7
2	3	学历不限	5-10年	面议	2020年04月15日	阿里云智能事业群-IoT-解决方案架构师（未来社区）-杭州/上海/北京	杭州	阿里巴巴	https://www.liepin.com/job/1927473937.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
3	4	学历不限	3-5年	面议	2020年04月15日	阿里文娱互动娱乐事业部-高级开发工程师（服务器）-中台WY	广州	阿里巴巴	https://www.liepin.com/job/1927465927.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
4	5	学历不限	5-10年	面议	2020年04月15日	ICBU-国际贸易事业部-高级运营专家（商业分析方向）	深圳	阿里巴巴	https://www.liepin.com/job/1927461251.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
5	6	学历不限	5-10年	面议	2020年04月15日	创新事业群融媒体发展事业部-在线服务Java技术专家. QK-北京	杭州	阿里巴巴	https://www.liepin.com/job/1927459739.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
6	7	学历不限	5-10年	面议	2020年04月15日	阿里集团-后端技术专家(Java)-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927456633.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
7	8	学历不限	5-10年	面议	2020年04月15日	数据技术及产品部-Java技术专家/架构师-FaaS方向	杭州	阿里巴巴	https://www.liepin.com/job/1927452161.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
8	9	学历不限	5-10年	面议	2020年04月15日	阿里云智能事业群-弹性计算架构师-杭州/北京	杭州	阿里巴巴	https://www.liepin.com/job/1927420449.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
9	10	学历不限	5-10年	面议	2020年04月15日	ICBU-国际贸易事业部-GGS服务运营专家	深圳	阿里巴巴	https://www.liepin.com/job/1927363377.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
10	11	学历不限	3-5年	面议	2020年04月15日	新零售技术事业群-技术研发专家（Java研发、数据研发）-淘系技术部	杭州	阿里巴巴	https://www.liepin.com/job/1927273783.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
11	12	学历不限	5-10年	面议	2020年04月15日	集团客户体验事业部-服务体验专家-关键体验保障-关键人群运营	南京	阿里巴巴	https://www.liepin.com/job/1927271295.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
12	13	学历不限	5-10年	面议	2020年04月15日	集团客户体验事业部-服务体验专家-关键体验保障-业务分析	南京	阿里巴巴	https://www.liepin.com/job/1927268933.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
13	14	本科及以上	3-5年	13-28k·12薪	2020年04月15日	信贷数据分析师	上海-龙华	小米	https://www.liepin.com/job/1924565471.shtml	https://www.liepin.com/company/2174886/	275	中国500强	服务设计	7
14	15	大专及以上	1-3年	5-15k·12薪	2020年04月15日	陈设设计	苏州	金螳螂	https://www.liepin.com/job/197543886.shtml	https://www.liepin.com/company/7912805/	275	中国500强	服务设计	7
15	16	大专及以上	5-10年	8-15k·24薪	2020年04月15日	设计总监	上海	金螳螂	https://www.liepin.com/job/197164063.shtml	https://www.liepin.com/company/7912805/	275	中国500强	服务设计	7
16	17	学历不限	5-10年	面议	2020年04月14日	淘宝大学-平台产品运营专家-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927443631.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
17	18	学历不限	5-10年	面议	2020年04月14日	ICBU-中国供应商-外贸供应链运营专家（杭州）	杭州	阿里巴巴	https://www.liepin.com/job/1927433687.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
18	19	学历不限	5-10年	面议	2020年04月14日	阿里云智能事业群-安全服务专家-杭州/北京	杭州	阿里巴巴	https://www.liepin.com/job/1927421657.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
19	20	学历不限	3-5年	面议	2020年04月14日	阿里云智能事业群-云图站研发专家-北京/杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927420737.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
20	21	学历不限	3-5年	面议	2020年04月14日	阿里云智能事业群-企业IT治理Java技术专家/高级专家-杭州/北京	杭州	阿里巴巴	https://www.liepin.com/job/1927419207.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
21	22	学历不限	5-10年	面议	2020年04月14日	ICBU-中国供应商-产品运营专家（杭州）	杭州	阿里巴巴	https://www.liepin.com/job/1927418529.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
22	23	学历不限	5-10年	面议	2020年04月14日	阿里云智能事业群-稳定性开发专家-杭州/北京	杭州	阿里巴巴	https://www.liepin.com/job/1927415981.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
23	24	学历不限	3-5年	面议	2020年04月14日	阿里云智能事业群-C++技术专家/高级专家（开放平台）-杭州/北京	杭州	阿里巴巴	https://www.liepin.com/job/1927415239.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
24	25	学历不限	3-5年	面议	2020年04月14日	阿里云智能事业群-混合云存储测试和交付技术专家/高级技术专家-杭州/上海/北京	杭州	阿里巴巴	https://www.liepin.com/job/1927415235.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
25	26	学历不限	5-10年	面议	2020年04月14日	阿里云智能事业群-工具系统产品专家-杭州/北京	杭州	阿里巴巴	https://www.liepin.com/job/1927404337.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
26	27	学历不限	5-10年	面议	2020年04月14日	阿里云智能事业群-网络安全产品架构师/高级架构师-杭州/北京	杭州	阿里巴巴	https://www.liepin.com/job/1927322867.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
27	28	学历不限	3-5年	面议	2020年04月14日	新零售技术事业群-数据研发专家-淘系技术部	杭州	阿里巴巴	https://www.liepin.com/job/1927273977.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
28	29	学历不限	5-10年	面议	2020年04月13日	天猫消费电子-保洁服务供应链专家-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927409559.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
29	30	学历不限	5-10年	面议	2020年04月13日	CBU-服务运营专家	杭州	阿里巴巴	https://www.liepin.com/job/1927411399.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
30	31	学历不限	5-10年	面议	2020年04月13日	天猫消费电子-服务质量管控专家-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927402129.shtml	https://www.liepin.com/company/1072424/	275	中国500强	服务设计	7
