	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	1-3年	3-4k·12薪	2019年06月17日	软件开发实习生 wh/zx-02	武汉-积玉桥	华润电力控股有限公司	https://www.liepin.com/job/1920644583.shtml	https://www.liepin.com/company/7880346/	282	中国500强	信息设计	4
1	2	本科及以上	1-3年	3-4k·12薪	2019年06月17日	软件开发实习生	深圳-大冲	华润电力控股有限公司	https://www.liepin.com/job/1920642651.shtml	https://www.liepin.com/company/7880346/	282	中国500强	信息设计	4
2	3	本科及以上	5-10年	面议	2019年05月30日	菜鸟-运输产品专家	杭州	阿里巴巴	https://www.liepin.com/job/1916689569.shtml	https://www.liepin.com/company/1072424/	282	中国500强	信息设计	4
3	4	本科及以上	3-5年	30-45k·12薪	2019年05月27日	IDG智能驾驶体验设计中心_高级视觉设计师	深圳	Baidu	https://www.liepin.com/job/1920229861.shtml	https://www.liepin.com/company/884492/	282	中国500强	信息设计	4
4	5	统招本科	1-3年	8-10k·13薪	2019年05月21日	信息化专员	深圳-南山区	恒大集团	https://www.liepin.com/job/1919764523.shtml	https://www.liepin.com/company/850378/	282	中国500强	信息设计	4
5	6	本科及以上	3-5年	8-20k·14薪	2019年05月15日	信息岗（央企直聘）	杭州-四季青	华润电力控股有限公司	https://www.liepin.com/job/1919870563.shtml	https://www.liepin.com/company/7880346/	282	中国500强	信息设计	4
6	7	统招本科	5-10年	面议	2019年05月07日	智慧城市业务发展部_解决方案经理(园区方向)	北京-上地	Baidu	https://www.liepin.com/job/1919052849.shtml	https://www.liepin.com/company/884492/	282	中国500强	信息设计	4
7	8	统招本科	3-5年	15-30k·12薪	2019年05月06日	E-HR经理	北京	世纪金源	https://www.liepin.com/job/1916295153.shtml	https://www.liepin.com/company/909980/	282	中国500强	信息设计	4
8	9	本科及以上	5-10年	面议	2019年04月24日	智慧城市业务发展部_解决方案架构师	北京	Baidu	https://www.liepin.com/job/1916147211.shtml	https://www.liepin.com/company/884492/	282	中国500强	信息设计	4
9	10	本科及以上	5-10年	面议	2019年04月02日	菜鸟-港到仓CP运营专家		阿里巴巴	https://www.liepin.com/job/1914802733.shtml	https://www.liepin.com/company/1072424/	282	中国500强	信息设计	4
10	11	本科及以上	经验不限	面议	2019年03月20日	蚂蚁金服-支付宝开放平台&小程序 技术文档工程师	上海	阿里巴巴	https://www.liepin.com/job/1916255731.shtml	https://www.liepin.com/company/1072424/	282	中国500强	信息设计	4
11	12	本科及以上	经验不限	面议	2019年03月20日	蚂蚁金服-支付宝开放平台&小程序 技术文档工程师	杭州	阿里巴巴	https://www.liepin.com/job/1916255729.shtml	https://www.liepin.com/company/1072424/	282	中国500强	信息设计	4
12	13	本科及以上	经验不限	面议	2019年03月20日	蚂蚁金服-技术文档工程师	上海-北蔡	阿里巴巴	https://www.liepin.com/job/1915466905.shtml	https://www.liepin.com/company/1072424/	282	中国500强	信息设计	4
13	14	本科及以上	1-3年	面议	2019年03月20日	蚂蚁金服-技术文档工程师	杭州	阿里巴巴	https://www.liepin.com/job/1915466904.shtml	https://www.liepin.com/company/1072424/	282	中国500强	信息设计	4
14	15	大专及以上	3-5年	8-20k·12薪	2019年03月04日	弱电／智能化设计师	南京	苏宁易购	https://www.liepin.com/job/1915760790.shtml	https://www.liepin.com/company/2051657/	282	中国500强	信息设计	4
15	16	大专及以上	3-5年	7-12k·12薪	2019年01月17日	CAE工程师（模厂）	长沙	蓝思科技	https://www.liepin.com/job/1916841945.shtml	https://www.liepin.com/company/7880922/	282	中国500强	信息设计	4
16	17	本科及以上	3-5年	面议	2019年01月03日	自动驾驶技术部_智能交通-高级产品经理	北京	Baidu	https://www.liepin.com/job/1916532947.shtml	https://www.liepin.com/company/884492/	282	中国500强	信息设计	4
17	18	本科及以上	5-10年	面议	2018年12月25日	阿里妈妈事业部-信息流广告产品专家-北京/杭州		阿里巴巴	https://www.liepin.com/job/1916413445.shtml	https://www.liepin.com/company/1072424/	282	中国500强	信息设计	4
18	19	本科及以上	3-5年	面议	2018年12月06日	蚂蚁金服-技术文档工程师（中文）	临沧	阿里巴巴	https://www.liepin.com/job/1916114641.shtml	https://www.liepin.com/company/1072424/	282	中国500强	信息设计	4
19	20	本科及以上	5-10年	30-50k·15薪	2018年11月09日	AIG用户体验部_高级视觉设计师(AI方向)	北京-上地	Baidu	https://www.liepin.com/job/1915757729.shtml	https://www.liepin.com/company/884492/	282	中国500强	信息设计	4
20	21	本科及以上	3-5年	面议	2018年10月23日	阿里影业-产品技术-UED视觉		阿里巴巴	https://www.liepin.com/job/1915627836.shtml	https://www.liepin.com/company/1072424/	282	中国500强	信息设计	4
21	22	本科及以上	3-5年	面议	2018年10月23日	阿里影业-产品技术-UED视觉		阿里巴巴	https://www.liepin.com/job/1915627835.shtml	https://www.liepin.com/company/1072424/	282	中国500强	信息设计	4
