	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	3-5年	面议	2020年04月25日	21229-PC游戏客户端开发工程师(上海)	上海	腾讯	https://www.liepin.com/job/1926146015.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
1	2	本科及以上	3-5年	面议	2020年04月25日	30933-AOV 资深特效设计师(深圳)	深圳	腾讯	https://www.liepin.com/job/1926145981.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
2	3	本科及以上	1-3年	面议	2020年04月25日	15570-游戏客户端开发工程师（深圳）	深圳	腾讯	https://www.liepin.com/job/1926124043.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
3	4	本科及以上	5-10年	面议	2020年04月25日	29777-小程序银行产品经理	深圳	腾讯	https://www.liepin.com/job/1926101651.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
4	5	本科及以上	5-10年	面议	2020年04月25日	29777-小程序银行前端开发	深圳	腾讯	https://www.liepin.com/job/1926101647.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
5	6	大专及以上	5-10年	面议	2020年04月25日	15569-魂斗罗高级3D特效设计师(深圳)	深圳	腾讯	https://www.liepin.com/job/1926101639.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
6	7	本科及以上	3-5年	面议	2020年04月25日	15569-魂斗罗手游高级系统策划（深圳）	深圳	腾讯	https://www.liepin.com/job/1926101613.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
7	8	本科及以上	3-5年	面议	2020年04月25日	29912-微视平台高级产品经理	深圳	腾讯	https://www.liepin.com/job/1926101527.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
8	9	本科及以上	3-5年	面议	2020年04月25日	TEG15-前端开发工程师	深圳	腾讯	https://www.liepin.com/job/1926065571.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
9	10	本科及以上	3-5年	面议	2020年04月25日	18427-理财通视觉设计师	深圳	腾讯	https://www.liepin.com/job/1926051807.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
10	11	大专及以上	5-10年	面议	2020年04月25日	15614-SLG手游资深UE4特效设计师（上海）	上海	腾讯	https://www.liepin.com/job/1926051763.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
11	12	本科及以上	3-5年	面议	2020年04月25日	57288-15614-客户端高级工程师（上海）	上海	腾讯	https://www.liepin.com/job/1926051727.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
12	13	本科及以上	3-5年	面议	2020年04月25日	32032-游戏客户端开发工程师(上海)	上海	腾讯	https://www.liepin.com/job/1926045577.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
13	14	本科及以上	5-10年	面议	2020年04月25日	22989-SSL证书产品经理	深圳	腾讯	https://www.liepin.com/job/1926045553.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
14	15	本科及以上	5-10年	面议	2020年04月25日	22989-备案与合规产品经理	深圳	腾讯	https://www.liepin.com/job/1926045551.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
15	16	本科及以上	1-3年	面议	2020年04月25日	29912-微视增长web前端开发工程师	深圳	腾讯	https://www.liepin.com/job/1926008435.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
16	17	本科及以上	3-5年	面议	2020年04月25日	15579-高级3D游戏特效设计（深圳）	深圳	腾讯	https://www.liepin.com/job/1925925333.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
17	18	本科及以上	5-10年	面议	2020年04月25日	单车-资深Web前端工程师		美团点评	https://www.liepin.com/job/1925887065.shtml	https://www.liepin.com/company/2036768/	135	上市公司	界面设计	9
18	19	本科及以上	3-5年	面议	2020年04月25日	15851-资深游戏引擎开发工程师Senior Engine Programmer（深圳/广州/洛杉矶）	深圳	腾讯	https://www.liepin.com/job/1925864383.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
19	20	本科及以上	5-10年	面议	2020年04月25日	56840-31677-腾讯车联高级视觉设计师（北京）	北京	腾讯	https://www.liepin.com/job/1925829323.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
20	21	本科及以上	3-5年	面议	2020年04月25日	25664-政务高级产品经理（深圳）	深圳	腾讯	https://www.liepin.com/job/1925787283.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
21	22	本科及以上	1-3年	面议	2020年04月25日	56729-15571-射击游戏系统策划（深圳）	深圳	腾讯	https://www.liepin.com/job/1925768453.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
22	23	本科及以上	3-5年	面议	2020年04月25日	25664-Web前端开发工程师(深圳/广州)（深圳）	深圳	腾讯	https://www.liepin.com/job/1925640521.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
23	24	本科及以上	5-10年	面议	2020年04月25日	56338-24012-游戏开黑产品经理（深圳）	深圳	腾讯	https://www.liepin.com/job/1925583781.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
24	25	本科及以上	3-5年	面议	2020年04月25日	56313-30622-腾讯广告Q系流量商业化产品经理（深圳）	深圳	腾讯	https://www.liepin.com/job/1925583773.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
25	26	本科及以上	1-3年	面议	2020年04月25日	54777-23671-企鹅号后台产品经理（北京）	北京	腾讯	https://www.liepin.com/job/1925583313.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
26	27	本科及以上	3-5年	面议	2020年04月25日	53964-PCG10-QQ浏览器Web前端开发工程师（全栈）	深圳	腾讯	https://www.liepin.com/job/1925583171.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
27	28	本科及以上	1-3年	面议	2020年04月25日	15571-射击游戏系统策划（深圳）	深圳	腾讯	https://www.liepin.com/job/1925546863.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
28	29	本科及以上	1-3年	面议	2020年04月25日	25664-Web前端开发工程师（腾讯云全资子公司）	武汉	腾讯	https://www.liepin.com/job/1925519369.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
29	30	本科及以上	5-10年	面议	2020年04月25日	15575-天美L1预研手游-3D特效设计师（成都）	成都	腾讯	https://www.liepin.com/job/1925519359.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
30	31	本科及以上	3-5年	面议	2020年04月25日	Web前端工程师-ERP		美团点评	https://www.liepin.com/job/1925512115.shtml	https://www.liepin.com/company/2036768/	135	上市公司	界面设计	9
31	32	本科及以上	3-5年	面议	2020年04月25日	15712-FPS手游界面动效设计师（深圳）	深圳	腾讯	https://www.liepin.com/job/1925432785.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
32	33	本科及以上	1-3年	面议	2020年04月25日	WXG03-小程序终端系统框架开发工程师	广州	腾讯	https://www.liepin.com/job/1925432749.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
33	34	本科及以上	3-5年	面议	2020年04月25日	数据平台开发专家-无人配送部		美团点评	https://www.liepin.com/job/1925237957.shtml	https://www.liepin.com/company/2036768/	135	上市公司	界面设计	9
34	35	本科及以上	1-3年	8-23k·13薪	2020年04月25日	web开发工程师 3010201	深圳	工业富联	https://www.liepin.com/job/1925103179.shtml	https://www.liepin.com/company/9580430/	135	上市公司	界面设计	9
35	36	本科及以上	5-10年	面议	2020年04月25日	交互设计-美团单车		美团点评	https://www.liepin.com/job/1925086023.shtml	https://www.liepin.com/company/2036768/	135	上市公司	界面设计	9
36	37	本科及以上	3-5年	面议	2020年04月25日	18302-国际IP新手游-UE4高级3D特效师 （深圳）	深圳	腾讯	https://www.liepin.com/job/1924990213.shtml	https://www.liepin.com/company/7983148/	135	上市公司	界面设计	9
37	38	本科及以上	3-5年	8-23k·13薪	2020年04月25日	前端开发工程师 3040271	深圳	工业富联	https://www.liepin.com/job/1924942425.shtml	https://www.liepin.com/company/9580430/	135	上市公司	界面设计	9
