	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	1-3年	面议	2020年04月25日	15579-海外游戏系统策划（深圳）	深圳	腾讯	https://www.liepin.com/job/1924736723.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
1	2	本科及以上	经验不限	8-23k·13薪	2020年04月25日	Web开发工程师 3030201	深圳-龙华区	工业富联	https://www.liepin.com/job/1923692955.shtml	https://www.liepin.com/company/9580430/	143	上市公司	UI设计	7
2	3	本科及以上	3-5年	面议	2020年04月25日	15575-天美L1-小游戏资深系统策划（成都）	成都	腾讯	https://www.liepin.com/job/1927453387.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
3	4	本科及以上	1-3年	面议	2020年04月25日	32268-腾讯视频移动端开发工程师（深圳/北京）	北京	腾讯	https://www.liepin.com/job/1927374333.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
4	5	本科及以上	3-5年	面议	2020年04月25日	59185-15712-游戏高级交互设计师（深圳）	深圳	腾讯	https://www.liepin.com/job/1926937359.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
5	6	本科及以上	5-10年	面议	2020年04月25日	29911-短视频社交高级视觉设计师	深圳	腾讯	https://www.liepin.com/job/1926166429.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
6	7	本科及以上	3-5年	面议	2020年04月25日	18427-理财通视觉设计师	深圳	腾讯	https://www.liepin.com/job/1926051807.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
7	8	本科及以上	3-5年	面议	2020年04月25日	29911-视觉设计师	深圳	腾讯	https://www.liepin.com/job/1925705383.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
8	9	本科及以上	5-10年	面议	2020年04月25日	15573-高级视觉设计师（上海）	上海	腾讯	https://www.liepin.com/job/1924306887.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
9	10	本科及以上	5-10年	面议	2020年04月25日	基础技术部-资深前端架构师		美团点评	https://www.liepin.com/job/1921615933.shtml	https://www.liepin.com/company/2036768/	143	上市公司	UI设计	7
10	11	本科及以上	3-5年	面议	2020年04月25日	25925-心悦俱乐部产品经理（权益方向）	深圳	腾讯	https://www.liepin.com/job/1927757911.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
11	12	大专及以上	经验不限	15-20k·12薪	2020年04月25日	交互设计师	南京	诚迈科技	https://www.liepin.com/job/1927752953.shtml	https://www.liepin.com/company/7857915/	143	上市公司	UI设计	7
12	13	本科及以上	1-3年	面议	2020年04月25日	21309-教育子公司--高校运营专员	深圳	腾讯	https://www.liepin.com/job/1927740535.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
13	14	本科及以上	1-3年	面议	2020年04月25日	18427-理财通web前端开发工程师	深圳	腾讯	https://www.liepin.com/job/1927374305.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
14	15	本科及以上	3-5年	面议	2020年04月25日	33370-车联网平台linux语音框架高级开发工程师	深圳	腾讯	https://www.liepin.com/job/1927130563.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
15	16	本科及以上	1-3年	面议	2020年04月25日	22989-腾云扣钉产品经理(全资公司编制)	深圳	腾讯	https://www.liepin.com/job/1927010833.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
16	17	本科及以上	3-5年	面议	2020年04月25日	22989-腾讯云用户增长web前端研发工程师	深圳	腾讯	https://www.liepin.com/job/1926937327.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
17	18	本科及以上	5-10年	面议	2020年04月25日	28481-资深视觉设计师	深圳	腾讯	https://www.liepin.com/job/1926284471.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
18	19	统招本科	经验不限	13-18k·14薪	2020年04月25日	交互设计师	福州-金山工业	星网锐捷	https://www.liepin.com/job/1926216849.shtml	https://www.liepin.com/company/885628/	143	上市公司	UI设计	7
19	20	本科及以上	1-3年	面议	2020年04月25日	54777-23671-企鹅号后台产品经理（北京）	北京	腾讯	https://www.liepin.com/job/1925583313.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
20	21	本科及以上	5-10年	25-55k·14薪	2020年04月25日	Web前端（园区）		京东	https://www.liepin.com/job/1924840437.shtml	https://www.liepin.com/company/1663745/	143	上市公司	UI设计	7
21	22	学历不限	1-3年	面议	2020年04月25日	美团APP-美术设计师（游戏）		美团点评	https://www.liepin.com/job/1924285609.shtml	https://www.liepin.com/company/2036768/	143	上市公司	UI设计	7
22	23	本科及以上	3-5年	面议	2020年04月25日	点评App部-客户端产品经理	上海-长宁区	美团点评	https://www.liepin.com/job/1923240447.shtml	https://www.liepin.com/company/2036768/	143	上市公司	UI设计	7
23	24	统招本科	经验不限	12-20k·14薪	2020年04月25日	Windows c/c++开发工程师	福州	星网锐捷	https://www.liepin.com/job/1923083257.shtml	https://www.liepin.com/company/885628/	143	上市公司	UI设计	7
24	25	本科及以上	1-3年	面议	2020年04月25日	美团平台-游戏交互设计师		美团点评	https://www.liepin.com/job/1927055275.shtml	https://www.liepin.com/company/2036768/	143	上市公司	UI设计	7
25	26	本科及以上	3-5年	面议	2020年04月25日	15571-使命召唤手游高级3D动作美术（深圳）	深圳	腾讯	https://www.liepin.com/job/1926713529.shtml	https://www.liepin.com/company/7983148/	143	上市公司	UI设计	7
26	27	本科及以上	1-3年	8-23k·13薪	2020年04月25日	web开发工程师 3010201	深圳	工业富联	https://www.liepin.com/job/1925103179.shtml	https://www.liepin.com/company/9580430/	143	上市公司	UI设计	7
