	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	学历不限	经验不限	面议	2019年12月12日	视觉设计师-PPT Designer	北京	小米	https://www.liepin.com/job/1921295453.shtml	https://www.liepin.com/company/2174886/	152	上市公司	视觉设计	6
1	2	统招本科	3-5年	面议	2019年12月12日	创意视觉设计师	北京	小米	https://www.liepin.com/job/1916418799.shtml	https://www.liepin.com/company/2174886/	152	上市公司	视觉设计	6
2	3	统招本科	3-5年	面议	2019年12月09日	视觉设计工程师-智能服务事业部	合肥-蜀山区	科大讯飞	https://www.liepin.com/job/1925207361.shtml	https://www.liepin.com/company/4454894/	152	上市公司	视觉设计	6
3	4	本科及以上	1-3年	15-23k·12薪	2019年12月05日	创意视觉设计师	上海-华漕	携程	https://www.liepin.com/job/1922997643.shtml	https://www.liepin.com/company/182339/	152	上市公司	视觉设计	6
4	5	本科及以上	1-3年	9-13k·13薪	2019年11月21日	视觉设计师	广州-海珠区	云米全屋互联网家电	https://www.liepin.com/job/1924866871.shtml	https://www.liepin.com/company/8510313/	152	上市公司	视觉设计	6
5	6	大专及以上	3-5年	面议	2019年11月20日	资深海外游戏GUI视觉设计师	杭州-长河	网易集团	https://www.liepin.com/job/1915747493.shtml	https://www.liepin.com/company/5964833/	152	上市公司	视觉设计	6
6	7	本科及以上	3-5年	10-20k·14薪	2019年11月19日	视觉设计师-消费者BG-成都	成都-双流区	科大讯飞	https://www.liepin.com/job/1922715715.shtml	https://www.liepin.com/company/4454894/	152	上市公司	视觉设计	6
7	8	统招本科	3-5年	面议	2019年11月18日	资深数据产品视觉设计师	杭州-滨江区	网易集团	https://www.liepin.com/job/1924810751.shtml	https://www.liepin.com/company/5964833/	152	上市公司	视觉设计	6
8	9	本科及以上	5-10年	15-25k·12薪	2019年11月13日	高级体验设计师-视觉方向		新东方教育科技集团有限公司	https://www.liepin.com/job/1916257491.shtml	https://www.liepin.com/company/2485876/	152	上市公司	视觉设计	6
9	10	本科及以上	3-5年	面议	2019年11月11日	视觉设计师-营销设计	上海-长宁区	美团点评	https://www.liepin.com/job/1922086307.shtml	https://www.liepin.com/company/2036768/	152	上市公司	视觉设计	6
10	11	统招本科	5-10年	15-25k·12薪	2019年11月11日	视觉设计师（品牌设计师）(J12220)	北京	58同城	https://www.liepin.com/job/1921750177.shtml	https://www.liepin.com/company/591850/	152	上市公司	视觉设计	6
