	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	5-10年	20-30k·13薪	2020年04月24日	资深Java开发工程师	杭州	网易集团	https://www.liepin.com/job/1927656451.shtml	https://www.liepin.com/company/5964833/	191	上市公司	服务设计	5
1	2	本科及以上	3-5年	15-30k·12薪	2020年04月24日	服务端开发工程师	北京	网易集团	https://www.liepin.com/job/1927587011.shtml	https://www.liepin.com/company/5964833/	191	上市公司	服务设计	5
2	3	本科及以上	3-5年	20-40k·16薪	2020年04月24日	游戏服务端架构开发工程师	广州	网易集团	https://www.liepin.com/job/1927586059.shtml	https://www.liepin.com/company/5964833/	191	上市公司	服务设计	5
3	4	学历不限	5-10年	面议	2020年04月24日	钉钉(DingTalk)-（高级）JAVA服务端技术专家-研发中心【HOT】	杭州	阿里巴巴	https://www.liepin.com/job/1927412101.shtml	https://www.liepin.com/company/1072424/	191	上市公司	服务设计	5
4	5	学历不限	5-10年	面议	2020年04月24日	钉钉(DingTalk)-高可用系统架构师(C++/JAVA/GO)	杭州	阿里巴巴	https://www.liepin.com/job/1927411803.shtml	https://www.liepin.com/company/1072424/	191	上市公司	服务设计	5
5	6	学历不限	5-10年	面议	2020年04月24日	钉钉(DingTalk)-（高级）体验设计专家-国际化方向	杭州	阿里巴巴	https://www.liepin.com/job/1927411393.shtml	https://www.liepin.com/company/1072424/	191	上市公司	服务设计	5
6	7	本科及以上	5-10年	面议	2020年04月24日	资深/高级Java开发工程师（网络管理部）	杭州	网易集团	https://www.liepin.com/job/1927411149.shtml	https://www.liepin.com/company/5964833/	191	上市公司	服务设计	5
7	8	学历不限	3-5年	面议	2020年04月24日	钉钉(DingTalk)-Java服务端技术专家-研发中心	杭州	阿里巴巴	https://www.liepin.com/job/1927411127.shtml	https://www.liepin.com/company/1072424/	191	上市公司	服务设计	5
8	9	学历不限	3-5年	面议	2020年04月24日	资深Java开发工程师（易盾）	杭州	网易集团	https://www.liepin.com/job/1927411109.shtml	https://www.liepin.com/company/5964833/	191	上市公司	服务设计	5
9	10	学历不限	5-10年	面议	2020年04月24日	阿里云智能-政府解决方案架构师-北京	杭州	阿里巴巴	https://www.liepin.com/job/1927406771.shtml	https://www.liepin.com/company/1072424/	191	上市公司	服务设计	5
10	11	学历不限	3-5年	面议	2020年04月24日	阿里文娱互动娱乐事业部-技术专家（中间件）-广州WY	广州	阿里巴巴	https://www.liepin.com/job/1927283751.shtml	https://www.liepin.com/company/1072424/	191	上市公司	服务设计	5
11	12	本科及以上	3-5年	20-26k·13薪	2020年04月24日	云计算网络虚拟化开发工程师	杭州	网易集团	https://www.liepin.com/job/1927159447.shtml	https://www.liepin.com/company/5964833/	191	上市公司	服务设计	5
12	13	本科及以上	5-10年	面议	2020年04月24日	大数据分析师-政法事业群-合肥		科大讯飞	https://www.liepin.com/job/1926744047.shtml	https://www.liepin.com/company/4454894/	191	上市公司	服务设计	5
13	14	本科及以上	5-10年	面议	2020年04月24日	运维与账号中心-资深Java开发工程师	杭州	网易集团	https://www.liepin.com/job/1926601957.shtml	https://www.liepin.com/company/5964833/	191	上市公司	服务设计	5
14	15	本科及以上	经验不限	面议	2020年04月24日	游戏服务器开发工程师-烈酷工作室	杭州	网易集团	https://www.liepin.com/job/1926571531.shtml	https://www.liepin.com/company/5964833/	191	上市公司	服务设计	5
15	16	本科及以上	5-10年	面议	2020年04月24日	资深游戏服务器开发工程师	杭州	网易集团	https://www.liepin.com/job/1926542559.shtml	https://www.liepin.com/company/5964833/	191	上市公司	服务设计	5
16	17	本科及以上	经验不限	面议	2020年04月24日	游戏服务端开发工程师（G107战争题材SLG项目）	广州	网易集团	https://www.liepin.com/job/1926483137.shtml	https://www.liepin.com/company/5964833/	191	上市公司	服务设计	5
17	18	本科及以上	经验不限	18-36k·16薪	2020年04月24日	游戏服务端开发工程师 （大话经典版）	广州	网易集团	https://www.liepin.com/job/1926482813.shtml	https://www.liepin.com/company/5964833/	191	上市公司	服务设计	5
18	19	统招本科	3-5年	11-16k·12薪	2020年04月24日	后端开发工程师	南京	天泽信息	https://www.liepin.com/job/1925990697.shtml	https://www.liepin.com/company/7866886/	191	上市公司	服务设计	5
19	20	学历不限	5-10年	面议	2020年04月24日	阿里健康-高级Java技术专家	杭州	阿里巴巴	https://www.liepin.com/job/1925954201.shtml	https://www.liepin.com/company/1072424/	191	上市公司	服务设计	5
20	21	统招本科	5-10年	20-35k·12薪	2020年04月24日	高级运维工程师	上海	银科控股	https://www.liepin.com/job/1925760739.shtml	https://www.liepin.com/company/8582797/	191	上市公司	服务设计	5
21	22	统招本科	3-5年	15-20k·12薪	2020年04月24日	大数据开发工程师-开发方向-智慧城市BG-合肥	合肥-高新区	科大讯飞	https://www.liepin.com/job/1924723287.shtml	https://www.liepin.com/company/4454894/	191	上市公司	服务设计	5
22	23	本科及以上	10年以上	30-50k·12薪	2020年04月24日	服务端架构师	北京	京东	https://www.liepin.com/job/1923085441.shtml	https://www.liepin.com/company/1663745/	191	上市公司	服务设计	5
23	24	本科及以上	10年以上	30-50k·12薪	2020年04月24日	移动端架构师	北京	京东	https://www.liepin.com/job/1923085365.shtml	https://www.liepin.com/company/1663745/	191	上市公司	服务设计	5
24	25	本科及以上	1-3年	5-10k·15薪	2020年04月24日	销售工程师/高级经理	芜湖	伯特利汽车安全系统有限公司	https://www.liepin.com/job/1922796507.shtml	https://www.liepin.com/company/3264949/	191	上市公司	服务设计	5
25	26	本科及以上	经验不限	10-20k·12薪	2020年04月24日	数据平台工程师	大连	鼎汉技术	https://www.liepin.com/job/1921533863.shtml	https://www.liepin.com/company/7875160/	191	上市公司	服务设计	5
26	27	本科及以上	5-10年	面议	2020年04月24日	业务平台架构师		美团点评	https://www.liepin.com/job/1920052355.shtml	https://www.liepin.com/company/2036768/	191	上市公司	服务设计	5
27	28	本科及以上	5-10年	10-22k·12薪	2020年04月24日	景观工程师	苏州-苏锦	禹洲地产股份有限公司	https://www.liepin.com/job/1914523719.shtml	https://www.liepin.com/company/2245242/	191	上市公司	服务设计	5
28	29	本科及以上	1-3年	8-10k·12薪	2020年04月24日	云计算开发工程师	佛山	赛意信息科技	https://www.liepin.com/job/1914017194.shtml	https://www.liepin.com/company/170110/	191	上市公司	服务设计	5
29	30	大专及以上	经验不限	10-20k·12薪	2020年04月24日	政企大客户经理（KA）	广州-东风东	爱康国宾	https://www.liepin.com/job/199812297.shtml	https://www.liepin.com/company/8076722/	191	上市公司	服务设计	5
30	31	学历不限	3-5年	面议	2020年04月23日	智能场景事业部-HomeAI交互设计专家/高级专家	杭州	阿里巴巴	https://www.liepin.com/job/1927273785.shtml	https://www.liepin.com/company/1072424/	191	上市公司	服务设计	5
31	32	学历不限	5-10年	面议	2020年04月23日	阿里汽车-社区产品运营专家	杭州	阿里巴巴	https://www.liepin.com/job/1927706117.shtml	https://www.liepin.com/company/1072424/	191	上市公司	服务设计	5
32	33	学历不限	3-5年	面议	2020年04月23日	设计事业部-体验设计专家-ICBU设计部	深圳	阿里巴巴	https://www.liepin.com/job/1927303755.shtml	https://www.liepin.com/company/1072424/	191	上市公司	服务设计	5
33	34	统招本科	3-5年	面议	2020年04月23日	高级java工程师-信息安全(J15207)	北京-酒仙桥	58同城	https://www.liepin.com/job/1927129005.shtml	https://www.liepin.com/company/591850/	191	上市公司	服务设计	5
34	35	本科及以上	3-5年	10-18k·13薪	2020年04月23日	品牌设计师 (MJ002716)	广州-番禺区	欢聚集团	https://www.liepin.com/job/1926427237.shtml	https://www.liepin.com/company/930104/	191	上市公司	服务设计	5
35	36	本科及以上	3-5年	10-18k·13薪	2020年04月23日	平面设计师 (MJ002611)	广州-番禺区	欢聚集团	https://www.liepin.com/job/1925916949.shtml	https://www.liepin.com/company/930104/	191	上市公司	服务设计	5
36	37	统招本科	3-5年	面议	2020年04月23日	高级java开发工程师-安全业务(J14838)	北京-酒仙桥	58同城	https://www.liepin.com/job/1925747221.shtml	https://www.liepin.com/company/591850/	191	上市公司	服务设计	5
37	38	本科及以上	3-5年	15-30k·12薪	2020年04月23日	Java开发工程师-小米电视		小米	https://www.liepin.com/job/1919257739.shtml	https://www.liepin.com/company/2174886/	191	上市公司	服务设计	5
38	39	学历不限	3-5年	15-30k·13薪	2020年04月23日	高级后端开发工程师 (MJ000779)	广州-大石	欢聚集团	https://www.liepin.com/job/1913596776.shtml	https://www.liepin.com/company/930104/	191	上市公司	服务设计	5
39	40	学历不限	5-10年	面议	2020年04月23日	天猫消费电子-勤鸽高级运营专家-服务生态发展部	杭州	阿里巴巴	https://www.liepin.com/job/1927711009.shtml	https://www.liepin.com/company/1072424/	191	上市公司	服务设计	5
