	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	5-10年	25-35k·16薪	2019年07月19日	高级数据挖掘工程师	深圳-科技园	腾讯	https://www.liepin.com/job/1921711139.shtml	https://www.liepin.com/company/7983148/	204	上市公司	信息设计	8
1	2	统招本科	3-5年	20-25k·13薪	2019年07月16日	用户体验设计师	杭州	阿里巴巴	https://www.liepin.com/job/1916985649.shtml	https://www.liepin.com/company/1072424/	204	上市公司	信息设计	8
2	3	本科及以上	5-10年	20-30k·12薪	2019年07月14日	ES-高级交互设计师（MAXHUB）(J11120)	广州-黄埔区	CVTE	https://www.liepin.com/job/1921532225.shtml	https://www.liepin.com/company/7854025/	204	上市公司	信息设计	8
3	4	本科及以上	3-5年	14-20k·12薪	2019年07月14日	ES-交互设计师（MAXHUB）J10806	广州-黄埔区	CVTE	https://www.liepin.com/job/1921532215.shtml	https://www.liepin.com/company/7854025/	204	上市公司	信息设计	8
4	5	大专及以上	1-3年	12-18k·15薪	2019年07月11日	交警行业技术顾问	上海	苏州科达	https://www.liepin.com/job/1921464553.shtml	https://www.liepin.com/company/7869267/	204	上市公司	信息设计	8
5	6	大专及以上	1-3年	12-18k·15薪	2019年07月11日	交警行业技术顾问	苏州	苏州科达	https://www.liepin.com/job/1921464551.shtml	https://www.liepin.com/company/7869267/	204	上市公司	信息设计	8
6	7	大专及以上	1-3年	12-18k·15薪	2019年07月11日	交警行业技术顾问	昆明	苏州科达	https://www.liepin.com/job/1921464549.shtml	https://www.liepin.com/company/7869267/	204	上市公司	信息设计	8
7	8	大专及以上	1-3年	12-18k·15薪	2019年07月11日	交警行业技术顾问	成都	苏州科达	https://www.liepin.com/job/1921464547.shtml	https://www.liepin.com/company/7869267/	204	上市公司	信息设计	8
8	9	大专及以上	1-3年	12-18k·15薪	2019年07月11日	交警行业技术顾问	厦门	苏州科达	https://www.liepin.com/job/1921464545.shtml	https://www.liepin.com/company/7869267/	204	上市公司	信息设计	8
9	10	大专及以上	1-3年	12-18k·15薪	2019年07月11日	交警行业技术顾问	福州	苏州科达	https://www.liepin.com/job/1921464543.shtml	https://www.liepin.com/company/7869267/	204	上市公司	信息设计	8
10	11	大专及以上	1-3年	4-7k·12薪	2019年06月25日	Java开发工程师	南昌	远光软件珠海	https://www.liepin.com/job/1920961813.shtml	https://www.liepin.com/company/2229548/	204	上市公司	信息设计	8
11	12	本科及以上	经验不限	3-5k·12薪	2019年06月17日	软件开发实习生 nj/zx-03 (职位编号：CRP001055)	南京	华润电力控股有限公司	https://www.liepin.com/job/1920684525.shtml	https://www.liepin.com/company/7880346/	204	上市公司	信息设计	8
12	13	本科及以上	经验不限	3-5k·12薪	2019年06月17日	软件开发实习生 (职位编号：CRP001053)	深圳	华润电力控股有限公司	https://www.liepin.com/job/1920684523.shtml	https://www.liepin.com/company/7880346/	204	上市公司	信息设计	8
13	14	本科及以上	经验不限	3-5k·12薪	2019年06月17日	软件开发实习生 wh/zx-02 (职位编号：CRP001054)	深圳	华润电力控股有限公司	https://www.liepin.com/job/1920684509.shtml	https://www.liepin.com/company/7880346/	204	上市公司	信息设计	8
14	15	本科及以上	1-3年	3-4k·12薪	2019年06月17日	软件开发实习生 nj/zx-03	南京	华润电力控股有限公司	https://www.liepin.com/job/1920645269.shtml	https://www.liepin.com/company/7880346/	204	上市公司	信息设计	8
15	16	本科及以上	1-3年	3-4k·12薪	2019年06月17日	软件开发实习生 wh/zx-02	武汉-积玉桥	华润电力控股有限公司	https://www.liepin.com/job/1920644583.shtml	https://www.liepin.com/company/7880346/	204	上市公司	信息设计	8
