	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	3-5年	15-30k·12薪	2019年10月12日	UI设计师08241040	北京	京东数字科技控股有限公司	https://www.liepin.com/job/1915288668.shtml	https://www.liepin.com/company/215535/	3	2018互联网300强	界面设计	3
1	2	统招本科	1-3年	面议	2020年03月27日	高级ui设计师	上海	携程	https://www.liepin.com/job/1923697169.shtml	https://www.liepin.com/company/182339/	3	2018互联网300强	界面设计	3
2	3	统招本科	3-5年	面议	2020年02月10日	高级UI设计师	北京	Baidu	https://www.liepin.com/job/1925990903.shtml	https://www.liepin.com/company/884492/	3	2018互联网300强	界面设计	3
3	4	统招本科	3-5年	15-30k·12薪	2020年02月07日	UI视觉设计师	北京	Baidu	https://www.liepin.com/job/1925968861.shtml	https://www.liepin.com/company/884492/	3	2018互联网300强	界面设计	3
4	5	本科及以上	1-3年	15-25k·12薪	2020年02月05日	资深ui设计师	北京	京东商城	https://www.liepin.com/job/1923976331.shtml	https://www.liepin.com/company/9747025/	3	2018互联网300强	界面设计	3
5	6	统招本科	5-10年	面议	2019年10月22日	资深UI设计师	上海-徐汇区	SenseTime（商汤集团）	https://www.liepin.com/job/1922989193.shtml	https://www.liepin.com/company/8349238/	3	2018互联网300强	界面设计	3
6	7	统招本科	经验不限	面议	2019年09月19日	视频资深UI设计		华为	https://www.liepin.com/job/1923551155.shtml	https://www.liepin.com/company/954482/	3	2018互联网300强	界面设计	3
7	8	本科及以上	5-10年	30-50k·14薪	2019年07月06日	资深ui设计师	北京-来广营	猎聘	https://www.liepin.com/job/1921281613.shtml	https://www.liepin.com/company/9616481/	3	2018互联网300强	界面设计	3
8	9	本科及以上	5-10年	20-30k·14薪	2020年03月20日	高级ui设计师	北京	小米	https://www.liepin.com/job/1926836735.shtml	https://www.liepin.com/company/2174886/	3	2018互联网300强	界面设计	3
9	10	本科及以上	1-3年	15-25k·12薪	2019年12月12日	UI界面视觉设计	北京-清河	小米	https://www.liepin.com/job/1921984275.shtml	https://www.liepin.com/company/2174886/	3	2018互联网300强	界面设计	3
10	11	本科及以上	3-5年	10-20k·12薪	2019年05月14日	资深UI设计师	北京-马连洼	新浪	https://www.liepin.com/job/1918296889.shtml	https://www.liepin.com/company/6527404/	3	2018互联网300强	界面设计	3
11	12	本科及以上	3-5年	面议	2020年01月10日	互联网UI设计师	深圳	华为	https://www.liepin.com/job/1924587999.shtml	https://www.liepin.com/company/954482/	3	2018互联网300强	界面设计	3
12	13	统招本科	3-5年	8-13k·14薪	2019年02月01日	UI/UE设计师	合肥-蜀山区	科大讯飞	https://www.liepin.com/job/1917117061.shtml	https://www.liepin.com/company/4454894/	3	2018互联网300强	界面设计	3
13	14	本科及以上	5-10年	20-30k·14薪	2020年03月20日	ui/ux设计师	北京	小米	https://www.liepin.com/job/1926836649.shtml	https://www.liepin.com/company/2174886/	3	2018互联网300强	界面设计	3
14	15	本科及以上	5-10年	面议	2019年10月12日	UI设计师X0003	上海	京东数字科技控股有限公司	https://www.liepin.com/job/1915288703.shtml	https://www.liepin.com/company/215535/	3	2018互联网300强	界面设计	3
15	16	统招本科	3-5年	面议	2018年12月19日	高级UI视觉设计师	深圳-蛇口	SenseTime（商汤集团）	https://www.liepin.com/job/1916322555.shtml	https://www.liepin.com/company/8349238/	3	2018互联网300强	界面设计	3
16	17	大专及以上	3-5年	8-13k·15薪	2020年03月31日	UI设计（外包）(J11070)	武汉-洪山区	斗鱼网络	https://www.liepin.com/job/1925506983.shtml	https://www.liepin.com/company/8805953/	3	2018互联网300强	界面设计	3
17	18	本科及以上	5-10年	15-25k·12薪	2019年12月23日	资深游戏UI-RD03	北京	英雄互娱	https://www.liepin.com/job/1923600085.shtml	https://www.liepin.com/company/8307104/	3	2018互联网300强	界面设计	3
18	19	本科及以上	3-5年	面议	2020年03月27日	UI设计师（社区）	北京	小米	https://www.liepin.com/job/1926110433.shtml	https://www.liepin.com/company/2174886/	3	2018互联网300强	界面设计	3
19	20	本科及以上	3-5年	面议	2019年08月13日	31418-腾讯为村UI设计	深圳	腾讯	https://www.liepin.com/job/1922315793.shtml	https://www.liepin.com/company/7983148/	3	2018互联网300强	界面设计	3
20	21	大专及以上	经验不限	6-8k·12薪	2019年08月29日	美工（UI设计师）	石家庄	海云数据	https://www.liepin.com/job/1916126995.shtml	https://www.liepin.com/company/7856749/	3	2018互联网300强	界面设计	3
21	22	本科及以上	3-5年	25-45k·12薪	2019年07月19日	UI自动化测试工程师		依图	https://www.liepin.com/job/1921679973.shtml	https://www.liepin.com/company/8812425/	3	2018互联网300强	界面设计	3
22	23	本科及以上	3-5年	25-45k·15薪	2019年07月19日	UI自动化测试工程师	上海	依图	https://www.liepin.com/job/1921679941.shtml	https://www.liepin.com/company/8812425/	3	2018互联网300强	界面设计	3
23	24	本科及以上	3-5年	14-20k·12薪	2020年03月24日	UI 设计师（视觉）	广州	欢聚集团	https://www.liepin.com/job/1926899875.shtml	https://www.liepin.com/company/930104/	3	2018互联网300强	界面设计	3
24	25	统招本科	3-5年	面议	2020年03月11日	高级/资深 UI设计师	北京	阅文集团	https://www.liepin.com/job/1916390299.shtml	https://www.liepin.com/company/8166451/	3	2018互联网300强	界面设计	3
25	26	本科及以上	3-5年	面议	2019年10月15日	15616-高级UI设计师	上海	腾讯	https://www.liepin.com/job/1923251125.shtml	https://www.liepin.com/company/7983148/	3	2018互联网300强	界面设计	3
26	27	本科及以上	3-5年	15-30k·12薪	2019年10月12日	UI设计师-L00730		京东数字科技控股有限公司	https://www.liepin.com/job/1917880385.shtml	https://www.liepin.com/company/215535/	3	2018互联网300强	界面设计	3
27	28	学历不限	经验不限	面议	2019年07月30日	UI设计师-小爱老师	北京	小米	https://www.liepin.com/job/1922031353.shtml	https://www.liepin.com/company/2174886/	3	2018互联网300强	界面设计	3
28	29	本科及以上	3-5年	面议	2019年10月15日	29910-UI开发工程师	深圳	腾讯	https://www.liepin.com/job/1921670837.shtml	https://www.liepin.com/company/7983148/	3	2018互联网300强	界面设计	3
29	30	本科及以上	5-10年	面议	2019年10月15日	32032-资深UI美术（上海）	上海	腾讯	https://www.liepin.com/job/1919153113.shtml	https://www.liepin.com/company/7983148/	3	2018互联网300强	界面设计	3
