	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	1-3年	面议	2020年04月25日	29912-微视增长web前端开发工程师	深圳	腾讯	https://www.liepin.com/job/1926008435.shtml	https://www.liepin.com/company/7983148/	18	2018互联网300强	UI设计	8
1	2	本科及以上	3-5年	面议	2020年04月25日	15851-资深游戏引擎开发工程师Senior Engine Programmer（深圳/广州/洛杉矶）	深圳	腾讯	https://www.liepin.com/job/1925864383.shtml	https://www.liepin.com/company/7983148/	18	2018互联网300强	UI设计	8
2	3	本科及以上	5-10年	面议	2020年04月25日	56840-31677-腾讯车联高级视觉设计师（北京）	北京	腾讯	https://www.liepin.com/job/1925829323.shtml	https://www.liepin.com/company/7983148/	18	2018互联网300强	UI设计	8
3	4	本科及以上	5-10年	面议	2020年04月25日	56338-24012-游戏开黑产品经理（深圳）	深圳	腾讯	https://www.liepin.com/job/1925583781.shtml	https://www.liepin.com/company/7983148/	18	2018互联网300强	UI设计	8
4	5	本科及以上	3-5年	面议	2020年04月25日	56313-30622-腾讯广告Q系流量商业化产品经理（深圳）	深圳	腾讯	https://www.liepin.com/job/1925583773.shtml	https://www.liepin.com/company/7983148/	18	2018互联网300强	UI设计	8
5	6	本科及以上	3-5年	面议	2020年04月25日	53964-PCG10-QQ浏览器Web前端开发工程师（全栈）	深圳	腾讯	https://www.liepin.com/job/1925583171.shtml	https://www.liepin.com/company/7983148/	18	2018互联网300强	UI设计	8
6	7	统招本科	5-10年	25-40k·12薪	2020年04月25日	高级金融APP产品经理（北京）		京东数字科技控股有限公司	https://www.liepin.com/job/1925575345.shtml	https://www.liepin.com/company/215535/	18	2018互联网300强	UI设计	8
7	8	本科及以上	5-10年	面议	2020年04月25日	15575-天美L1预研手游-3D特效设计师（成都）	成都	腾讯	https://www.liepin.com/job/1925519359.shtml	https://www.liepin.com/company/7983148/	18	2018互联网300强	UI设计	8
8	9	本科及以上	1-3年	面议	2020年04月25日	WXG03-小程序终端系统框架开发工程师	广州	腾讯	https://www.liepin.com/job/1925432749.shtml	https://www.liepin.com/company/7983148/	18	2018互联网300强	UI设计	8
9	10	统招本科	5-10年	面议	2020年04月25日	高级金融APP产品经理（上海）	上海-城隍庙	京东数字科技控股有限公司	https://www.liepin.com/job/1925017485.shtml	https://www.liepin.com/company/215535/	18	2018互联网300强	UI设计	8
10	11	统招本科	3-5年	面议	2020年04月25日	高级iOS开发工程师（北京）		京东数字科技控股有限公司	https://www.liepin.com/job/1925010107.shtml	https://www.liepin.com/company/215535/	18	2018互联网300强	UI设计	8
11	12	本科及以上	3-5年	面议	2020年04月25日	18302-国际IP新手游-UE4高级3D特效师 （深圳）	深圳	腾讯	https://www.liepin.com/job/1924990213.shtml	https://www.liepin.com/company/7983148/	18	2018互联网300强	UI设计	8
12	13	统招本科	3-5年	面议	2020年04月25日	IOS开发工程师（北京）		京东数字科技控股有限公司	https://www.liepin.com/job/1924922107.shtml	https://www.liepin.com/company/215535/	18	2018互联网300强	UI设计	8
13	14	本科及以上	3-5年	面议	2020年04月25日	15851-Tools Engineer(Shenzhen/Los Angeles)	深圳	腾讯	https://www.liepin.com/job/1924681793.shtml	https://www.liepin.com/company/7983148/	18	2018互联网300强	UI设计	8
14	15	统招本科	5-10年	20-35k·14薪	2020年04月25日	互联网产品经理	上海-黄浦区	京东数字科技控股有限公司	https://www.liepin.com/job/1924199349.shtml	https://www.liepin.com/company/215535/	18	2018互联网300强	UI设计	8
15	16	统招本科	3-5年	面议	2020年04月24日	技术美术开发工程师	北京	京东数字科技控股有限公司	https://www.liepin.com/job/1927653057.shtml	https://www.liepin.com/company/215535/	18	2018互联网300强	UI设计	8
16	17	统招本科	3-5年	20-30k·14薪	2020年04月24日	UED交互设计师	北京	医渡云	https://www.liepin.com/job/1927726053.shtml	https://www.liepin.com/company/8537529/	18	2018互联网300强	UI设计	8
17	18	统招本科	3-5年	面议	2020年04月24日	App产品经理-社交电商方向	上海-七宝	NIO蔚来	https://www.liepin.com/job/1927730603.shtml	https://www.liepin.com/company/8524725/	18	2018互联网300强	UI设计	8
18	19	学历不限	3-5年	面议	2020年04月24日	天猫海外技术部-iOS高级开发工程师-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927514865.shtml	https://www.liepin.com/company/1072424/	18	2018互联网300强	UI设计	8
19	20	学历不限	3-5年	面议	2020年04月24日	Lazada-高级前端工程师-DG&gaming-深圳	深圳	阿里巴巴	https://www.liepin.com/job/1923102713.shtml	https://www.liepin.com/company/1072424/	18	2018互联网300强	UI设计	8
20	21	学历不限	3-5年	面议	2020年04月24日	Lazada-移动端开发工程师/专家-Navigation Order and Payment-深圳	深圳	阿里巴巴	https://www.liepin.com/job/1918929951.shtml	https://www.liepin.com/company/1072424/	18	2018互联网300强	UI设计	8
21	22	学历不限	5-10年	面议	2020年04月24日	天猫进出口事业群-体验设计专家-考拉海购	杭州	阿里巴巴	https://www.liepin.com/job/1927750269.shtml	https://www.liepin.com/company/1072424/	18	2018互联网300强	UI设计	8
22	23	统招本科	5-10年	20-40k·12薪	2020年04月24日	高级软件测试工程师	深圳	深圳市优必选科技股份有限公司	https://www.liepin.com/job/1927598845.shtml	https://www.liepin.com/company/8095160/	18	2018互联网300强	UI设计	8
23	24	学历不限	3-5年	面议	2020年04月24日	钉钉(DingTalk)-产品设计专家-钉钉开放平台&商业化	杭州	阿里巴巴	https://www.liepin.com/job/1927412217.shtml	https://www.liepin.com/company/1072424/	18	2018互联网300强	UI设计	8
24	25	统招本科	5-10年	面议	2020年04月24日	测试总监	北京	京东数字科技控股有限公司	https://www.liepin.com/job/1926902211.shtml	https://www.liepin.com/company/215535/	18	2018互联网300强	UI设计	8
25	26	学历不限	3-5年	面议	2020年04月24日	钉钉(DingTalk)-开放平台&商业化体验设计专家-开放平台与商业化	杭州	阿里巴巴	https://www.liepin.com/job/1925331557.shtml	https://www.liepin.com/company/1072424/	18	2018互联网300强	UI设计	8
26	27	本科及以上	1-3年	10-20k·12薪	2020年04月24日	前端工程师	珠海-香洲区	麒麟合盛网络技术股份有限公司	https://www.liepin.com/job/1912268792.shtml	https://www.liepin.com/company/8454950/	18	2018互联网300强	UI设计	8
27	28	本科及以上	3-5年	面议	2020年04月24日	安卓开发	北京	麒麟合盛网络技术股份有限公司	https://www.liepin.com/job/1927730521.shtml	https://www.liepin.com/company/8454950/	18	2018互联网300强	UI设计	8
28	29	本科及以上	3-5年	面议	2020年04月24日	浏览器高级Android开发工程师	北京	麒麟合盛网络技术股份有限公司	https://www.liepin.com/job/1927729685.shtml	https://www.liepin.com/company/8454950/	18	2018互联网300强	UI设计	8
29	30	本科及以上	5-10年	面议	2020年04月24日	产品运营总监	北京	麒麟合盛网络技术股份有限公司	https://www.liepin.com/job/1927725289.shtml	https://www.liepin.com/company/8454950/	18	2018互联网300强	UI设计	8
30	31	本科及以上	3-5年	面议	2020年04月24日	Android技术专家	北京	麒麟合盛网络技术股份有限公司	https://www.liepin.com/job/1927724977.shtml	https://www.liepin.com/company/8454950/	18	2018互联网300强	UI设计	8
31	32	学历不限	3-5年	面议	2020年04月24日	企业智能事业部-前端开发专家-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927514543.shtml	https://www.liepin.com/company/1072424/	18	2018互联网300强	UI设计	8
32	33	统招本科	3-5年	25-35k·12薪	2020年04月24日	高级Android开发工程师	深圳	珍爱网	https://www.liepin.com/job/1927475757.shtml	https://www.liepin.com/company/937933/	18	2018互联网300强	UI设计	8
33	34	学历不限	5-10年	面议	2020年04月24日	集团公共事务部-展区运营专家（前端开发）-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927442083.shtml	https://www.liepin.com/company/1072424/	18	2018互联网300强	UI设计	8
34	35	学历不限	3-5年	面议	2020年04月24日	钉钉(DingTalk)-Android技术专家-新来往	杭州	阿里巴巴	https://www.liepin.com/job/1927412219.shtml	https://www.liepin.com/company/1072424/	18	2018互联网300强	UI设计	8
35	36	学历不限	3-5年	面议	2020年04月24日	钉钉(DingTalk)-IOS技术专家-新来往	杭州	阿里巴巴	https://www.liepin.com/job/1927412033.shtml	https://www.liepin.com/company/1072424/	18	2018互联网300强	UI设计	8
36	37	学历不限	5-10年	面议	2020年04月24日	钉钉(DingTalk)-（高级）iOS级技术专家-研发中心	杭州	阿里巴巴	https://www.liepin.com/job/1927411619.shtml	https://www.liepin.com/company/1072424/	18	2018互联网300强	UI设计	8
37	38	学历不限	5-10年	面议	2020年04月24日	钉钉(DingTalk)-（高级）无线技术专家-小程序架构方向	杭州	阿里巴巴	https://www.liepin.com/job/1927411211.shtml	https://www.liepin.com/company/1072424/	18	2018互联网300强	UI设计	8
38	39	学历不限	5-10年	面议	2020年04月24日	业务平台事业部-前端技术专家-杭州	杭州	阿里巴巴	https://www.liepin.com/job/1927161085.shtml	https://www.liepin.com/company/1072424/	18	2018互联网300强	UI设计	8
39	40	统招本科	5-10年	15-30k·14薪	2020年04月24日	高级互金产品经理		小米	https://www.liepin.com/job/1926945585.shtml	https://www.liepin.com/company/2174886/	18	2018互联网300强	UI设计	8
