	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	5-10年	面议	2019年10月15日	CSIG08-高级UI视觉设计师（广州）	广州	腾讯	https://www.liepin.com/job/1918042109.shtml	https://www.liepin.com/company/7983148/	26	2018互联网300强	视觉设计	6
1	2	本科及以上	1-3年	面议	2019年10月15日	47637-23292-互娱视觉设计师（深圳）	深圳	腾讯	https://www.liepin.com/job/1917632463.shtml	https://www.liepin.com/company/7983148/	26	2018互联网300强	视觉设计	6
2	3	本科及以上	5-10年	面议	2019年10月15日	18302-LBS品牌视觉设计师	深圳	腾讯	https://www.liepin.com/job/1916506239.shtml	https://www.liepin.com/company/7983148/	26	2018互联网300强	视觉设计	6
3	4	本科及以上	5-10年	面议	2019年10月15日	21309-在线教育-运营视觉设计师（深圳）	深圳	腾讯	https://www.liepin.com/job/1915583758.shtml	https://www.liepin.com/company/7983148/	26	2018互联网300强	视觉设计	6
4	5	本科及以上	3-5年	面议	2019年10月15日	WXG10-411 企业邮箱UI视觉设计师（广州）	广州	腾讯	https://www.liepin.com/job/1915194667.shtml	https://www.liepin.com/company/7983148/	26	2018互联网300强	视觉设计	6
5	6	本科及以上	5-10年	面议	2019年10月15日	TEG07-CDC高级多媒体视觉设计师（深圳）	深圳	腾讯	https://www.liepin.com/job/1913394445.shtml	https://www.liepin.com/company/7983148/	26	2018互联网300强	视觉设计	6
6	7	本科及以上	5-10年	面议	2019年10月12日	高级视觉设计师-L00128		京东数字科技控股有限公司	https://www.liepin.com/job/1917471137.shtml	https://www.liepin.com/company/215535/	26	2018互联网300强	视觉设计	6
7	8	本科及以上	经验不限	15-30k·14薪	2019年10月09日	高级视觉设计师	深圳	腾讯	https://www.liepin.com/job/1923978547.shtml	https://www.liepin.com/company/7983148/	26	2018互联网300强	视觉设计	6
8	9	本科及以上	3-5年	10-20k·12薪	2019年09月26日	视觉设计师02-06-21	杭州	大搜车	https://www.liepin.com/job/1914624863.shtml	https://www.liepin.com/company/8141158/	26	2018互联网300强	视觉设计	6
9	10	大专及以上	3-5年	10-15k·12薪	2019年09月19日	视觉设计师		58同城	https://www.liepin.com/job/1917223853.shtml	https://www.liepin.com/company/591850/	26	2018互联网300强	视觉设计	6
10	11	本科及以上	3-5年	15-30k·12薪	2019年09月12日	视觉设计师 (MJ000157)		华米科技	https://www.liepin.com/job/1920039449.shtml	https://www.liepin.com/company/8809315/	26	2018互联网300强	视觉设计	6
11	12	本科及以上	5-10年	面议	2019年09月09日	23486-证券产品视觉设计师（北京/深圳）	北京	腾讯	https://www.liepin.com/job/1922475681.shtml	https://www.liepin.com/company/7983148/	26	2018互联网300强	视觉设计	6
12	13	本科及以上	3-5年	面议	2019年09月05日	IDG智能驾驶体验设计中心_高级视觉设计师	北京	Baidu	https://www.liepin.com/job/1923210837.shtml	https://www.liepin.com/company/884492/	26	2018互联网300强	视觉设计	6
13	14	统招本科	5-10年	面议	2019年08月28日	资深视觉设计师(J18950)	上海	携程	https://www.liepin.com/job/1922963221.shtml	https://www.liepin.com/company/182339/	26	2018互联网300强	视觉设计	6
14	15	本科及以上	1-3年	15-30k·14薪	2019年08月19日	高级视觉设计师（数据可视化方向）(J10426)	北京	医渡云	https://www.liepin.com/job/1922441203.shtml	https://www.liepin.com/company/8537529/	26	2018互联网300强	视觉设计	6
15	16	本科及以上	5-10年	面议	2019年08月16日	视觉设计		小米	https://www.liepin.com/job/1922611885.shtml	https://www.liepin.com/company/2174886/	26	2018互联网300强	视觉设计	6
16	17	本科及以上	5-10年	面议	2019年08月13日	25664-高级视觉设计师	广州	腾讯	https://www.liepin.com/job/1918628813.shtml	https://www.liepin.com/company/7983148/	26	2018互联网300强	视觉设计	6
17	18	学历不限	3-5年	面议	2019年07月24日	CCO技术部-体验设计专家/高级体验设计专家（视觉设计师）（请附作品））-杭州		阿里巴巴	https://www.liepin.com/job/1918858725.shtml	https://www.liepin.com/company/1072424/	26	2018互联网300强	视觉设计	6
18	19	大专及以上	5-10年	15-20k·12薪	2019年06月21日	视觉设计经理		北京禧云企业管理有限公司	https://www.liepin.com/job/1920885947.shtml	https://www.liepin.com/company/9340469/	26	2018互联网300强	视觉设计	6
19	20	统招本科	5-10年	面议	2019年06月05日	高级视觉设计经理	深圳	华为	https://www.liepin.com/job/1915523101.shtml	https://www.liepin.com/company/954482/	26	2018互联网300强	视觉设计	6
20	21	本科及以上	3-5年	30-45k·12薪	2019年05月27日	IDG智能驾驶体验设计中心_高级视觉设计师	深圳	Baidu	https://www.liepin.com/job/1920229861.shtml	https://www.liepin.com/company/884492/	26	2018互联网300强	视觉设计	6
21	22	统招本科	3-5年	面议	2019年05月09日	视觉设计师-运营方向(J10931)	北京	58同城	https://www.liepin.com/job/1919732207.shtml	https://www.liepin.com/company/591850/	26	2018互联网300强	视觉设计	6
22	23	本科及以上	1-3年	20-30k·15薪	2019年05月09日	视觉设计师-UI方向(J10930)	北京-酒仙桥	58同城	https://www.liepin.com/job/1915326760.shtml	https://www.liepin.com/company/591850/	26	2018互联网300强	视觉设计	6
23	24	本科及以上	3-5年	面议	2019年04月29日	机器智能技术-视觉设计专家-DesignAI		阿里巴巴	https://www.liepin.com/job/1919539701.shtml	https://www.liepin.com/company/1072424/	26	2018互联网300强	视觉设计	6
24	25	统招本科	3-5年	面议	2019年04月19日	视觉设计師 (2D+3D)	深圳	华为	https://www.liepin.com/job/1915663843.shtml	https://www.liepin.com/company/954482/	26	2018互联网300强	视觉设计	6
25	26	本科及以上	3-5年	20-50k·12薪	2019年03月04日	资深视觉设计师	北京	58同城	https://www.liepin.com/job/1918062239.shtml	https://www.liepin.com/company/591850/	26	2018互联网300强	视觉设计	6
26	27	统招本科	3-5年	33-50k·12薪	2019年02月23日	视觉设计专家	杭州	阿里巴巴	https://www.liepin.com/job/1916979761.shtml	https://www.liepin.com/company/1072424/	26	2018互联网300强	视觉设计	6
27	28	本科及以上	3-5年	10-20k·13薪	2019年02月20日	资深视觉设计师 （直播） (MJ001074)	上海	哔哩哔哩弹幕网	https://www.liepin.com/job/1917683503.shtml	https://www.liepin.com/company/8169452/	26	2018互联网300强	视觉设计	6
28	29	本科及以上	3-5年	10-18k·14薪	2019年01月30日	高级视觉设计师 (MJ001013)	上海	哔哩哔哩弹幕网	https://www.liepin.com/job/1917331957.shtml	https://www.liepin.com/company/8169452/	26	2018互联网300强	视觉设计	6
29	30	本科及以上	3-5年	面议	2019年01月09日	25923-视觉交互设计师（深圳）	深圳	腾讯	https://www.liepin.com/job/1916496153.shtml	https://www.liepin.com/company/7983148/	26	2018互联网300强	视觉设计	6
30	31	统招本科	3-5年	面议	2018年12月19日	高级UI视觉设计师	深圳-蛇口	SenseTime（商汤集团）	https://www.liepin.com/job/1916322555.shtml	https://www.liepin.com/company/8349238/	26	2018互联网300强	视觉设计	6
31	32	统招本科	5-10年	30-50k·14薪	2018年11月15日	视觉设计师		华为	https://www.liepin.com/job/1917127947.shtml	https://www.liepin.com/company/954482/	26	2018互联网300强	视觉设计	6
32	33	本科及以上	5-10年	30-50k·15薪	2018年11月09日	AIG用户体验部_高级视觉设计师(AI方向)	北京-上地	Baidu	https://www.liepin.com/job/1915757729.shtml	https://www.liepin.com/company/884492/	26	2018互联网300强	视觉设计	6
33	34	本科及以上	1-3年	2-5k·12薪	2020年03月14日	平面设计师	淮安-清江浦区	新东方教育科技集团有限公司	https://www.liepin.com/job/1925637555.shtml	https://www.liepin.com/company/2485876/	26	2018互联网300强	视觉设计	6
34	35	学历不限	经验不限	8-15k·13薪	2020年02月26日	平面设计师	广州-黄埔区	广州多益网络股份有限公司	https://www.liepin.com/job/193417200.shtml	https://www.liepin.com/company/8142995/	26	2018互联网300强	视觉设计	6
35	36	统招本科	1-3年	12-24k·14薪	2019年12月17日	平面设计师		京东商城	https://www.liepin.com/job/1925348589.shtml	https://www.liepin.com/company/9747025/	26	2018互联网300强	视觉设计	6
36	37	学历不限	经验不限	面议	2019年12月12日	平面设计师		小米	https://www.liepin.com/job/1917721145.shtml	https://www.liepin.com/company/2174886/	26	2018互联网300强	视觉设计	6
