	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	学历不限	5-10年	面议	2020年04月08日	新零售设计事业部-体验设计专家（偏交互）-CCO设计部	杭州	阿里巴巴	https://www.liepin.com/job/1926396327.shtml	https://www.liepin.com/company/1072424/	34	2018互联网300强	交互设计	4
1	2	本科及以上	经验不限	15-30k·14薪	2020年04月08日	交互设计师	北京	猎聘	https://www.liepin.com/job/1925347545.shtml	https://www.liepin.com/company/9616481/	34	2018互联网300强	交互设计	4
2	3	本科及以上	3-5年	18-30k·14薪	2020年04月08日	资深交互设计师	北京	猎聘	https://www.liepin.com/job/1924242685.shtml	https://www.liepin.com/company/9616481/	34	2018互联网300强	交互设计	4
3	4	大专及以上	3-5年	面议	2020年04月09日	用户体验师岗（品类规划设计方向）		京东商城	https://www.liepin.com/job/1923467223.shtml	https://www.liepin.com/company/9747025/	34	2018互联网300强	交互设计	4
4	5	本科及以上	3-5年	面议	2020年04月07日	高级用户体验设计师（交互）	杭州-西湖区	依图	https://www.liepin.com/job/1927268751.shtml	https://www.liepin.com/company/8812425/	34	2018互联网300强	交互设计	4
5	6	本科及以上	3-5年	15-30k·12薪	2020年04月07日	交互设计师	北京-西北旺	科大讯飞	https://www.liepin.com/job/1917361257.shtml	https://www.liepin.com/company/4454894/	34	2018互联网300强	交互设计	4
6	7	本科及以上	3-5年	15-25k·12薪	2020年04月07日	UX设计师	北京	蜜莱坞网络	https://www.liepin.com/job/1925718011.shtml	https://www.liepin.com/company/8488417/	34	2018互联网300强	交互设计	4
7	8	学历不限	3-5年	15-25k·14薪	2020年04月07日	高级UX设计师	北京	蜜莱坞网络	https://www.liepin.com/job/1926365915.shtml	https://www.liepin.com/company/8488417/	34	2018互联网300强	交互设计	4
8	9	学历不限	3-5年	面议	2020年04月08日	设计事业部-用户体验研究专家-飞猪	杭州	阿里巴巴	https://www.liepin.com/job/1927303939.shtml	https://www.liepin.com/company/1072424/	34	2018互联网300强	交互设计	4
9	10	本科及以上	5-10年	20-30k·12薪	2020年04月07日	用户体验经理UEC	北京	科大讯飞	https://www.liepin.com/job/1916356251.shtml	https://www.liepin.com/company/4454894/	34	2018互联网300强	交互设计	4
10	11	本科及以上	5-10年	20-40k·12薪	2020年04月06日	交互设计师		京东商城	https://www.liepin.com/job/1925839127.shtml	https://www.liepin.com/company/9747025/	34	2018互联网300强	交互设计	4
11	12	学历不限	5-10年	面议	2020年04月13日	中台运营事业部-体验设计师专家（视觉）-北京	杭州	阿里巴巴	https://www.liepin.com/job/1927296097.shtml	https://www.liepin.com/company/1072424/	34	2018互联网300强	交互设计	4
12	13	学历不限	3-5年	面议	2020年04月08日	设计事业部-用户体验研究专家-用户与市场洞察	杭州	阿里巴巴	https://www.liepin.com/job/1927303993.shtml	https://www.liepin.com/company/1072424/	34	2018互联网300强	交互设计	4
13	14	学历不限	1-3年	面议	2020年04月08日	设计事业部-用户体验研究专家-创新孵化实验室	杭州	阿里巴巴	https://www.liepin.com/job/1927303897.shtml	https://www.liepin.com/company/1072424/	34	2018互联网300强	交互设计	4
14	15	大专及以上	经验不限	面议	2020年04月09日	用户体验师岗（客服管理方向）		京东商城	https://www.liepin.com/job/1924427281.shtml	https://www.liepin.com/company/9747025/	34	2018互联网300强	交互设计	4
15	16	统招本科	3-5年	20-25k·14薪	2020年04月06日	用户体验（客诉）		京东商城	https://www.liepin.com/job/1927245155.shtml	https://www.liepin.com/company/9747025/	34	2018互联网300强	交互设计	4
16	17	学历不限	5-10年	面议	2020年04月08日	设计事业部-体验设计专家-CBU设计	杭州	阿里巴巴	https://www.liepin.com/job/1927304011.shtml	https://www.liepin.com/company/1072424/	34	2018互联网300强	交互设计	4
17	18	统招本科	3-5年	面议	2020年04月09日	用户体验师岗（商家服务管理方向）		京东商城	https://www.liepin.com/job/1924115901.shtml	https://www.liepin.com/company/9747025/	34	2018互联网300强	交互设计	4
18	19	本科及以上	1-3年	面议	2020年04月02日	交互设计师	广州	欢聚集团	https://www.liepin.com/job/1927185905.shtml	https://www.liepin.com/company/930104/	34	2018互联网300强	交互设计	4
19	20	本科及以上	5-10年	30-50k·12薪	2020年04月06日	高级产品经理（用户体验提升方向）		京东商城	https://www.liepin.com/job/1925924955.shtml	https://www.liepin.com/company/9747025/	34	2018互联网300强	交互设计	4
