	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	统招本科	5-10年	面议	2019年04月04日	UX专家	杭州	华为	https://www.liepin.com/job/1918954799.shtml	https://www.liepin.com/company/954482/	47	2018互联网300强	用户体验	7
1	2	统招本科	5-10年	面议	2019年04月04日	UX专家	深圳	华为	https://www.liepin.com/job/1918954797.shtml	https://www.liepin.com/company/954482/	47	2018互联网300强	用户体验	7
2	3	统招本科	经验不限	10-18k·12薪	2019年11月14日	ue交互设计师	北京	Baidu	https://www.liepin.com/job/1924749645.shtml	https://www.liepin.com/company/884492/	47	2018互联网300强	用户体验	7
3	4	本科及以上	5-10年	18-25k·12薪	2019年10月29日	高级UE交互设计师		海云数据	https://www.liepin.com/job/1923188045.shtml	https://www.liepin.com/company/7856749/	47	2018互联网300强	用户体验	7
4	5	统招本科	5-10年	18-25k·12薪	2019年08月29日	高级UE交互设计师		海云数据	https://www.liepin.com/job/1923002077.shtml	https://www.liepin.com/company/7856749/	47	2018互联网300强	用户体验	7
5	6	统招本科	5-10年	面议	2019年04月19日	UX架构交互设计师	深圳-坂田	华为	https://www.liepin.com/job/1911867453.shtml	https://www.liepin.com/company/954482/	47	2018互联网300强	用户体验	7
6	7	统招本科	3-5年	18-30k·12薪	2019年12月19日	交互设计师/UE	上海-黄浦区	众安在线财产保险	https://www.liepin.com/job/1922600759.shtml	https://www.liepin.com/company/7962446/	47	2018互联网300强	用户体验	7
7	8	学历不限	5-10年	面议	2020年04月01日	盒马-体验设计专家-中后台	杭州	阿里巴巴	https://www.liepin.com/job/1927155333.shtml	https://www.liepin.com/company/1072424/	47	2018互联网300强	用户体验	7
8	9	大专及以上	3-5年	面议	2020年02月18日	互联网UX交互设计师	深圳	华为	https://www.liepin.com/job/1921555815.shtml	https://www.liepin.com/company/954482/	47	2018互联网300强	用户体验	7
9	10	统招本科	3-5年	30-50k·12薪	2020年02月25日	交互设计师	深圳-龙岗区	华为	https://www.liepin.com/job/1916851047.shtml	https://www.liepin.com/company/954482/	47	2018互联网300强	用户体验	7
10	11	统招本科	5-10年	30-60k·12薪	2020年02月10日	UED设计专家		众安在线财产保险	https://www.liepin.com/job/1923090881.shtml	https://www.liepin.com/company/7962446/	47	2018互联网300强	用户体验	7
11	12	统招本科	5-10年	面议	2019年12月03日	交互设计专家	深圳	华为	https://www.liepin.com/job/1914837471.shtml	https://www.liepin.com/company/954482/	47	2018互联网300强	用户体验	7
12	13	本科及以上	1-3年	10-20k·12薪	2019年09月29日	UE设计师	北京	58同城	https://www.liepin.com/job/1922599357.shtml	https://www.liepin.com/company/591850/	47	2018互联网300强	用户体验	7
13	14	统招本科	3-5年	面议	2020年03月18日	UE工程师	北京-沙河	泰康在线财产保险股份有限公司	https://www.liepin.com/job/1926768565.shtml	https://www.liepin.com/company/8639521/	47	2018互联网300强	用户体验	7
14	15	统招本科	1-3年	13-20k·12薪	2019年11月05日	交互设计师	北京	Baidu	https://www.liepin.com/job/1924563151.shtml	https://www.liepin.com/company/884492/	47	2018互联网300强	用户体验	7
15	16	统招本科	1-3年	15-22k·14薪	2019年07月10日	交互设计师		新浪	https://www.liepin.com/job/1921421167.shtml	https://www.liepin.com/company/6527404/	47	2018互联网300强	用户体验	7
16	17	本科及以上	3-5年	10-15k·15薪	2020年01月20日	交互设计师	上海-长宁区	明略科技集团	https://www.liepin.com/job/1925631655.shtml	https://www.liepin.com/company/8550487/	47	2018互联网300强	用户体验	7
