	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	学历不限	3-5年	面议	2020年04月23日	阿里集团-HomeAI视觉设计专家/高级专家-淘系技术部	杭州	阿里巴巴	https://www.liepin.com/job/1927317089.shtml	https://www.liepin.com/company/1072424/	65	2018互联网300强	服务设计	5
1	2	学历不限	3-5年	面议	2020年04月23日	中台运营事业部-定向广告产品专家-北京	杭州	阿里巴巴	https://www.liepin.com/job/1927315795.shtml	https://www.liepin.com/company/1072424/	65	2018互联网300强	服务设计	5
2	3	本科及以上	3-5年	20-35k·13薪	2020年04月23日	Linux服务端开发工程师 (MJ002811)		欢聚集团	https://www.liepin.com/job/1926985489.shtml	https://www.liepin.com/company/930104/	65	2018互联网300强	服务设计	5
3	4	统招本科	5-10年	14-26k·12薪	2020年04月23日	高级Java工程师-合肥	合肥-高新区	科大讯飞	https://www.liepin.com/job/1925785427.shtml	https://www.liepin.com/company/4454894/	65	2018互联网300强	服务设计	5
4	5	统招本科	5-10年	13-26k·12薪	2020年04月23日	产品经理 （飞鱼OS）-合肥	合肥-高新区	科大讯飞	https://www.liepin.com/job/1925731065.shtml	https://www.liepin.com/company/4454894/	65	2018互联网300强	服务设计	5
5	6	统招本科	5-10年	35-60k·18薪	2020年04月23日	ebs技术顾问	深圳	华为	https://www.liepin.com/job/1925685005.shtml	https://www.liepin.com/company/954482/	65	2018互联网300强	服务设计	5
6	7	本科及以上	3-5年	15-25k·12薪	2020年04月23日	国际业务服务产品经理	上海	携程	https://www.liepin.com/job/1925626223.shtml	https://www.liepin.com/company/182339/	65	2018互联网300强	服务设计	5
7	8	本科及以上	3-5年	15-25k·12薪	2020年04月23日	在线服务产品经理	上海	携程	https://www.liepin.com/job/1925626129.shtml	https://www.liepin.com/company/182339/	65	2018互联网300强	服务设计	5
8	9	本科及以上	3-5年	15-25k·12薪	2020年04月23日	Product Manager 产品经理	上海	携程	https://www.liepin.com/job/1925626019.shtml	https://www.liepin.com/company/182339/	65	2018互联网300强	服务设计	5
9	10	本科及以上	3-5年	10-15k·12薪	2020年04月23日	Procedure Supervisor	上海	携程	https://www.liepin.com/job/1925625963.shtml	https://www.liepin.com/company/182339/	65	2018互联网300强	服务设计	5
