	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	3-5年	面议	2019年10月15日	AQ-安全评估经理（广州）	广州	腾讯	https://www.liepin.com/job/1918963453.shtml	https://www.liepin.com/company/7983148/	75	2018互联网300强	信息设计	5
1	2	本科及以上	3-5年	面议	2019年10月15日	AQ-安全评估经理（深圳总部）	深圳	腾讯	https://www.liepin.com/job/1918963451.shtml	https://www.liepin.com/company/7983148/	75	2018互联网300强	信息设计	5
2	3	本科及以上	1-3年	面议	2019年10月15日	TEG03-高级爬虫工程师（深圳）	深圳	腾讯	https://www.liepin.com/job/1915322803.shtml	https://www.liepin.com/company/7983148/	75	2018互联网300强	信息设计	5
3	4	本科及以上	5-10年	面议	2019年10月12日	UI设计师X0003	上海	京东数字科技控股有限公司	https://www.liepin.com/job/1915288703.shtml	https://www.liepin.com/company/215535/	75	2018互联网300强	信息设计	5
4	5	本科及以上	3-5年	20-40k·12薪	2019年10月11日	自动驾驶技术部_智能交通-高级产品经理	北京	Baidu	https://www.liepin.com/job/1916783487.shtml	https://www.liepin.com/company/884492/	75	2018互联网300强	信息设计	5
5	6	本科及以上	3-5年	面议	2019年10月11日	高级产品经理（智慧城市）	北京	Baidu	https://www.liepin.com/job/1916473349.shtml	https://www.liepin.com/company/884492/	75	2018互联网300强	信息设计	5
6	7	本科及以上	5-10年	25-50k·20薪	2019年10月10日	算法工程师/机器学习工程师（推荐/搜索方向）	南京	华为	https://www.liepin.com/job/1924009585.shtml	https://www.liepin.com/company/954482/	75	2018互联网300强	信息设计	5
7	8	本科及以上	经验不限	15-30k·14薪	2019年10月09日	高级视觉设计师	深圳	腾讯	https://www.liepin.com/job/1923978547.shtml	https://www.liepin.com/company/7983148/	75	2018互联网300强	信息设计	5
8	9	本科及以上	5-10年	25-50k·20薪	2019年09月24日	信息流产品专家.	深圳	华为	https://www.liepin.com/job/1923705771.shtml	https://www.liepin.com/company/954482/	75	2018互联网300强	信息设计	5
9	10	统招本科	1-3年	面议	2019年09月18日	平面设计师	北京	京东商城	https://www.liepin.com/job/1923527803.shtml	https://www.liepin.com/company/9747025/	75	2018互联网300强	信息设计	5
10	11	本科及以上	3-5年	25-50k·20薪	2019年09月12日	信息流产品专家	深圳	华为	https://www.liepin.com/job/1923395705.shtml	https://www.liepin.com/company/954482/	75	2018互联网300强	信息设计	5
11	12	统招本科	3-5年	面议	2019年09月09日	海外信息化咨询顾问		滴滴	https://www.liepin.com/job/1923289365.shtml	https://www.liepin.com/company/8076624/	75	2018互联网300强	信息设计	5
12	13	本科及以上	3-5年	面议	2019年09月05日	IDG智能驾驶体验设计中心_高级视觉设计师	北京	Baidu	https://www.liepin.com/job/1923210837.shtml	https://www.liepin.com/company/884492/	75	2018互联网300强	信息设计	5
13	14	本科及以上	1-3年	20-35k·16薪	2019年08月28日	C端产品经理	杭州	杭州优行科技有限公司	https://www.liepin.com/job/1919675395.shtml	https://www.liepin.com/company/9139663/	75	2018互联网300强	信息设计	5
14	15	本科及以上	5-10年	20-40k·12薪	2019年08月23日	解决方案架构师		Baidu	https://www.liepin.com/job/1922827823.shtml	https://www.liepin.com/company/884492/	75	2018互联网300强	信息设计	5
15	16	学历不限	3-5年	面议	2019年08月23日	飞猪-平台产品专家-商家平台		阿里巴巴	https://www.liepin.com/job/1920424763.shtml	https://www.liepin.com/company/1072424/	75	2018互联网300强	信息设计	5
