	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	统招本科	经验不限	面议	2020年03月27日	相机APP开发工程师	南京-玄武区	小米	https://www.liepin.com/job/1911514554.shtml	https://www.liepin.com/company/2174886/	287	制造业500强	界面设计	2
1	2	本科及以上	经验不限	面议	2020年03月27日	相机APP开发工程师	北京-清河	小米	https://www.liepin.com/job/1910586808.shtml	https://www.liepin.com/company/2174886/	287	制造业500强	界面设计	2
2	3	统招本科	10年以上	15-30k·12薪	2020年03月19日	资深智能制造产品经理	长沙	中联重科	https://www.liepin.com/job/1925905039.shtml	https://www.liepin.com/company/4450360/	287	制造业500强	界面设计	2
3	4	统招本科	5-10年	15-25k·12薪	2020年03月19日	智能制造产品经理	长沙	中联重科	https://www.liepin.com/job/1925905037.shtml	https://www.liepin.com/company/4450360/	287	制造业500强	界面设计	2
4	5	本科及以上	10年以上	面议	2020年03月17日	产品部总经理	深圳-福田区	光汇石油	https://www.liepin.com/job/1926639153.shtml	https://www.liepin.com/company/853855/	287	制造业500强	界面设计	2
5	6	本科及以上	经验不限	10-15k·12薪	2020年03月10日	SU-嵌入式软件工程师(J11398)	广州	CVTE	https://www.liepin.com/job/1917650215.shtml	https://www.liepin.com/company/7854025/	287	制造业500强	界面设计	2
6	7	统招本科	3-5年	面议	2020年03月09日	APP产品经理	上海-岳阳	方太	https://www.liepin.com/job/1926525249.shtml	https://www.liepin.com/company/7922026/	287	制造业500强	界面设计	2
7	8	统招本科	5-10年	10-15k·12薪	2020年03月04日	H5开发工程师	上海-岳阳	方太	https://www.liepin.com/job/1926441079.shtml	https://www.liepin.com/company/7922026/	287	制造业500强	界面设计	2
8	9	本科及以上	经验不限	10-18k·12薪	2020年02月25日	web前端工程师	杭州-余杭区	天能电池集团股份有限公司	https://www.liepin.com/job/1926224271.shtml	https://www.liepin.com/company/7870471/	287	制造业500强	界面设计	2
9	10	本科及以上	1-3年	12-24k·12薪	2020年02月17日	海外游戏运营经理（日本）		小米	https://www.liepin.com/job/1926078039.shtml	https://www.liepin.com/company/2174886/	287	制造业500强	界面设计	2
10	11	大专及以上	5-10年	10-15k·12薪	2020年01月21日	前端开发工程师	天津	天狮集团	https://www.liepin.com/job/1925874425.shtml	https://www.liepin.com/company/571564/	287	制造业500强	界面设计	2
11	12	本科及以上	3-5年	10-20k·12薪	2020年01月18日	h5开发工程师	上海-闵行区	方太	https://www.liepin.com/job/1924214953.shtml	https://www.liepin.com/company/7922026/	287	制造业500强	界面设计	2
12	13	本科及以上	经验不限	面议	2019年12月25日	小米海外浏览器高级产品经理	北京	小米	https://www.liepin.com/job/1925492425.shtml	https://www.liepin.com/company/2174886/	287	制造业500强	界面设计	2
13	14	统招本科	5-10年	面议	2019年12月12日	android开发工程师	北京	小米	https://www.liepin.com/job/1922556949.shtml	https://www.liepin.com/company/2174886/	287	制造业500强	界面设计	2
14	15	学历不限	经验不限	面议	2019年12月12日	国际小米网高级产品经理	北京	小米	https://www.liepin.com/job/1920757079.shtml	https://www.liepin.com/company/2174886/	287	制造业500强	界面设计	2
15	16	统招本科	1-3年	面议	2019年12月12日	Android开发工程师		小米	https://www.liepin.com/job/1919941397.shtml	https://www.liepin.com/company/2174886/	287	制造业500强	界面设计	2
16	17	统招本科	1-3年	面议	2019年12月12日	海外售后产品经理		小米	https://www.liepin.com/job/1919225061.shtml	https://www.liepin.com/company/2174886/	287	制造业500强	界面设计	2
17	18	学历不限	3-5年	面议	2019年11月28日	设计主管	广州	CVTE	https://www.liepin.com/job/1925014977.shtml	https://www.liepin.com/company/7854025/	287	制造业500强	界面设计	2
18	19	本科及以上	5-10年	20-40k·12薪	2019年11月13日	移动开发经理（IOS方向）	天津	天狮集团	https://www.liepin.com/job/1920054075.shtml	https://www.liepin.com/company/571564/	287	制造业500强	界面设计	2
19	20	本科及以上	3-5年	20-30k·14薪	2019年11月08日	高级视觉设计师	北京-清河	小米	https://www.liepin.com/job/1915048768.shtml	https://www.liepin.com/company/2174886/	287	制造业500强	界面设计	2
20	21	本科及以上	5-10年	面议	2019年10月21日	跨境电商WEB前端开发工程师	北京	天狮集团	https://www.liepin.com/job/1924235849.shtml	https://www.liepin.com/company/571564/	287	制造业500强	界面设计	2
21	22	本科及以上	5-10年	面议	2019年10月09日	高级功能安全软件工程师（架构师）（仪表或聚合数字座舱）	上海-浦东新区	博世	https://www.liepin.com/job/1923420429.shtml	https://www.liepin.com/company/8179352/	287	制造业500强	界面设计	2
22	23	学历不限	经验不限	20-35k·12薪	2019年08月01日	Android高级软件工程师-小爱老师	北京	小米	https://www.liepin.com/job/1922123331.shtml	https://www.liepin.com/company/2174886/	287	制造业500强	界面设计	2
23	24	本科及以上	5-10年	面议	2019年07月03日	产品经理		小米	https://www.liepin.com/job/1919766137.shtml	https://www.liepin.com/company/2174886/	287	制造业500强	界面设计	2
24	25	统招本科	3-5年	11-22k·12薪	2019年05月31日	android开发工程师	西安	CVTE	https://www.liepin.com/job/1917156085.shtml	https://www.liepin.com/company/7854025/	287	制造业500强	界面设计	2
25	26	本科及以上	3-5年	15-30k·15薪	2019年04月03日	android开发工程师		小米	https://www.liepin.com/job/1918875723.shtml	https://www.liepin.com/company/2174886/	287	制造业500强	界面设计	2
26	27	本科及以上	5-10年	面议	2019年02月22日	前端开发工程师		光汇石油	https://www.liepin.com/job/1915580309.shtml	https://www.liepin.com/company/853855/	287	制造业500强	界面设计	2
27	28	统招本科	3-5年	12-20k·14薪	2019年02月14日	android应用开发工程师	西安	CVTE	https://www.liepin.com/job/1917156081.shtml	https://www.liepin.com/company/7854025/	287	制造业500强	界面设计	2
28	29	本科及以上	3-5年	面议	2019年02月12日	售后产品经理	北京	小米	https://www.liepin.com/job/1917422287.shtml	https://www.liepin.com/company/2174886/	287	制造业500强	界面设计	2
29	30	本科及以上	5-10年	20-25k·12薪	2019年01月11日	前端开发工程师	深圳-福田区	光汇石油	https://www.liepin.com/job/1916744913.shtml	https://www.liepin.com/company/853855/	287	制造业500强	界面设计	2
30	31	本科及以上	1-3年	6-10k·12薪	2019年01月05日	产品经理	无锡	远东控股集团	https://www.liepin.com/job/1916576503.shtml	https://www.liepin.com/company/2892805/	287	制造业500强	界面设计	2
31	32	本科及以上	经验不限	15-22k·12薪	2018年12月20日	产品经理（电商方向）(J10615)	天津	天狮集团	https://www.liepin.com/job/1916347249.shtml	https://www.liepin.com/company/571564/	287	制造业500强	界面设计	2
32	33	本科及以上	经验不限	15-22k·12薪	2018年12月20日	移动开发经理（IOS方向）(J10618)	天津	天狮集团	https://www.liepin.com/job/1916347089.shtml	https://www.liepin.com/company/571564/	287	制造业500强	界面设计	2
33	34	本科及以上	1-3年	6-10k·12薪	2018年12月12日	产品经理（远东买卖宝）	无锡-宜兴	远东控股集团	https://www.liepin.com/job/1916206855.shtml	https://www.liepin.com/company/2892805/	287	制造业500强	界面设计	2
34	35	统招本科	1-3年	4-8k·12薪	2018年12月05日	EM-产品专员(J11097)	广州	CVTE	https://www.liepin.com/job/1914658755.shtml	https://www.liepin.com/company/7854025/	287	制造业500强	界面设计	2
35	36	大专及以上	3-5年	面议	2018年11月23日	前端开发工程师-页面开发(J10547)	天津-武清区	天狮集团	https://www.liepin.com/job/1915850512.shtml	https://www.liepin.com/company/571564/	287	制造业500强	界面设计	2
36	37	本科及以上	3-5年	8-10k·12薪	2018年11月23日	前端开发工程师-美工(J10546)	天津-武清区	天狮集团	https://www.liepin.com/job/1915850215.shtml	https://www.liepin.com/company/571564/	287	制造业500强	界面设计	2
