	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	1-3年	面议	2020年04月16日	Android 系统工程师		小米	https://www.liepin.com/job/1921924029.shtml	https://www.liepin.com/company/2174886/	289	制造业500强	UI设计	1
1	2	本科及以上	1-3年	面议	2020年04月16日	相机APP开发工程师	深圳-南山区	小米	https://www.liepin.com/job/1920483161.shtml	https://www.liepin.com/company/2174886/	289	制造业500强	UI设计	1
2	3	本科及以上	1-3年	面议	2020年04月16日	相机APP开发工程师		小米	https://www.liepin.com/job/1920482959.shtml	https://www.liepin.com/company/2174886/	289	制造业500强	UI设计	1
3	4	本科及以上	3-5年	8-12k·12薪	2020年04月16日	产品经理	重庆-石桥铺	宗申产业集团	https://www.liepin.com/job/1910072901.shtml	https://www.liepin.com/company/5125884/	289	制造业500强	UI设计	1
4	5	本科及以上	3-5年	10-15k·12薪	2020年04月15日	视觉/平面设计师	杭州-江干区	华峰集团	https://www.liepin.com/job/1926017485.shtml	https://www.liepin.com/company/5829215/	289	制造业500强	UI设计	1
5	6	本科及以上	3-5年	8-10k·12薪	2020年04月14日	中级前端工程师	重庆-石桥铺	宗申产业集团	https://www.liepin.com/job/1914280279.shtml	https://www.liepin.com/company/5125884/	289	制造业500强	UI设计	1
6	7	本科及以上	5-10年	20-30k·12薪	2020年04月14日	产品总监	重庆-大竹林	宗申产业集团	https://www.liepin.com/job/1912478319.shtml	https://www.liepin.com/company/5125884/	289	制造业500强	UI设计	1
7	8	大专及以上	5-10年	12-25k·12薪	2020年04月11日	开发经理（互联网）	杭州	人本集团	https://www.liepin.com/job/1927371333.shtml	https://www.liepin.com/company/8061945/	289	制造业500强	UI设计	1
8	9	大专及以上	3-5年	20-40k·14薪	2020年04月10日	前端开发工程师		小米	https://www.liepin.com/job/1917422655.shtml	https://www.liepin.com/company/2174886/	289	制造业500强	UI设计	1
9	10	统招本科	3-5年	24-40k·14薪	2020年04月10日	浏览器高级产品经理		小米	https://www.liepin.com/job/1926099617.shtml	https://www.liepin.com/company/2174886/	289	制造业500强	UI设计	1
10	11	统招本科	1-3年	20-30k·14薪	2020年04月10日	海外产品经理		小米	https://www.liepin.com/job/1926046147.shtml	https://www.liepin.com/company/2174886/	289	制造业500强	UI设计	1
11	12	本科及以上	1-3年	8-15k·12薪	2020年04月07日	前端开发工程师	重庆-巴南区	宗申产业集团	https://www.liepin.com/job/1923207871.shtml	https://www.liepin.com/company/5125884/	289	制造业500强	UI设计	1
12	13	统招本科	3-5年	8-15k·12薪	2020年04月07日	产品经理	重庆	宗申产业集团	https://www.liepin.com/job/1918666805.shtml	https://www.liepin.com/company/5125884/	289	制造业500强	UI设计	1
13	14	本科及以上	3-5年	18-28k·14薪	2020年04月02日	有品电商-资深视觉设计师/主管		小米	https://www.liepin.com/job/1927187249.shtml	https://www.liepin.com/company/2174886/	289	制造业500强	UI设计	1
14	15	本科及以上	3-5年	面议	2019年10月23日	资深UED视觉设计师/总监	天津	天士力集团网	https://www.liepin.com/job/1921548703.shtml	https://www.liepin.com/company/6615613/	289	制造业500强	UI设计	1
15	16	本科及以上	5-10年	20-40k·12薪	2019年08月14日	资深UED视觉设计师/总监	上海-浦东新区	天士力集团网	https://www.liepin.com/job/1922515583.shtml	https://www.liepin.com/company/6615613/	289	制造业500强	UI设计	1
16	17	大专及以上	3-5年	5-8k·12薪	2020年03月26日	设计专员	天津-葛沽	荣程集团	https://www.liepin.com/job/1926992365.shtml	https://www.liepin.com/company/8299930/	289	制造业500强	UI设计	1
17	18	本科及以上	5-10年	15-30k·14薪	2020年04月03日	Android框架工程师		小米	https://www.liepin.com/job/1927206923.shtml	https://www.liepin.com/company/2174886/	289	制造业500强	UI设计	1
18	19	本科及以上	3-5年	10-15k·12薪	2020年03月21日	产品经理 - 产品部	长沙	中联重科	https://www.liepin.com/job/1925908143.shtml	https://www.liepin.com/company/4450360/	289	制造业500强	UI设计	1
19	20	统招本科	5-10年	20-25k·12薪	2020年03月21日	产品规划主任 - 产品部	长沙	中联重科	https://www.liepin.com/job/1925908125.shtml	https://www.liepin.com/company/4450360/	289	制造业500强	UI设计	1
20	21	本科及以上	1-3年	面议	2020年04月01日	Android Framework开发工程师		小米	https://www.liepin.com/job/1920253191.shtml	https://www.liepin.com/company/2174886/	289	制造业500强	UI设计	1
21	22	本科及以上	经验不限	面议	2020年04月01日	Android Framework开发工程师	上海-徐汇区	小米	https://www.liepin.com/job/1917819991.shtml	https://www.liepin.com/company/2174886/	289	制造业500强	UI设计	1
22	23	本科及以上	经验不限	面议	2020年04月01日	相机APP开发工程师	上海-徐汇区	小米	https://www.liepin.com/job/1917819621.shtml	https://www.liepin.com/company/2174886/	289	制造业500强	UI设计	1
23	24	本科及以上	3-5年	面议	2020年03月30日	高级前端开发工程师（智能互联事业部）	南京-栖霞区	奇瑞控股集团有限公司	https://www.liepin.com/job/1926984729.shtml	https://www.liepin.com/company/9572203/	289	制造业500强	UI设计	1
24	25	本科及以上	5-10年	15-30k·14薪	2020年03月30日	手机部-相机-相册高级软件测试工程师		小米	https://www.liepin.com/job/1927085779.shtml	https://www.liepin.com/company/2174886/	289	制造业500强	UI设计	1
25	26	统招本科	3-5年	20-40k·12薪	2020年03月27日	高级RTOS系统开发工程师（小爱音箱）		小米	https://www.liepin.com/job/1924836957.shtml	https://www.liepin.com/company/2174886/	289	制造业500强	UI设计	1
26	27	本科及以上	经验不限	10-15k·12薪	2020年03月10日	SU-嵌入式软件工程师(J11398)	广州	CVTE	https://www.liepin.com/job/1917650215.shtml	https://www.liepin.com/company/7854025/	289	制造业500强	UI设计	1
27	28	本科及以上	5-10年	17-25k·12薪	2020年03月05日	开发经理	杭州-下城区	人本集团	https://www.liepin.com/job/1926473017.shtml	https://www.liepin.com/company/8061945/	289	制造业500强	UI设计	1
28	29	本科及以上	经验不限	10-18k·12薪	2020年02月25日	web前端工程师	杭州-余杭区	天能电池集团股份有限公司	https://www.liepin.com/job/1926224271.shtml	https://www.liepin.com/company/7870471/	289	制造业500强	UI设计	1
29	30	本科及以上	3-5年	16-30k·12薪	2020年02月13日	Senior / IOS Developer		光汇石油	https://www.liepin.com/job/1912576545.shtml	https://www.liepin.com/company/853855/	289	制造业500强	UI设计	1
30	31	本科及以上	3-5年	16-30k·12薪	2020年02月13日	Senior / Android Developer		光汇石油	https://www.liepin.com/job/1912576508.shtml	https://www.liepin.com/company/853855/	289	制造业500强	UI设计	1
31	32	本科及以上	经验不限	面议	2019年05月13日	高级android开发工程师	北京	小米	https://www.liepin.com/job/1919826665.shtml	https://www.liepin.com/company/2174886/	289	制造业500强	UI设计	1
32	33	本科及以上	1-3年	6-10k·12薪	2019年01月05日	产品经理	无锡	远东控股集团	https://www.liepin.com/job/1916576503.shtml	https://www.liepin.com/company/2892805/	289	制造业500强	UI设计	1
33	34	本科及以上	1-3年	6-10k·12薪	2018年12月12日	产品经理（远东买卖宝）	无锡-宜兴	远东控股集团	https://www.liepin.com/job/1916206855.shtml	https://www.liepin.com/company/2892805/	289	制造业500强	UI设计	1
34	35	本科及以上	3-5年	8-10k·12薪	2018年11月23日	前端开发工程师-美工(J10546)	天津-武清区	天狮集团	https://www.liepin.com/job/1915850215.shtml	https://www.liepin.com/company/571564/	289	制造业500强	UI设计	1
35	36	统招本科	1-3年	面议	2020年03月27日	高级交互设计师		小米	https://www.liepin.com/job/1921825141.shtml	https://www.liepin.com/company/2174886/	289	制造业500强	UI设计	1
36	37	统招本科	5-10年	10-15k·12薪	2020年03月04日	H5开发工程师	上海-岳阳	方太	https://www.liepin.com/job/1926441079.shtml	https://www.liepin.com/company/7922026/	289	制造业500强	UI设计	1
37	38	本科及以上	3-5年	10-20k·12薪	2020年01月18日	h5开发工程师	上海-闵行区	方太	https://www.liepin.com/job/1924214953.shtml	https://www.liepin.com/company/7922026/	289	制造业500强	UI设计	1
38	39	本科及以上	经验不限	15-22k·12薪	2018年12月20日	产品经理（电商方向）(J10615)	天津	天狮集团	https://www.liepin.com/job/1916347249.shtml	https://www.liepin.com/company/571564/	289	制造业500强	UI设计	1
39	40	统招本科	1-3年	4-8k·12薪	2018年12月05日	EM-产品专员(J11097)	广州	CVTE	https://www.liepin.com/job/1914658755.shtml	https://www.liepin.com/company/7854025/	289	制造业500强	UI设计	1
