	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	3-5年	10-15k·12薪	2020年04月14日	策划经理	南京	天狮集团	https://www.liepin.com/job/1927424177.shtml	https://www.liepin.com/company/571564/	293	制造业500强	视觉设计	2
1	2	本科及以上	3-5年	10-15k·12薪	2020年04月14日	策划经理	上海	天狮集团	https://www.liepin.com/job/1927424175.shtml	https://www.liepin.com/company/571564/	293	制造业500强	视觉设计	2
2	3	本科及以上	3-5年	10-15k·12薪	2020年04月14日	策划经理	北京	天狮集团	https://www.liepin.com/job/1927424173.shtml	https://www.liepin.com/company/571564/	293	制造业500强	视觉设计	2
3	4	本科及以上	3-5年	10-15k·12薪	2020年04月14日	策划经理	天津	天狮集团	https://www.liepin.com/job/1927424171.shtml	https://www.liepin.com/company/571564/	293	制造业500强	视觉设计	2
4	5	本科及以上	5-10年	15-30k·12薪	2020年04月15日	高级UI设计师（体验设计）		小米	https://www.liepin.com/job/1926927743.shtml	https://www.liepin.com/company/2174886/	293	制造业500强	视觉设计	2
5	6	本科及以上	1-3年	8-12k·12薪	2020年04月12日	策划专员(品牌/市场推广/抖音/短视频方向）	镇江	天能电池集团股份有限公司	https://www.liepin.com/job/1927380197.shtml	https://www.liepin.com/company/7870471/	293	制造业500强	视觉设计	2
6	7	本科及以上	1-3年	8-12k·12薪	2020年04月12日	策划专员(品牌/市场推广/抖音/短视频方向）	扬州	天能电池集团股份有限公司	https://www.liepin.com/job/1927380195.shtml	https://www.liepin.com/company/7870471/	293	制造业500强	视觉设计	2
7	8	本科及以上	1-3年	8-12k·12薪	2020年04月12日	策划专员(品牌/市场推广/抖音/短视频方向）	苏州	天能电池集团股份有限公司	https://www.liepin.com/job/1927380193.shtml	https://www.liepin.com/company/7870471/	293	制造业500强	视觉设计	2
8	9	本科及以上	1-3年	8-12k·12薪	2020年04月12日	策划专员(品牌/市场推广/抖音/短视频方向）	常州	天能电池集团股份有限公司	https://www.liepin.com/job/1927380191.shtml	https://www.liepin.com/company/7870471/	293	制造业500强	视觉设计	2
9	10	本科及以上	1-3年	8-12k·12薪	2020年04月12日	策划专员(品牌/市场推广/抖音/短视频方向）	徐州	天能电池集团股份有限公司	https://www.liepin.com/job/1927380189.shtml	https://www.liepin.com/company/7870471/	293	制造业500强	视觉设计	2
10	11	本科及以上	1-3年	8-12k·12薪	2020年04月12日	策划专员(品牌/市场推广/抖音/短视频方向）	无锡	天能电池集团股份有限公司	https://www.liepin.com/job/1927380187.shtml	https://www.liepin.com/company/7870471/	293	制造业500强	视觉设计	2
11	12	本科及以上	1-3年	8-12k·12薪	2020年04月12日	策划专员(品牌/市场推广/抖音/短视频方向）	南京	天能电池集团股份有限公司	https://www.liepin.com/job/1927380185.shtml	https://www.liepin.com/company/7870471/	293	制造业500强	视觉设计	2
12	13	本科及以上	1-3年	8-12k·12薪	2020年04月12日	策划专员(品牌/市场推广/抖音/短视频方向）	上海	天能电池集团股份有限公司	https://www.liepin.com/job/1927380183.shtml	https://www.liepin.com/company/7870471/	293	制造业500强	视觉设计	2
