	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	5-10年	面议	2019年10月23日	产品总监/高级产品经理（移动医疗健康）	天津	天士力集团网	https://www.liepin.com/job/1921548319.shtml	https://www.liepin.com/company/6615613/	302	制造业500强	交互设计	7
1	2	本科及以上	5-10年	面议	2019年10月21日	跨境电商WEB前端开发工程师	北京	天狮集团	https://www.liepin.com/job/1924235849.shtml	https://www.liepin.com/company/571564/	302	制造业500强	交互设计	7
2	3	统招本科	5-10年	面议	2019年09月25日	财务系统产品专家/经理：(J12315)	石家庄	石药控股集团有限公司	https://www.liepin.com/job/1923737451.shtml	https://www.liepin.com/company/9332664/	302	制造业500强	交互设计	7
3	4	统招本科	5-10年	面议	2019年09月25日	人力资源系统产品专家/经理(J12311)	石家庄	石药控股集团有限公司	https://www.liepin.com/job/1923736791.shtml	https://www.liepin.com/company/9332664/	302	制造业500强	交互设计	7
4	5	统招本科	5-10年	面议	2019年09月05日	策划总监	北京	小米	https://www.liepin.com/job/1923192067.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
5	6	本科及以上	3-5年	15-25k·12薪	2019年09月05日	主题商店产品经理-南京	南京-建邺区	小米	https://www.liepin.com/job/1915849576.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
6	7	本科及以上	3-5年	15-25k·12薪	2019年09月05日	主题商店产品经理-南京	北京	小米	https://www.liepin.com/job/1915849575.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
7	8	大专及以上	经验不限	10-18k·12薪	2019年09月02日	EC-软件产品经理(J10781)	广州	CVTE	https://www.liepin.com/job/1917527021.shtml	https://www.liepin.com/company/7854025/	302	制造业500强	交互设计	7
8	9	本科及以上	5-10年	面议	2019年08月29日	高级产品经理（移动医疗健康）	天津-北辰区	天士力集团网	https://www.liepin.com/job/1922999747.shtml	https://www.liepin.com/company/6615613/	302	制造业500强	交互设计	7
9	10	本科及以上	5-10年	面议	2019年08月29日	高级产品经理（移动医疗健康）	上海-浦东新区	天士力集团网	https://www.liepin.com/job/1922999745.shtml	https://www.liepin.com/company/6615613/	302	制造业500强	交互设计	7
10	11	统招本科	3-5年	15-25k·13薪	2019年08月20日	ES-Web后台研发工程师	广州	CVTE	https://www.liepin.com/job/1922040573.shtml	https://www.liepin.com/company/7854025/	302	制造业500强	交互设计	7
11	12	统招本科	3-5年	15-30k·15薪	2019年07月23日	图像测评工程师(J11518)	广州-黄埔区	CVTE	https://www.liepin.com/job/1919797507.shtml	https://www.liepin.com/company/7854025/	302	制造业500强	交互设计	7
12	13	学历不限	经验不限	20-30k·12薪	2019年07月03日	硬件产品经理-净水器方向	北京	小米	https://www.liepin.com/job/1921199699.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
13	14	学历不限	3-5年	10-20k·12薪	2019年07月03日	硬件产品经理-清洁类产品（生态链）	北京	小米	https://www.liepin.com/job/1921198729.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
14	15	统招本科	3-5年	面议	2019年06月19日	数据分析师（顾客经营方向）	宁波	方太	https://www.liepin.com/job/1919098827.shtml	https://www.liepin.com/company/7922026/	302	制造业500强	交互设计	7
15	16	统招本科	1-3年	15-30k·12薪	2019年06月17日	高级产品经理-财务/支付方向		天瑞集团	https://www.liepin.com/job/1919484641.shtml	https://www.liepin.com/company/8946384/	302	制造业500强	交互设计	7
16	17	统招本科	1-3年	8-16k·12薪	2019年05月23日	增值产品运营专员/主管		小米	https://www.liepin.com/job/1920138815.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
17	18	硕士及以上	5-10年	面议	2019年03月28日	专利技术分析经理	北京-清河	小米	https://www.liepin.com/job/1910894685.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
18	19	统招本科	3-5年	25-50k·12薪	2019年03月25日	高级推荐算法工程师		小米	https://www.liepin.com/job/1918679179.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
19	20	统招本科	3-5年	13-17k·12薪	2019年03月01日	android开发工程师	西安	CVTE	https://www.liepin.com/job/1917051595.shtml	https://www.liepin.com/company/7854025/	302	制造业500强	交互设计	7
20	21	本科及以上	5-10年	面议	2019年02月22日	前端开发工程师		光汇石油	https://www.liepin.com/job/1915580309.shtml	https://www.liepin.com/company/853855/	302	制造业500强	交互设计	7
21	22	大专及以上	经验不限	30-50k·12薪	2019年02月22日	干撒货租船经理 (新加坡)		光汇石油	https://www.liepin.com/job/1915462744.shtml	https://www.liepin.com/company/853855/	302	制造业500强	交互设计	7
22	23	大专及以上	经验不限	30-50k·12薪	2019年02月22日	Chartering Manager (地点:新加坡)		光汇石油	https://www.liepin.com/job/1915462696.shtml	https://www.liepin.com/company/853855/	302	制造业500强	交互设计	7
23	24	学历不限	经验不限	15-25k·12薪	2019年02月18日	硬件产品经理-服装鞋帽类		小米	https://www.liepin.com/job/1915682616.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
24	25	统招本科	3-5年	面议	2019年01月28日	推荐策略高级产品经理	北京	小米	https://www.liepin.com/job/1916826493.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
25	26	学历不限	经验不限	面议	2019年01月28日	高级功能测试工程师	北京	小米	https://www.liepin.com/job/1915647366.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
26	27	统招本科	3-5年	面议	2019年01月28日	财务系统产品经理	北京-清河	小米	https://www.liepin.com/job/1914593685.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
27	28	本科及以上	5-10年	20-25k·12薪	2019年01月11日	前端开发工程师	深圳-福田区	光汇石油	https://www.liepin.com/job/1916744913.shtml	https://www.liepin.com/company/853855/	302	制造业500强	交互设计	7
28	29	大专及以上	3-5年	面议	2018年11月23日	前端开发工程师-页面开发(J10547)	天津-武清区	天狮集团	https://www.liepin.com/job/1915850512.shtml	https://www.liepin.com/company/571564/	302	制造业500强	交互设计	7
29	30	统招本科	1-3年	11-20k·14薪	2018年11月22日	供应链产品经理	北京-清河	小米	https://www.liepin.com/job/1916993819.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
30	31	统招本科	3-5年	10-18k·12薪	2020年03月27日	数据产品经理	南京	小米	https://www.liepin.com/job/1926588999.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
31	32	本科及以上	3-5年	15-25k·12薪	2020年03月26日	产品经理（OTT）	南京	小米	https://www.liepin.com/job/1926992735.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
32	33	统招本科	5-10年	20-40k·14薪	2020年03月27日	资深产品经理-相册	北京	小米	https://www.liepin.com/job/1926146551.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
33	34	本科及以上	3-5年	面议	2020年03月27日	视频剪辑师|视频内容运营		小米	https://www.liepin.com/job/1925839057.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
34	35	统招本科	5-10年	20-40k·12薪	2020年03月27日	高级UI设计师	北京	小米	https://www.liepin.com/job/1924591809.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
35	36	学历不限	1-3年	20-40k·14薪	2020年03月27日	传感器软件工程师	深圳-南山区	小米	https://www.liepin.com/job/1919712503.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
36	37	学历不限	5-10年	面议	2020年03月27日	传感器软件工程师	北京-清河	小米	https://www.liepin.com/job/1910587029.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
37	38	本科及以上	3-5年	10-18k·12薪	2020年03月12日	内容运营（小说）	南京	小米	https://www.liepin.com/job/1926616943.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
38	39	本科及以上	经验不限	10-15k·12薪	2020年03月10日	SU-嵌入式软件工程师(J11398)	广州	CVTE	https://www.liepin.com/job/1917650215.shtml	https://www.liepin.com/company/7854025/	302	制造业500强	交互设计	7
39	40	本科及以上	1-3年	14-28k·12薪	2020年03月02日	小米视频-短视频运营		小米	https://www.liepin.com/job/1926374811.shtml	https://www.liepin.com/company/2174886/	302	制造业500强	交互设计	7
