	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	大专及以上	3-5年	15-20k·14薪	2020年02月28日	有品电商-售后中心-服务规划经理		小米	https://www.liepin.com/job/1926336403.shtml	https://www.liepin.com/company/2174886/	312	制造业500强	用户体验	8
1	2	本科及以上	1-3年	8-15k·13薪	2020年02月22日	ED-内容运营（希沃学院）(J11311)	广州	CVTE	https://www.liepin.com/job/1916564063.shtml	https://www.liepin.com/company/7854025/	312	制造业500强	用户体验	8
2	3	统招本科	5-10年	12-20k·14薪	2020年02月05日	商业空间设计师	北京	小米	https://www.liepin.com/job/1923346307.shtml	https://www.liepin.com/company/2174886/	312	制造业500强	用户体验	8
3	4	学历不限	3-5年	15-30k·12薪	2020年01月10日	人工智能-语音产品运营		小米	https://www.liepin.com/job/1924982157.shtml	https://www.liepin.com/company/2174886/	312	制造业500强	用户体验	8
4	5	本科及以上	3-5年	10-20k·12薪	2020年01月10日	互一小米游戏发行-麻将游戏策划		小米	https://www.liepin.com/job/1917314595.shtml	https://www.liepin.com/company/2174886/	312	制造业500强	用户体验	8
5	6	统招本科	1-3年	面议	2019年12月12日	海外核心体验产品经理	北京	小米	https://www.liepin.com/job/1922665839.shtml	https://www.liepin.com/company/2174886/	312	制造业500强	用户体验	8
6	7	学历不限	1-3年	25-45k·14薪	2019年12月12日	JAVA工程师		小米	https://www.liepin.com/job/1920221273.shtml	https://www.liepin.com/company/2174886/	312	制造业500强	用户体验	8
7	8	统招本科	5-10年	面议	2019年12月08日	机器人产品总监\副总	广州	CVTE	https://www.liepin.com/job/1925183055.shtml	https://www.liepin.com/company/7854025/	312	制造业500强	用户体验	8
8	9	统招本科	5-10年	35-55k·14薪	2019年11月27日	小爱产品经理（音箱/电视）	北京	小米	https://www.liepin.com/job/1918754041.shtml	https://www.liepin.com/company/2174886/	312	制造业500强	用户体验	8
9	10	统招本科	3-5年	30-55k·12薪	2019年11月27日	信息流推荐算法工程师	北京	小米	https://www.liepin.com/job/1918644653.shtml	https://www.liepin.com/company/2174886/	312	制造业500强	用户体验	8
10	11	大专及以上	1-3年	20-40k·14薪	2019年11月08日	GO开发工程师		小米	https://www.liepin.com/job/1915794935.shtml	https://www.liepin.com/company/2174886/	312	制造业500强	用户体验	8
11	12	本科及以上	1-3年	15-30k·14薪	2019年11月08日	高级PHP/GO后端开发工程师	武汉-江夏区	小米	https://www.liepin.com/job/1915243072.shtml	https://www.liepin.com/company/2174886/	312	制造业500强	用户体验	8
12	13	本科及以上	5-10年	面议	2019年09月25日	研发经理(003306)	天津	天士力集团网	https://www.liepin.com/job/1923733937.shtml	https://www.liepin.com/company/6615613/	312	制造业500强	用户体验	8
13	14	大专及以上	经验不限	6-10k·14薪	2019年01月28日	小米游戏中心游戏体验/测评专员（南京）	南京-建邺区	小米	https://www.liepin.com/job/1915771023.shtml	https://www.liepin.com/company/2174886/	312	制造业500强	用户体验	8
14	15	硕士及以上	3-5年	25-45k·14薪	2019年01月28日	推荐算法工程师	北京-清河	小米	https://www.liepin.com/job/1914703628.shtml	https://www.liepin.com/company/2174886/	312	制造业500强	用户体验	8
