	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	统招本科	5-10年	10-15k·12薪	2020年03月04日	H5开发工程师	上海-岳阳	方太	https://www.liepin.com/job/1926441079.shtml	https://www.liepin.com/company/7922026/	319	制造业500强	体验设计	6
1	2	硕士及以上	经验不限	面议	2020年03月04日	JMP_Digital HR Consultant/博世初级经理人项目_数字化HR顾问_GS	苏州-工业园区	博世	https://www.liepin.com/job/1926317609.shtml	https://www.liepin.com/company/8179352/	319	制造业500强	体验设计	6
2	3	本科及以上	3-5年	面议	2020年03月02日	国际音乐产品经理		小米	https://www.liepin.com/job/1926380309.shtml	https://www.liepin.com/company/2174886/	319	制造业500强	体验设计	6
3	4	统招本科	经验不限	18-35k·14薪	2020年03月02日	高级硬件产品经理（小爱音箱）		小米	https://www.liepin.com/job/1926021565.shtml	https://www.liepin.com/company/2174886/	319	制造业500强	体验设计	6
4	5	本科及以上	3-5年	面议	2020年02月26日	高级产品经理	上海-浦东新区	天士力集团网	https://www.liepin.com/job/1926268097.shtml	https://www.liepin.com/company/6615613/	319	制造业500强	体验设计	6
5	6	学历不限	经验不限	面议	2020年02月25日	硬件产品经理（可穿戴产品）		小米	https://www.liepin.com/job/1926218791.shtml	https://www.liepin.com/company/2174886/	319	制造业500强	体验设计	6
6	7	大专及以上	1-3年	5-8k·12薪	2020年02月25日	产品实施顾问	重庆	宗申产业集团	https://www.liepin.com/job/1923760421.shtml	https://www.liepin.com/company/5125884/	319	制造业500强	体验设计	6
7	8	本科及以上	5-10年	50-80k·12薪	2020年02月25日	首席技术执行官cto	重庆	宗申产业集团	https://www.liepin.com/job/1918108653.shtml	https://www.liepin.com/company/5125884/	319	制造业500强	体验设计	6
8	9	统招本科	1-3年	7-14k·12薪	2020年02月22日	ED-用户运营（XW）	广州-黄埔区	CVTE	https://www.liepin.com/job/1918971007.shtml	https://www.liepin.com/company/7854025/	319	制造业500强	体验设计	6
9	10	本科及以上	1-3年	15-25k·13薪	2020年02月14日	用户调研主管 / 专员-中国区市场部	北京	小米	https://www.liepin.com/job/1925168113.shtml	https://www.liepin.com/company/2174886/	319	制造业500强	体验设计	6
10	11	学历不限	经验不限	面议	2020年02月05日	硬件产品经理-智能门锁	北京	小米	https://www.liepin.com/job/1921247833.shtml	https://www.liepin.com/company/2174886/	319	制造业500强	体验设计	6
11	12	本科及以上	3-5年	面议	2020年02月05日	电商生态链销售经理	北京	小米	https://www.liepin.com/job/1918776369.shtml	https://www.liepin.com/company/2174886/	319	制造业500强	体验设计	6
12	13	本科及以上	经验不限	2-4k·12薪	2020年01月21日	海外运营实习生-应用商店		小米	https://www.liepin.com/job/1925881529.shtml	https://www.liepin.com/company/2174886/	319	制造业500强	体验设计	6
13	14	大专及以上	5-10年	10-15k·12薪	2020年01月21日	前端开发工程师	天津	天狮集团	https://www.liepin.com/job/1925874425.shtml	https://www.liepin.com/company/571564/	319	制造业500强	体验设计	6
14	15	本科及以上	3-5年	10-20k·12薪	2020年01月18日	h5开发工程师	上海-闵行区	方太	https://www.liepin.com/job/1924214953.shtml	https://www.liepin.com/company/7922026/	319	制造业500强	体验设计	6
15	16	统招本科	经验不限	面议	2020年01月14日	商业产品经理-广告产品方向		小米	https://www.liepin.com/job/1919241583.shtml	https://www.liepin.com/company/2174886/	319	制造业500强	体验设计	6
16	17	本科及以上	5-10年	20-40k·12薪	2020年01月13日	有品-商户运营（全类目）		小米	https://www.liepin.com/job/1925761473.shtml	https://www.liepin.com/company/2174886/	319	制造业500强	体验设计	6
17	18	本科及以上	经验不限	面议	2020年01月03日	小米海外互联网业务产品经理	北京	小米	https://www.liepin.com/job/1925634043.shtml	https://www.liepin.com/company/2174886/	319	制造业500强	体验设计	6
18	19	硕士及以上	5-10年	30-40k·12薪	2020年01月03日	IT架构师	北京	北京汽车集团有限公司	https://www.liepin.com/job/1915453850.shtml	https://www.liepin.com/company/8035148/	319	制造业500强	体验设计	6
19	20	本科及以上	1-3年	7-15k·14薪	2019年12月12日	零售运营专员	北京	小米	https://www.liepin.com/job/1922315507.shtml	https://www.liepin.com/company/2174886/	319	制造业500强	体验设计	6
20	21	统招本科	1-3年	面议	2019年12月12日	海外负一屏产品经理	北京	小米	https://www.liepin.com/job/1921211017.shtml	https://www.liepin.com/company/2174886/	319	制造业500强	体验设计	6
