	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	3-5年	15-30k·12薪	2020年04月23日	Java开发工程师-小米电视		小米	https://www.liepin.com/job/1919257739.shtml	https://www.liepin.com/company/2174886/	322	制造业500强	服务设计	0
1	2	大专及以上	1-3年	12-20k·13薪	2020年04月23日	硬件工程师-小家电	广州	CVTE	https://www.liepin.com/job/1927713987.shtml	https://www.liepin.com/company/7854025/	322	制造业500强	服务设计	0
2	3	统招本科	1-3年	10-15k·14薪	2020年04月23日	售后运营专员	北京	小米	https://www.liepin.com/job/1924431521.shtml	https://www.liepin.com/company/2174886/	322	制造业500强	服务设计	0
3	4	本科及以上	3-5年	10-20k·12薪	2020年04月22日	java开发工程师（服务端）	南京-建邺区	小米	https://www.liepin.com/job/1927673219.shtml	https://www.liepin.com/company/2174886/	322	制造业500强	服务设计	0
4	5	统招本科	10年以上	120-150k·12薪	2020年04月21日	海运易CTO	深圳	光汇石油	https://www.liepin.com/job/1926652371.shtml	https://www.liepin.com/company/853855/	322	制造业500强	服务设计	0
5	6	统招本科	10年以上	100-130k·12薪	2020年04月21日	云油副CTO	深圳	光汇石油	https://www.liepin.com/job/1926650985.shtml	https://www.liepin.com/company/853855/	322	制造业500强	服务设计	0
6	7	本科及以上	3-5年	10-20k·12薪	2020年04月20日	嵌入式计算工程师-技术部	长沙	中联重科	https://www.liepin.com/job/1927590477.shtml	https://www.liepin.com/company/4450360/	322	制造业500强	服务设计	0
7	8	本科及以上	5-10年	18-25k·14薪	2020年04月16日	Web后端高级开发	南京-建邺区	小米	https://www.liepin.com/job/1927510525.shtml	https://www.liepin.com/company/2174886/	322	制造业500强	服务设计	0
8	9	统招本科	经验不限	面议	2020年04月16日	Linux C/C++ 后台研发工程师/高级研发工程师	北京	小米	https://www.liepin.com/job/1916681335.shtml	https://www.liepin.com/company/2174886/	322	制造业500强	服务设计	0
9	10	统招本科	5-10年	25-50k·12薪	2020年04月15日	数据库研发工程师	北京	小米	https://www.liepin.com/job/1927478499.shtml	https://www.liepin.com/company/2174886/	322	制造业500强	服务设计	0
