	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	1-3年	12-18k·14薪	2020年04月24日	行政信息化专员（产品设计相关）		小米	https://www.liepin.com/job/1924503745.shtml	https://www.liepin.com/company/2174886/	323	制造业500强	信息设计	0
1	2	学历不限	经验不限	10-20k·12薪	2019年10月14日	信息图表设计师（大家电团队）	北京	小米	https://www.liepin.com/job/1924116523.shtml	https://www.liepin.com/company/2174886/	323	制造业500强	信息设计	0
2	3	本科及以上	1-3年	14-28k·14薪	2020年04月24日	UI设计师-B端数据方向		小米	https://www.liepin.com/job/1927420471.shtml	https://www.liepin.com/company/2174886/	323	制造业500强	信息设计	0
3	4	统招本科	5-10年	面议	2020年04月23日	IT信息流程经理	湖州	天能电池集团股份有限公司	https://www.liepin.com/job/1924865337.shtml	https://www.liepin.com/company/7870471/	323	制造业500强	信息设计	0
4	5	统招本科	经验不限	15-25k·12薪	2020年04月22日	物流工艺规划专家	长沙	中联重科	https://www.liepin.com/job/1923322511.shtml	https://www.liepin.com/company/4450360/	323	制造业500强	信息设计	0
5	6	本科及以上	5-10年	面议	2020年04月16日	质量高级经理		小米	https://www.liepin.com/job/1926560499.shtml	https://www.liepin.com/company/2174886/	323	制造业500强	信息设计	0
6	7	本科及以上	3-5年	12-20k·12薪	2020年03月23日	信息化主管-外派	长沙-银盆岭	中联重科	https://www.liepin.com/job/1925904939.shtml	https://www.liepin.com/company/4450360/	323	制造业500强	信息设计	0
7	8	本科及以上	经验不限	面议	2020年03月23日	项目二部副总监（副部长）	长沙-银盆岭	中联重科	https://www.liepin.com/job/1925904757.shtml	https://www.liepin.com/company/4450360/	323	制造业500强	信息设计	0
8	9	博士	经验不限	面议	2020年03月21日	整车EEA规划及开发岗-32	济南-高新区	中国重型汽车集团有限公司	https://www.liepin.com/job/1926856029.shtml	https://www.liepin.com/company/9739005/	323	制造业500强	信息设计	0
9	10	本科及以上	经验不限	面议	2020年03月20日	用户体验资深设计师（UX/UI）- 技术部	上海-五角场	中联重科	https://www.liepin.com/job/1925898135.shtml	https://www.liepin.com/company/4450360/	323	制造业500强	信息设计	0
10	11	本科及以上	经验不限	面议	2020年03月20日	用户体验资深设计师（UX/UI）- 技术部	长沙-银盆岭	中联重科	https://www.liepin.com/job/1925898133.shtml	https://www.liepin.com/company/4450360/	323	制造业500强	信息设计	0
11	12	大专及以上	3-5年	6-10k·12薪	2020年03月18日	结构工程师	南昌	欧菲光	https://www.liepin.com/job/1926180113.shtml	https://www.liepin.com/company/856576/	323	制造业500强	信息设计	0
12	13	大专及以上	5-10年	15-25k·12薪	2020年02月25日	研发与质量流程推进顾问	湖州-长兴县	天能电池集团股份有限公司	https://www.liepin.com/job/1926224251.shtml	https://www.liepin.com/company/7870471/	323	制造业500强	信息设计	0
13	14	本科及以上	1-3年	10-20k·13薪	2020年02月22日	ED-交互设计师（希沃学院）(J11309)	广州	CVTE	https://www.liepin.com/job/1916636419.shtml	https://www.liepin.com/company/7854025/	323	制造业500强	信息设计	0
14	15	统招本科	5-10年	12-20k·14薪	2020年02月05日	商业空间设计师	北京	小米	https://www.liepin.com/job/1923346307.shtml	https://www.liepin.com/company/2174886/	323	制造业500强	信息设计	0
15	16	本科及以上	1-3年	10-15k·12薪	2020年01月20日	物流园区运维工程师	天津-北辰区	华北集团	https://www.liepin.com/job/1921940677.shtml	https://www.liepin.com/company/4217228/	323	制造业500强	信息设计	0
16	17	统招本科	3-5年	20-30k·13薪	2019年12月17日	ES-高级软件产品经理	广州	CVTE	https://www.liepin.com/job/1925141097.shtml	https://www.liepin.com/company/7854025/	323	制造业500强	信息设计	0
17	18	本科及以上	10年以上	80-110k·12薪	2019年11月07日	信息安全专家	南昌	双胞胎	https://www.liepin.com/job/1924598405.shtml	https://www.liepin.com/company/1962297/	323	制造业500强	信息设计	0
18	19	本科及以上	3-5年	面议	2019年10月23日	资深UED视觉设计师/总监	天津	天士力集团网	https://www.liepin.com/job/1921548703.shtml	https://www.liepin.com/company/6615613/	323	制造业500强	信息设计	0
19	20	本科及以上	3-5年	面议	2019年09月20日	内容运营与编辑	天津-北辰区	天士力集团网	https://www.liepin.com/job/1923586459.shtml	https://www.liepin.com/company/6615613/	323	制造业500强	信息设计	0
20	21	本科及以上	5-10年	20-40k·12薪	2019年08月14日	资深UED视觉设计师/总监	上海-浦东新区	天士力集团网	https://www.liepin.com/job/1922515583.shtml	https://www.liepin.com/company/6615613/	323	制造业500强	信息设计	0
21	22	大专及以上	3-5年	6-12k·12薪	2019年08月14日	培训经理	金华-义乌	新光控股集团	https://www.liepin.com/job/1919600147.shtml	https://www.liepin.com/company/8193803/	323	制造业500强	信息设计	0
22	23	本科及以上	5-10年	20-30k·12薪	2019年07月14日	ES-高级交互设计师（MAXHUB）(J11120)	广州-黄埔区	CVTE	https://www.liepin.com/job/1921532225.shtml	https://www.liepin.com/company/7854025/	323	制造业500强	信息设计	0
23	24	本科及以上	3-5年	14-20k·12薪	2019年07月14日	ES-交互设计师（MAXHUB）J10806	广州-黄埔区	CVTE	https://www.liepin.com/job/1921532215.shtml	https://www.liepin.com/company/7854025/	323	制造业500强	信息设计	0
