	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	3-5年	15-30k·12薪	2020年04月07日	交互设计师	北京-西北旺	科大讯飞	https://www.liepin.com/job/1917361257.shtml	https://www.liepin.com/company/4454894/	81	AI创新成长50强	界面设计	2
1	2	本科及以上	3-5年	面议	2020年04月02日	视觉专家	合肥	科大讯飞	https://www.liepin.com/job/1918060139.shtml	https://www.liepin.com/company/4454894/	81	AI创新成长50强	界面设计	2
2	3	本科及以上	3-5年	10-15k·15薪	2020年01月20日	交互设计师	上海-长宁区	明略科技集团	https://www.liepin.com/job/1925631655.shtml	https://www.liepin.com/company/8550487/	81	AI创新成长50强	界面设计	2
3	4	统招本科	3-5年	20-35k·12薪	2020年04月02日	高级web前端工程师	苏州-工业园区	北京爱特曼科技有限公司	https://www.liepin.com/job/1919403275.shtml	https://www.liepin.com/company/10022635/	81	AI创新成长50强	界面设计	2
4	5	统招本科	3-5年	20-35k·12薪	2020年04月02日	高级web前端工程师		北京爱特曼科技有限公司	https://www.liepin.com/job/1919403211.shtml	https://www.liepin.com/company/10022635/	81	AI创新成长50强	界面设计	2
5	6	本科及以上	3-5年	10-20k·14薪	2019年11月19日	视觉设计师-消费者BG-成都	成都-双流区	科大讯飞	https://www.liepin.com/job/1922715715.shtml	https://www.liepin.com/company/4454894/	81	AI创新成长50强	界面设计	2
6	7	统招本科	5-10年	15-30k·12薪	2019年08月12日	高级产品经理（智能硬件）-消费者事业群-合肥	合肥-蜀山区	科大讯飞	https://www.liepin.com/job/1922061081.shtml	https://www.liepin.com/company/4454894/	81	AI创新成长50强	界面设计	2
7	8	统招本科	3-5年	10-20k·12薪	2019年05月16日	软件产品经理-消费者事业群-北京	北京	科大讯飞	https://www.liepin.com/job/1919343291.shtml	https://www.liepin.com/company/4454894/	81	AI创新成长50强	界面设计	2
8	9	本科及以上	1-3年	面议	2020年03月03日	测试开发工程师	深圳-南山区	深圳视见医疗科技有限公司	https://www.liepin.com/job/1919502609.shtml	https://www.liepin.com/company/9386423/	81	AI创新成长50强	界面设计	2
9	10	本科及以上	3-5年	面议	2020年03月02日	软件开发工程师	深圳	奥比中光	https://www.liepin.com/job/1926366037.shtml	https://www.liepin.com/company/8055105/	81	AI创新成长50强	界面设计	2
10	11	统招本科	3-5年	面议	2020年02月10日	高级视觉设计师	深圳	SenseTime（商汤集团）	https://www.liepin.com/job/1923197203.shtml	https://www.liepin.com/company/8349238/	81	AI创新成长50强	界面设计	2
11	12	本科及以上	3-5年	8-15k·14薪	2020年02月03日	Android开发工程师-教育BG-青岛	青岛-黄岛区	科大讯飞	https://www.liepin.com/job/1925741127.shtml	https://www.liepin.com/company/4454894/	81	AI创新成长50强	界面设计	2
12	13	统招本科	3-5年	18-35k·12薪	2019年12月12日	机器人系统软件工程师-Android方向	北京-望京	深圳前海达闼科技有限公司	https://www.liepin.com/job/1912944105.shtml	https://www.liepin.com/company/8487902/	81	AI创新成长50强	界面设计	2
13	14	统招本科	1-3年	面议	2019年12月09日	产品经理-智能服务事业部-武汉	武汉-关山	科大讯飞	https://www.liepin.com/job/1925200169.shtml	https://www.liepin.com/company/4454894/	81	AI创新成长50强	界面设计	2
14	15	本科及以上	3-5年	8-16k·12薪	2019年11月01日	设计师-消费者BG-合肥	合肥	科大讯飞	https://www.liepin.com/job/1915890265.shtml	https://www.liepin.com/company/4454894/	81	AI创新成长50强	界面设计	2
15	16	大专及以上	1-3年	10-15k·12薪	2019年07月04日	web前端	无锡	极课大数据	https://www.liepin.com/job/1919956447.shtml	https://www.liepin.com/company/8130653/	81	AI创新成长50强	界面设计	2
16	17	本科及以上	5-10年	10-20k·12薪	2019年07月02日	产品经理（OS）-消费者事业群-合肥	合肥-蜀山区	科大讯飞	https://www.liepin.com/job/1917306469.shtml	https://www.liepin.com/company/4454894/	81	AI创新成长50强	界面设计	2
17	18	本科及以上	1-3年	面议	2019年06月19日	前端开发工程师		旷视科技	https://www.liepin.com/job/1920844567.shtml	https://www.liepin.com/company/7858396/	81	AI创新成长50强	界面设计	2
18	19	本科及以上	3-5年	面议	2019年05月13日	高级web前端开发工程师	北京-中关村	海云数据	https://www.liepin.com/job/1914260014.shtml	https://www.liepin.com/company/7856749/	81	AI创新成长50强	界面设计	2
19	20	本科及以上	5-10年	35-45k·12薪	2019年04月24日	设计总监	上海	上海乂学教育科技有限公司	https://www.liepin.com/job/1919427501.shtml	https://www.liepin.com/company/8533447/	81	AI创新成长50强	界面设计	2
20	21	本科及以上	3-5年	15-25k·12薪	2019年04月12日	unity3d开发工程师	北京	特斯联	https://www.liepin.com/job/1919147251.shtml	https://www.liepin.com/company/8757657/	81	AI创新成长50强	界面设计	2
