	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	经验不限	10-20k·12薪	2020年02月14日	Unity3D工程师	上海-张江	奥比中光	https://www.liepin.com/job/1920523909.shtml	https://www.liepin.com/company/8055105/	87	AI创新成长50强	UI设计	3
1	2	统招本科	1-3年	15-25k·15薪	2020年01月20日	前端开发工程师	上海-中山公园	明略科技集团	https://www.liepin.com/job/1921005677.shtml	https://www.liepin.com/company/8550487/	87	AI创新成长50强	UI设计	3
2	3	统招本科	3-5年	25-35k·13薪	2019年09月04日	产品经理	北京	明略科技集团	https://www.liepin.com/job/1916780747.shtml	https://www.liepin.com/company/8550487/	87	AI创新成长50强	UI设计	3
3	4	统招本科	3-5年	25-30k·12薪	2019年09月02日	高级测试开发工程师（深圳）	深圳-南山区	SenseTime（商汤集团）	https://www.liepin.com/job/1922748151.shtml	https://www.liepin.com/company/8349238/	87	AI创新成长50强	UI设计	3
4	5	本科及以上	3-5年	15-25k·15薪	2019年08月28日	高级产品/项目经理	上海	依图	https://www.liepin.com/job/1922967065.shtml	https://www.liepin.com/company/8812425/	87	AI创新成长50强	UI设计	3
5	6	统招本科	3-5年	面议	2019年07月26日	前端工程师（高级）	北京	北京智齿博创科技有限公司	https://www.liepin.com/job/1915709771.shtml	https://www.liepin.com/company/8414518/	87	AI创新成长50强	UI设计	3
6	7	学历不限	经验不限	20-40k·15薪	2019年04月02日	游戏设计师	深圳	SenseTime（商汤集团）	https://www.liepin.com/job/1918883455.shtml	https://www.liepin.com/company/8349238/	87	AI创新成长50强	UI设计	3
7	8	学历不限	经验不限	20-40k·15薪	2019年04月02日	游戏设计师	上海	SenseTime（商汤集团）	https://www.liepin.com/job/1918883453.shtml	https://www.liepin.com/company/8349238/	87	AI创新成长50强	UI设计	3
8	9	学历不限	经验不限	20-40k·15薪	2019年04月02日	游戏设计师	北京	SenseTime（商汤集团）	https://www.liepin.com/job/1918883451.shtml	https://www.liepin.com/company/8349238/	87	AI创新成长50强	UI设计	3
9	10	本科及以上	5-10年	30-40k·12薪	2019年02月20日	高级web开发工程师		SenseTime（商汤集团）	https://www.liepin.com/job/1917688311.shtml	https://www.liepin.com/company/8349238/	87	AI创新成长50强	UI设计	3
10	11	本科及以上	1-3年	20-30k·12薪	2019年02月20日	web开发工程师		SenseTime（商汤集团）	https://www.liepin.com/job/1917686677.shtml	https://www.liepin.com/company/8349238/	87	AI创新成长50强	UI设计	3
11	12	本科及以上	3-5年	面议	2020年03月19日	软件开发工程师	深圳	深圳视见医疗科技有限公司	https://www.liepin.com/job/1926791867.shtml	https://www.liepin.com/company/9386423/	87	AI创新成长50强	UI设计	3
12	13	本科及以上	5-10年	面议	2020年03月10日	测试开发工程师or经理	上海-徐汇区	SenseTime（商汤集团）	https://www.liepin.com/job/1926571185.shtml	https://www.liepin.com/company/8349238/	87	AI创新成长50强	UI设计	3
13	14	本科及以上	5-10年	面议	2020年03月09日	测试开发经理	深圳-南山区	SenseTime（商汤集团）	https://www.liepin.com/job/1926541621.shtml	https://www.liepin.com/company/8349238/	87	AI创新成长50强	UI设计	3
14	15	本科及以上	5-10年	20-40k·14薪	2020年03月16日	高级测试开发工程师 (MJ000277)	深圳-南山区	深圳追一科技有限公司	https://www.liepin.com/job/1920264913.shtml	https://www.liepin.com/company/8848920/	87	AI创新成长50强	UI设计	3
15	16	本科及以上	3-5年	10-12k·12薪	2020年02月11日	前端开发-青岛	青岛-黄岛区	科大讯飞	https://www.liepin.com/job/1925998623.shtml	https://www.liepin.com/company/4454894/	87	AI创新成长50强	UI设计	3
16	17	本科及以上	3-5年	18-36k·15薪	2020年02月10日	高级iOS开发工程师		SenseTime（商汤集团）	https://www.liepin.com/job/1924616497.shtml	https://www.liepin.com/company/8349238/	87	AI创新成长50强	UI设计	3
17	18	统招本科	3-5年	25-50k·15薪	2020年02月10日	andriod开发工程师		SenseTime（商汤集团）	https://www.liepin.com/job/1924269085.shtml	https://www.liepin.com/company/8349238/	87	AI创新成长50强	UI设计	3
18	19	统招本科	3-5年	20-40k·14薪	2020年02月07日	前端开发工程师	深圳	旷视科技	https://www.liepin.com/job/1925965733.shtml	https://www.liepin.com/company/7858396/	87	AI创新成长50强	UI设计	3
19	20	本科及以上	5-10年	25-40k·12薪	2020年02月07日	资深前端开发工程师	北京-五道口	旷视科技	https://www.liepin.com/job/1925962603.shtml	https://www.liepin.com/company/7858396/	87	AI创新成长50强	UI设计	3
20	21	统招本科	3-5年	8-15k·14薪	2020年02月04日	Web前端开发-教育BG-合肥	合肥-高新区	科大讯飞	https://www.liepin.com/job/1925921487.shtml	https://www.liepin.com/company/4454894/	87	AI创新成长50强	UI设计	3
21	22	统招本科	3-5年	8-15k·14薪	2020年02月03日	Web前端开发-教育BG-青岛	青岛-黄岛区	科大讯飞	https://www.liepin.com/job/1925741097.shtml	https://www.liepin.com/company/4454894/	87	AI创新成长50强	UI设计	3
22	23	本科及以上	5-10年	面议	2020年01月13日	产品经理（CRM）	北京	明略科技集团	https://www.liepin.com/job/1925764667.shtml	https://www.liepin.com/company/8550487/	87	AI创新成长50强	UI设计	3
23	24	本科及以上	1-3年	10-25k·12薪	2019年12月25日	Unity开发工程师	成都-高新区	深圳前海达闼科技有限公司	https://www.liepin.com/job/1920414775.shtml	https://www.liepin.com/company/8487902/	87	AI创新成长50强	UI设计	3
24	25	统招本科	3-5年	面议	2019年12月09日	视觉设计工程师-智能服务事业部	合肥-蜀山区	科大讯飞	https://www.liepin.com/job/1925207361.shtml	https://www.liepin.com/company/4454894/	87	AI创新成长50强	UI设计	3
25	26	统招本科	5-10年	15-30k·12薪	2019年11月22日	产品经理(J10494)	北京-望京	明略科技集团	https://www.liepin.com/job/1924902883.shtml	https://www.liepin.com/company/8550487/	87	AI创新成长50强	UI设计	3
26	27	统招本科	3-5年	15-25k·12薪	2019年11月22日	产品经理-服装中台(J11080)	北京	明略科技集团	https://www.liepin.com/job/1924902071.shtml	https://www.liepin.com/company/8550487/	87	AI创新成长50强	UI设计	3
27	28	大专及以上	1-3年	8-12k·12薪	2019年11月14日	android开发工程师	广州-越秀区	海云数据	https://www.liepin.com/job/1920845793.shtml	https://www.liepin.com/company/7856749/	87	AI创新成长50强	UI设计	3
28	29	本科及以上	3-5年	25-40k·12薪	2019年11月12日	金融科技高级产品经理		特斯联	https://www.liepin.com/job/1924699369.shtml	https://www.liepin.com/company/8757657/	87	AI创新成长50强	UI设计	3
