	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	统招本科	3-5年	10-20k·12薪	2020年04月23日	中级视觉设计工程师-上海	上海-闵行区	科大讯飞	https://www.liepin.com/job/1927457227.shtml	https://www.liepin.com/company/4454894/	89	AI创新成长50强	视觉设计	0
1	2	本科及以上	3-5年	14-24k·12薪	2020年04月23日	视觉设计师-输入法-合肥		科大讯飞	https://www.liepin.com/job/1927194781.shtml	https://www.liepin.com/company/4454894/	89	AI创新成长50强	视觉设计	0
2	3	统招本科	3-5年	10-20k·12薪	2020年04月23日	中级视觉设计工程师-合肥	合肥-高新区	科大讯飞	https://www.liepin.com/job/1927150917.shtml	https://www.liepin.com/company/4454894/	89	AI创新成长50强	视觉设计	0
3	4	统招本科	5-10年	20-35k·12薪	2020年04月23日	高级视觉设计工程师-上海	上海-七宝	科大讯飞	https://www.liepin.com/job/1926790701.shtml	https://www.liepin.com/company/4454894/	89	AI创新成长50强	视觉设计	0
4	5	本科及以上	3-5年	8-10k·15薪	2020年04月21日	视觉设计师	合肥	科大讯飞	https://www.liepin.com/job/1927617261.shtml	https://www.liepin.com/company/4454894/	89	AI创新成长50强	视觉设计	0
5	6	统招本科	1-3年	8-15k·12薪	2020年04月21日	视觉设计工程师-UI	青岛-黄岛区	科大讯飞	https://www.liepin.com/job/1925964393.shtml	https://www.liepin.com/company/4454894/	89	AI创新成长50强	视觉设计	0
6	7	本科及以上	经验不限	4-8k·12薪	2020年03月27日	视觉设计实习生	上海	SenseTime（商汤集团）	https://www.liepin.com/job/1927001159.shtml	https://www.liepin.com/company/8349238/	89	AI创新成长50强	视觉设计	0
7	8	学历不限	3-5年	15-30k·15薪	2020年03月27日	产品视觉设计师 UI Designer	北京-立水桥	爱笔(北京)智能科技有限公司	https://www.liepin.com/job/1923940717.shtml	https://www.liepin.com/company/9402103/	89	AI创新成长50强	视觉设计	0
8	9	统招本科	3-5年	15-30k·12薪	2020年03月10日	创意平面视觉设计师	北京-立水桥	爱笔(北京)智能科技有限公司	https://www.liepin.com/job/1921539051.shtml	https://www.liepin.com/company/9402103/	89	AI创新成长50强	视觉设计	0
9	10	本科及以上	3-5年	16-32k·15薪	2020年02月10日	高级视觉设计师(产品UI方向)	深圳-科技园	SenseTime（商汤集团）	https://www.liepin.com/job/1925703923.shtml	https://www.liepin.com/company/8349238/	89	AI创新成长50强	视觉设计	0
10	11	本科及以上	3-5年	面议	2020年02月10日	资深视觉设计师(数据可视化方向)	深圳-科技园	SenseTime（商汤集团）	https://www.liepin.com/job/1925703859.shtml	https://www.liepin.com/company/8349238/	89	AI创新成长50强	视觉设计	0
11	12	本科及以上	3-5年	面议	2020年02月10日	资深视觉设计师(数据可视化方向)	上海-漕河泾	SenseTime（商汤集团）	https://www.liepin.com/job/1925703857.shtml	https://www.liepin.com/company/8349238/	89	AI创新成长50强	视觉设计	0
12	13	统招本科	3-5年	面议	2020年02月10日	高级视觉设计师	深圳	SenseTime（商汤集团）	https://www.liepin.com/job/1923197203.shtml	https://www.liepin.com/company/8349238/	89	AI创新成长50强	视觉设计	0
13	14	统招本科	3-5年	面议	2020年02月01日	视觉设计师-品牌市场部-合肥	合肥	科大讯飞	https://www.liepin.com/job/1925904725.shtml	https://www.liepin.com/company/4454894/	89	AI创新成长50强	视觉设计	0
14	15	本科及以上	3-5年	15-25k·12薪	2020年01月07日	视觉设计师（大屏展示）	北京-中关村	旷视科技	https://www.liepin.com/job/1925678303.shtml	https://www.liepin.com/company/7858396/	89	AI创新成长50强	视觉设计	0
15	16	统招本科	3-5年	12-24k·12薪	2019年12月12日	GUI视觉设计师	北京-望京	深圳前海达闼科技有限公司	https://www.liepin.com/job/1915240209.shtml	https://www.liepin.com/company/8487902/	89	AI创新成长50强	视觉设计	0
16	17	统招本科	3-5年	面议	2019年12月09日	视觉设计工程师-智能服务事业部	合肥-蜀山区	科大讯飞	https://www.liepin.com/job/1925207361.shtml	https://www.liepin.com/company/4454894/	89	AI创新成长50强	视觉设计	0
17	18	本科及以上	3-5年	10-20k·14薪	2019年11月19日	视觉设计师-消费者BG-成都	成都-双流区	科大讯飞	https://www.liepin.com/job/1922715715.shtml	https://www.liepin.com/company/4454894/	89	AI创新成长50强	视觉设计	0
18	19	统招本科	5-10年	12-18k·14薪	2019年11月01日	高级视觉设计师-消费者BG-合肥	合肥-蜀山区	科大讯飞	https://www.liepin.com/job/1921899465.shtml	https://www.liepin.com/company/4454894/	89	AI创新成长50强	视觉设计	0
19	20	统招本科	3-5年	面议	2019年10月17日	GUI视觉设计师	北京	深圳前海达闼科技有限公司	https://www.liepin.com/job/1924185773.shtml	https://www.liepin.com/company/8487902/	89	AI创新成长50强	视觉设计	0
20	21	大专及以上	3-5年	10-15k·12薪	2019年04月19日	视觉/UI设计师（GUI）	苏州	极课大数据	https://www.liepin.com/job/1916606149.shtml	https://www.liepin.com/company/8130653/	89	AI创新成长50强	视觉设计	0
21	22	统招本科	3-5年	面议	2018年12月19日	高级UI视觉设计师	深圳-蛇口	SenseTime（商汤集团）	https://www.liepin.com/job/1916322555.shtml	https://www.liepin.com/company/8349238/	89	AI创新成长50强	视觉设计	0
22	23	大专及以上	3-5年	面议	2020年02月14日	平面设计师	深圳	奥比中光	https://www.liepin.com/job/1926020709.shtml	https://www.liepin.com/company/8055105/	89	AI创新成长50强	视觉设计	0
23	24	本科及以上	1-3年	10-15k·12薪	2019年12月30日	平面设计师	北京	深圳前海达闼科技有限公司	https://www.liepin.com/job/1923517169.shtml	https://www.liepin.com/company/8487902/	89	AI创新成长50强	视觉设计	0
24	25	本科及以上	3-5年	10-18k·12薪	2019年03月21日	游戏化教育产品资深UI/原画美术设计师	上海	上海乂学教育科技有限公司	https://www.liepin.com/job/1918567037.shtml	https://www.liepin.com/company/8533447/	89	AI创新成长50强	视觉设计	0
25	26	本科及以上	3-5年	10-15k·13薪	2020年04月24日	UI设计师	上海	上海擎创信息技术有限公司	https://www.liepin.com/job/1926838481.shtml	https://www.liepin.com/company/9173769/	89	AI创新成长50强	视觉设计	0
26	27	本科及以上	5-10年	16-28k·14薪	2020年04月23日	高级交互设计工程师-输入法		科大讯飞	https://www.liepin.com/job/1927651617.shtml	https://www.liepin.com/company/4454894/	89	AI创新成长50强	视觉设计	0
27	28	本科及以上	3-5年	15-18k·12薪	2020年04月23日	UX/UE设计师（工具-上海）	上海-塘桥	群核信息技术	https://www.liepin.com/job/1927706837.shtml	https://www.liepin.com/company/7810920/	89	AI创新成长50强	视觉设计	0
28	29	本科及以上	3-5年	17-25k·12薪	2020年04月22日	资深UI设计师	杭州-拱墅区	群核信息技术	https://www.liepin.com/job/1927314387.shtml	https://www.liepin.com/company/7810920/	89	AI创新成长50强	视觉设计	0
29	30	学历不限	3-5年	15-18k·12薪	2020年04月22日	高级营销推广设计师 (MJ002385)	杭州-拱墅区	群核信息技术	https://www.liepin.com/job/1927646781.shtml	https://www.liepin.com/company/7810920/	89	AI创新成长50强	视觉设计	0
30	31	本科及以上	3-5年	20-30k·12薪	2020年04月22日	UX/UE设计师（上海）	上海-塘桥	群核信息技术	https://www.liepin.com/job/1926369499.shtml	https://www.liepin.com/company/7810920/	89	AI创新成长50强	视觉设计	0
31	32	本科及以上	3-5年	18-28k·12薪	2020年04月22日	UX/UE设计师（杭州）	杭州-拱墅区	群核信息技术	https://www.liepin.com/job/1926366451.shtml	https://www.liepin.com/company/7810920/	89	AI创新成长50强	视觉设计	0
32	33	本科及以上	3-5年	面议	2020年04月22日	云平台 TPM（Core - Devops）	北京	旷视科技	https://www.liepin.com/job/1927673107.shtml	https://www.liepin.com/company/7858396/	89	AI创新成长50强	视觉设计	0
33	34	统招本科	5-10年	15-30k·12薪	2020年04月22日	产品经理	上海-张江	苏州思必驰	https://www.liepin.com/job/1926702187.shtml	https://www.liepin.com/company/4270001/	89	AI创新成长50强	视觉设计	0
34	35	本科及以上	3-5年	15-21k·12薪	2020年04月22日	高级UX设计师（平台生态）	杭州-拱墅区	群核信息技术	https://www.liepin.com/job/1927313863.shtml	https://www.liepin.com/company/7810920/	89	AI创新成长50强	视觉设计	0
35	36	本科及以上	5-10年	15-30k·12薪	2020年04月22日	市场经理	上海-长宁区	依图	https://www.liepin.com/job/1925346011.shtml	https://www.liepin.com/company/8812425/	89	AI创新成长50强	视觉设计	0
36	37	硕士及以上	3-5年	面议	2020年04月22日	图像算法工程师	武汉-光谷	黑芝麻智能科技(上海)有限公司	https://www.liepin.com/job/1917336245.shtml	https://www.liepin.com/company/9378696/	89	AI创新成长50强	视觉设计	0
37	38	大专及以上	1-3年	8-12k·12薪	2020年04月21日	web前端开发工程师	南京	小视科技	https://www.liepin.com/job/1927504985.shtml	https://www.liepin.com/company/8735113/	89	AI创新成长50强	视觉设计	0
38	39	统招本科	3-5年	15-20k·12薪	2020年04月21日	UED经理	青岛-黄岛区	科大讯飞	https://www.liepin.com/job/1925964369.shtml	https://www.liepin.com/company/4454894/	89	AI创新成长50强	视觉设计	0
39	40	本科及以上	5-10年	面议	2020年04月17日	研究院-计算平台产品leader	北京	SenseTime（商汤集团）	https://www.liepin.com/job/1924994663.shtml	https://www.liepin.com/company/8349238/	89	AI创新成长50强	视觉设计	0
