	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	5-10年	面议	2020年04月17日	研究院-计算平台产品leader	北京	SenseTime（商汤集团）	https://www.liepin.com/job/1924994663.shtml	https://www.liepin.com/company/8349238/	95	AI创新成长50强	交互设计	3
1	2	本科及以上	5-10年	10-20k·15薪	2020年04月17日	高级产品经理（平台方向）	北京	SenseTime（商汤集团）	https://www.liepin.com/job/1924944627.shtml	https://www.liepin.com/company/8349238/	95	AI创新成长50强	交互设计	3
2	3	本科及以上	3-5年	15-25k·15薪	2020年04月16日	产品经理（AI-合肥）	合肥	科大讯飞	https://www.liepin.com/job/1925979389.shtml	https://www.liepin.com/company/4454894/	95	AI创新成长50强	交互设计	3
3	4	统招本科	3-5年	面议	2020年04月16日	用户运营经理-讯飞读写-合肥	合肥	科大讯飞	https://www.liepin.com/job/1924816547.shtml	https://www.liepin.com/company/4454894/	95	AI创新成长50强	交互设计	3
4	5	本科及以上	5-10年	面议	2020年04月16日	质量/测试经理	上海-金桥	黑芝麻智能科技(上海)有限公司	https://www.liepin.com/job/1922709023.shtml	https://www.liepin.com/company/9378696/	95	AI创新成长50强	交互设计	3
5	6	本科及以上	3-5年	10-20k·14薪	2020年04月16日	客户经理-教育	武汉-光谷	科大讯飞	https://www.liepin.com/job/1915033291.shtml	https://www.liepin.com/company/4454894/	95	AI创新成长50强	交互设计	3
6	7	本科及以上	3-5年	面议	2020年04月15日	前端开发工程师	上海-古北	依图	https://www.liepin.com/job/1927459621.shtml	https://www.liepin.com/company/8812425/	95	AI创新成长50强	交互设计	3
7	8	本科及以上	3-5年	13-20k·12薪	2020年04月15日	产品经理	上海-普陀区	奥比中光	https://www.liepin.com/job/1922171483.shtml	https://www.liepin.com/company/8055105/	95	AI创新成长50强	交互设计	3
8	9	本科及以上	5-10年	15-30k·14薪	2020年04月16日	Android 架构师	武汉-洪山区	科大讯飞	https://www.liepin.com/job/1914744346.shtml	https://www.liepin.com/company/4454894/	95	AI创新成长50强	交互设计	3
9	10	本科及以上	5-10年	面议	2020年04月13日	产品线总经理	深圳	深圳市优必选科技股份有限公司	https://www.liepin.com/job/1915774319.shtml	https://www.liepin.com/company/8095160/	95	AI创新成长50强	交互设计	3
10	11	统招本科	5-10年	面议	2020年04月13日	产品总监	深圳	深圳市优必选科技股份有限公司	https://www.liepin.com/job/1912475644.shtml	https://www.liepin.com/company/8095160/	95	AI创新成长50强	交互设计	3
