	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	3-5年	面议	2020年04月22日	云平台 TPM（Core - Devops）	北京	旷视科技	https://www.liepin.com/job/1927673107.shtml	https://www.liepin.com/company/7858396/	104	AI创新成长50强	用户体验	2
1	2	本科及以上	5-10年	30-40k·12薪	2020年04月22日	算法专家 (MJ002318)	杭州-拱墅区	群核信息技术	https://www.liepin.com/job/1927653299.shtml	https://www.liepin.com/company/7810920/	104	AI创新成长50强	用户体验	2
2	3	本科及以上	5-10年	25-35k·12薪	2020年04月22日	流程管理专家	杭州-拱墅区	群核信息技术	https://www.liepin.com/job/1926366245.shtml	https://www.liepin.com/company/7810920/	104	AI创新成长50强	用户体验	2
3	4	统招本科	3-5年	15-25k·12薪	2020年04月22日	React-Native开发工程师	上海-徐汇区	特斯联	https://www.liepin.com/job/1924546311.shtml	https://www.liepin.com/company/8757657/	104	AI创新成长50强	用户体验	2
4	5	本科及以上	3-5年	10-20k·12薪	2020年04月21日	软件开发工程师-web前端	广州-黄埔区	科大讯飞	https://www.liepin.com/job/1924602615.shtml	https://www.liepin.com/company/4454894/	104	AI创新成长50强	用户体验	2
5	6	大专及以上	1-3年	8-12k·12薪	2020年04月21日	web前端开发工程师	南京	小视科技	https://www.liepin.com/job/1927504985.shtml	https://www.liepin.com/company/8735113/	104	AI创新成长50强	用户体验	2
6	7	统招本科	3-5年	5-7k·12薪	2020年04月21日	运营专家（客服中心）		科大讯飞	https://www.liepin.com/job/1926754849.shtml	https://www.liepin.com/company/4454894/	104	AI创新成长50强	用户体验	2
7	8	学历不限	3-5年	20-45k·12薪	2020年04月21日	产品经理/总监 (MJ001639)	杭州-西溪	依图	https://www.liepin.com/job/1921631097.shtml	https://www.liepin.com/company/8812425/	104	AI创新成长50强	用户体验	2
8	9	本科及以上	3-5年	8-13k·14薪	2020年04月21日	产品经理	合肥	科大讯飞	https://www.liepin.com/job/1927626487.shtml	https://www.liepin.com/company/4454894/	104	AI创新成长50强	用户体验	2
9	10	本科及以上	3-5年	15-20k·12薪	2020年04月21日	web前端工程师	北京	北京智齿博创科技有限公司	https://www.liepin.com/job/1927376627.shtml	https://www.liepin.com/company/8414518/	104	AI创新成长50强	用户体验	2
