	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	统招本科	3-5年	13-26k·14薪	2019年12月25日	用户研究员（老年人心理方向）	北京	深圳前海达闼科技有限公司	https://www.liepin.com/job/1921587537.shtml	https://www.liepin.com/company/8487902/	116	AI创新成长50强	体验设计	4
1	2	本科及以上	3-5年	面议	2020年04月02日	视觉专家	合肥	科大讯飞	https://www.liepin.com/job/1918060139.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
2	3	统招本科	5-10年	面议	2019年10月22日	资深UI设计师	上海-徐汇区	SenseTime（商汤集团）	https://www.liepin.com/job/1922989193.shtml	https://www.liepin.com/company/8349238/	116	AI创新成长50强	体验设计	4
3	4	统招本科	5-10年	30-40k·12薪	2019年05月06日	高级前端开发工程师	北京	旷视科技	https://www.liepin.com/job/1919530027.shtml	https://www.liepin.com/company/7858396/	116	AI创新成长50强	体验设计	4
4	5	本科及以上	5-10年	32-45k·14薪	2019年04月19日	产品总监	上海-漕河泾	上海乂学教育科技有限公司	https://www.liepin.com/job/1919328381.shtml	https://www.liepin.com/company/8533447/	116	AI创新成长50强	体验设计	4
5	6	统招本科	3-5年	8-10k·14薪	2019年03月01日	产品经理	合肥	科大讯飞	https://www.liepin.com/job/1918002927.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
6	7	本科及以上	5-10年	30-40k·12薪	2019年02月20日	高级产品经理(APP方向)		SenseTime（商汤集团）	https://www.liepin.com/job/1917689207.shtml	https://www.liepin.com/company/8349238/	116	AI创新成长50强	体验设计	4
7	8	本科及以上	3-5年	10-16k·12薪	2020年03月31日	客户经理-医疗行业-销委会-上海	上海-徐汇区	科大讯飞	https://www.liepin.com/job/1926361737.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
8	9	本科及以上	3-5年	9-15k·12薪	2020年03月31日	客户经理-教育行业-销委会-西安	西安	科大讯飞	https://www.liepin.com/job/1926361439.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
9	10	本科及以上	3-5年	9-15k·12薪	2020年03月31日	客户经理-医疗方向-销委会-新疆	乌鲁木齐	科大讯飞	https://www.liepin.com/job/1926361295.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
10	11	本科及以上	3-5年	8-15k·12薪	2020年03月31日	客户经理-教育方向-销委会-新疆	乌鲁木齐	科大讯飞	https://www.liepin.com/job/1926121095.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
11	12	本科及以上	5-10年	12-16k·12薪	2020年03月31日	客户经理-教育方向-销委会-上海	上海-岳阳	科大讯飞	https://www.liepin.com/job/1926050903.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
12	13	本科及以上	3-5年	8-13k·12薪	2020年03月31日	客户经理-医疗方向	乌鲁木齐	科大讯飞	https://www.liepin.com/job/1926015505.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
13	14	本科及以上	3-5年	8-13k·12薪	2020年03月31日	客户经理—教育	上海	科大讯飞	https://www.liepin.com/job/1925939897.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
14	15	本科及以上	3-5年	8-13k·12薪	2020年03月31日	客户经理—医疗	西安	科大讯飞	https://www.liepin.com/job/1925939759.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
15	16	本科及以上	3-5年	8-13k·12薪	2020年03月31日	客户经理—教育	西安	科大讯飞	https://www.liepin.com/job/1925939707.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
16	17	统招本科	3-5年	20-40k·15薪	2020年03月26日	产品经理 （3D/AI方向）		爱笔(北京)智能科技有限公司	https://www.liepin.com/job/1925869177.shtml	https://www.liepin.com/company/9402103/	116	AI创新成长50强	体验设计	4
17	18	统招本科	5-10年	25-50k·14薪	2020年02月03日	AI边缘计算盒子产品经理		旷视科技	https://www.liepin.com/job/1925918625.shtml	https://www.liepin.com/company/7858396/	116	AI创新成长50强	体验设计	4
18	19	统招本科	3-5年	30-50k·14薪	2018年11月23日	高级产品经理		苏州思必驰	https://www.liepin.com/job/1914953301.shtml	https://www.liepin.com/company/4270001/	116	AI创新成长50强	体验设计	4
19	20	本科及以上	3-5年	面议	2020年03月04日	UI设计师	深圳-南山区	深圳视见医疗科技有限公司	https://www.liepin.com/job/1926321629.shtml	https://www.liepin.com/company/9386423/	116	AI创新成长50强	体验设计	4
20	21	统招本科	1-3年	面议	2019年12月09日	产品经理-智能服务事业部-武汉	武汉-关山	科大讯飞	https://www.liepin.com/job/1925200169.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
21	22	统招本科	5-10年	25-40k·12薪	2019年08月05日	UI负责人	上海-漕河泾	上海乂学教育科技有限公司	https://www.liepin.com/job/1922226563.shtml	https://www.liepin.com/company/8533447/	116	AI创新成长50强	体验设计	4
22	23	本科及以上	3-5年	10-25k·12薪	2019年05月23日	软件产品经理（教育方向）	深圳	深圳市优必选科技股份有限公司	https://www.liepin.com/job/1919740857.shtml	https://www.liepin.com/company/8095160/	116	AI创新成长50强	体验设计	4
23	24	本科及以上	5-10年	35-45k·12薪	2019年04月24日	设计总监	上海	上海乂学教育科技有限公司	https://www.liepin.com/job/1919427501.shtml	https://www.liepin.com/company/8533447/	116	AI创新成长50强	体验设计	4
24	25	本科及以上	5-10年	40-60k·12薪	2020年03月30日	前端专家	深圳	深圳市优必选科技股份有限公司	https://www.liepin.com/job/1927058473.shtml	https://www.liepin.com/company/8095160/	116	AI创新成长50强	体验设计	4
25	26	本科及以上	3-5年	面议	2020年03月19日	软件开发工程师	深圳	深圳视见医疗科技有限公司	https://www.liepin.com/job/1926791867.shtml	https://www.liepin.com/company/9386423/	116	AI创新成长50强	体验设计	4
26	27	本科及以上	5-10年	25-35k·12薪	2020年03月10日	品牌总监	上海-徐汇区	上海乂学教育科技有限公司	https://www.liepin.com/job/1926578457.shtml	https://www.liepin.com/company/8533447/	116	AI创新成长50强	体验设计	4
27	28	本科及以上	1-3年	15-20k·14薪	2020年03月10日	ai产品经理	广州	广州图普网络科技有限公司	https://www.liepin.com/job/1924642811.shtml	https://www.liepin.com/company/8341511/	116	AI创新成长50强	体验设计	4
28	29	本科及以上	5-10年	20-35k·12薪	2020年03月09日	品牌总监	上海-漕河泾	上海乂学教育科技有限公司	https://www.liepin.com/job/1926543771.shtml	https://www.liepin.com/company/8533447/	116	AI创新成长50强	体验设计	4
29	30	本科及以上	3-5年	10-12k·12薪	2020年02月11日	前端开发-青岛	青岛-黄岛区	科大讯飞	https://www.liepin.com/job/1925998623.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
30	31	统招本科	3-5年	8-15k·14薪	2020年02月07日	ios开发工程师-教育BG-合肥	合肥-高新区	科大讯飞	https://www.liepin.com/job/1925921881.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
31	32	统招本科	3-5年	8-15k·14薪	2020年02月04日	Web前端开发-教育BG-合肥	合肥-高新区	科大讯飞	https://www.liepin.com/job/1925921487.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
32	33	统招本科	3-5年	8-15k·14薪	2020年02月03日	Web前端开发-教育BG-青岛	青岛-黄岛区	科大讯飞	https://www.liepin.com/job/1925741097.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
33	34	本科及以上	5-10年	面议	2020年01月13日	产品经理（CRM）	北京	明略科技集团	https://www.liepin.com/job/1925764667.shtml	https://www.liepin.com/company/8550487/	116	AI创新成长50强	体验设计	4
34	35	统招本科	3-5年	30-60k·15薪	2020年01月13日	WebGL前端工程师	北京	爱笔(北京)智能科技有限公司	https://www.liepin.com/job/1916371057.shtml	https://www.liepin.com/company/9402103/	116	AI创新成长50强	体验设计	4
35	36	本科及以上	3-5年	15-25k·12薪	2020年01月07日	视觉设计师（大屏展示）	北京-中关村	旷视科技	https://www.liepin.com/job/1925678303.shtml	https://www.liepin.com/company/7858396/	116	AI创新成长50强	体验设计	4
36	37	本科及以上	3-5年	9-14k·12薪	2019年12月26日	产品经理	合肥	科大讯飞	https://www.liepin.com/job/1925512633.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
37	38	统招本科	5-10年	15-30k·12薪	2019年11月22日	产品经理(J10494)	北京-望京	明略科技集团	https://www.liepin.com/job/1924902883.shtml	https://www.liepin.com/company/8550487/	116	AI创新成长50强	体验设计	4
38	39	统招本科	3-5年	15-25k·12薪	2019年11月22日	产品经理-服装中台(J11080)	北京	明略科技集团	https://www.liepin.com/job/1924902071.shtml	https://www.liepin.com/company/8550487/	116	AI创新成长50强	体验设计	4
39	40	本科及以上	1-3年	10-20k·12薪	2019年11月01日	产品经理（智慧家庭）-消费者事业群-合肥	合肥-高新区	科大讯飞	https://www.liepin.com/job/1919391529.shtml	https://www.liepin.com/company/4454894/	116	AI创新成长50强	体验设计	4
