	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	统招本科	3-5年	面议	2019年12月09日	视觉设计工程师-智能服务事业部	合肥-蜀山区	科大讯飞	https://www.liepin.com/job/1925207361.shtml	https://www.liepin.com/company/4454894/	122	AI创新成长50强	服务设计	0
1	2	统招本科	3-5年	面议	2019年12月09日	交互设计工程师-智能服务事业部	合肥-蜀山区	科大讯飞	https://www.liepin.com/job/1925206877.shtml	https://www.liepin.com/company/4454894/	122	AI创新成长50强	服务设计	0
2	3	统招本科	3-5年	面议	2020年04月24日	Java开发工程师	北京	爱笔(北京)智能科技有限公司	https://www.liepin.com/job/1927747781.shtml	https://www.liepin.com/company/9402103/	122	AI创新成长50强	服务设计	0
3	4	本科及以上	5-10年	面议	2020年04月24日	大数据分析师-政法事业群-合肥		科大讯飞	https://www.liepin.com/job/1926744047.shtml	https://www.liepin.com/company/4454894/	122	AI创新成长50强	服务设计	0
4	5	统招本科	3-5年	15-20k·12薪	2020年04月24日	大数据开发工程师-开发方向-智慧城市BG-合肥	合肥-高新区	科大讯飞	https://www.liepin.com/job/1924723287.shtml	https://www.liepin.com/company/4454894/	122	AI创新成长50强	服务设计	0
5	6	本科及以上	5-10年	16-30k·12薪	2020年04月23日	高级Java开发工程师-消费者BG		科大讯飞	https://www.liepin.com/job/1927612105.shtml	https://www.liepin.com/company/4454894/	122	AI创新成长50强	服务设计	0
6	7	统招本科	1-3年	15-30k·12薪	2020年04月23日	web前端开发	上海	达而观信息科技(上海)有限公司	https://www.liepin.com/job/1926591465.shtml	https://www.liepin.com/company/9115247/	122	AI创新成长50强	服务设计	0
7	8	统招本科	5-10年	14-26k·12薪	2020年04月23日	高级Java工程师-合肥	合肥-高新区	科大讯飞	https://www.liepin.com/job/1925785427.shtml	https://www.liepin.com/company/4454894/	122	AI创新成长50强	服务设计	0
8	9	统招本科	5-10年	13-26k·12薪	2020年04月23日	产品经理 （飞鱼OS）-合肥	合肥-高新区	科大讯飞	https://www.liepin.com/job/1925731065.shtml	https://www.liepin.com/company/4454894/	122	AI创新成长50强	服务设计	0
9	10	本科及以上	3-5年	25-35k·14薪	2020年04月22日	服务器SDK TPM	北京	旷视科技	https://www.liepin.com/job/1927673187.shtml	https://www.liepin.com/company/7858396/	122	AI创新成长50强	服务设计	0
10	11	统招本科	5-10年	面议	2020年04月22日	技术项目经理（TPM）	北京	旷视科技	https://www.liepin.com/job/1927663715.shtml	https://www.liepin.com/company/7858396/	122	AI创新成长50强	服务设计	0
11	12	本科及以上	3-5年	15-25k·12薪	2020年04月22日	售前方案经理	上海-徐汇区	特斯联	https://www.liepin.com/job/1920515031.shtml	https://www.liepin.com/company/8757657/	122	AI创新成长50强	服务设计	0
12	13	本科及以上	3-5年	15-25k·15薪	2020年04月21日	金融行业咨询顾问（人工智能方向）	深圳-科技园	达而观信息科技(上海)有限公司	https://www.liepin.com/job/1927587687.shtml	https://www.liepin.com/company/9115247/	122	AI创新成长50强	服务设计	0
13	14	本科及以上	3-5年	15-25k·15薪	2020年04月21日	金融行业咨询顾问（人工智能方向）	成都-高新区	达而观信息科技(上海)有限公司	https://www.liepin.com/job/1927587685.shtml	https://www.liepin.com/company/9115247/	122	AI创新成长50强	服务设计	0
14	15	本科及以上	3-5年	15-25k·15薪	2020年04月21日	金融行业咨询顾问（人工智能方向）		达而观信息科技(上海)有限公司	https://www.liepin.com/job/1927587683.shtml	https://www.liepin.com/company/9115247/	122	AI创新成长50强	服务设计	0
15	16	本科及以上	3-5年	15-25k·15薪	2020年04月21日	金融行业咨询顾问（人工智能方向）	上海-张江	达而观信息科技(上海)有限公司	https://www.liepin.com/job/1927587681.shtml	https://www.liepin.com/company/9115247/	122	AI创新成长50强	服务设计	0
16	17	统招本科	3-5年	15-20k·12薪	2020年04月21日	高级软件开发工程师（C/C++）-智慧城市BG-合肥	合肥-高新区	科大讯飞	https://www.liepin.com/job/1924723223.shtml	https://www.liepin.com/company/4454894/	122	AI创新成长50强	服务设计	0
17	18	本科及以上	5-10年	面议	2020年04月20日	高级软件开发工程师	北京-西三旗	旷视科技	https://www.liepin.com/job/1927515707.shtml	https://www.liepin.com/company/7858396/	122	AI创新成长50强	服务设计	0
18	19	本科及以上	5-10年	20-40k·12薪	2020年04月17日	解决方案架构师	上海-徐汇区	SenseTime（商汤集团）	https://www.liepin.com/job/1926571111.shtml	https://www.liepin.com/company/8349238/	122	AI创新成长50强	服务设计	0
19	20	本科及以上	5-10年	20-40k·12薪	2020年04月17日	解决方案架构师		SenseTime（商汤集团）	https://www.liepin.com/job/1926571109.shtml	https://www.liepin.com/company/8349238/	122	AI创新成长50强	服务设计	0
20	21	统招本科	5-10年	面议	2020年04月17日	高级解决方案架构师		SenseTime（商汤集团）	https://www.liepin.com/job/1925144985.shtml	https://www.liepin.com/company/8349238/	122	AI创新成长50强	服务设计	0
21	22	统招本科	5-10年	面议	2020年04月17日	高级解决方案架构师	上海-徐汇区	SenseTime（商汤集团）	https://www.liepin.com/job/1925144983.shtml	https://www.liepin.com/company/8349238/	122	AI创新成长50强	服务设计	0
22	23	统招本科	5-10年	18-25k·12薪	2020年04月16日	系统架构师-教育BG-合肥	合肥-高新区	科大讯飞	https://www.liepin.com/job/1925840727.shtml	https://www.liepin.com/company/4454894/	122	AI创新成长50强	服务设计	0
23	24	本科及以上	5-10年	25-30k·14薪	2020年04月16日	Dev Lead	武汉	旷视科技	https://www.liepin.com/job/1924547403.shtml	https://www.liepin.com/company/7858396/	122	AI创新成长50强	服务设计	0
