	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	3-5年	10-15k·13薪	2020年04月24日	UI设计师	上海	上海擎创信息技术有限公司	https://www.liepin.com/job/1926838481.shtml	https://www.liepin.com/company/9173769/	123	AI创新成长50强	信息设计	0
1	2	本科及以上	3-5年	12-24k·14薪	2020年04月24日	产品经理（C端）-运营商BU-合肥	合肥-高新区	科大讯飞	https://www.liepin.com/job/1926346389.shtml	https://www.liepin.com/company/4454894/	123	AI创新成长50强	信息设计	0
2	3	统招本科	5-10年	15-25k·14薪	2020年04月24日	行业总监-智慧城市BG-合肥	合肥	科大讯飞	https://www.liepin.com/job/1925363123.shtml	https://www.liepin.com/company/4454894/	123	AI创新成长50强	信息设计	0
3	4	本科及以上	1-3年	7-15k·12薪	2020年04月22日	产品运营（智能设计）	杭州-拱墅区	群核信息技术	https://www.liepin.com/job/1927648323.shtml	https://www.liepin.com/company/7810920/	123	AI创新成长50强	信息设计	0
4	5	本科及以上	3-5年	17-25k·12薪	2020年04月22日	资深UI设计师	杭州-拱墅区	群核信息技术	https://www.liepin.com/job/1927314387.shtml	https://www.liepin.com/company/7810920/	123	AI创新成长50强	信息设计	0
5	6	本科及以上	3-5年	18-28k·12薪	2020年04月22日	资深交互设计师	杭州-拱墅区	群核信息技术	https://www.liepin.com/job/1926366743.shtml	https://www.liepin.com/company/7810920/	123	AI创新成长50强	信息设计	0
6	7	统招本科	1-3年	10-15k·12薪	2020年04月21日	交互设计工程师	青岛-黄岛区	科大讯飞	https://www.liepin.com/job/1925964379.shtml	https://www.liepin.com/company/4454894/	123	AI创新成长50强	信息设计	0
7	8	统招本科	3-5年	12-15k·14薪	2020年04月16日	安全研发工程师		科大讯飞	https://www.liepin.com/job/1927489049.shtml	https://www.liepin.com/company/4454894/	123	AI创新成长50强	信息设计	0
8	9	统招本科	3-5年	面议	2020年04月15日	高级安全专家		旷视科技	https://www.liepin.com/job/1925111103.shtml	https://www.liepin.com/company/7858396/	123	AI创新成长50强	信息设计	0
9	10	本科及以上	3-5年	15-30k·12薪	2020年04月07日	交互设计师	北京-西北旺	科大讯飞	https://www.liepin.com/job/1917361257.shtml	https://www.liepin.com/company/4454894/	123	AI创新成长50强	信息设计	0
