	i	sn	stats_code	size_htm
0	0	1910033980	200	97392
1	1	1910072901	200	94011
2	2	1910088706	200	97439
3	3	1910586808	200	98541
4	4	1910586882	200	98951
5	5	1910587029	200	99013
6	6	1910635545	200	98279
7	7	1910694126	200	99022
8	8	1910711275	200	96239
9	9	1910733940	200	96216
10	10	1910894685	200	102610
11	11	1910968129	200	94271
12	12	1911077517	200	96488
13	13	1911089254	200	101617
14	14	1911178720	200	99488
15	15	1911281076	200	99809
16	16	1911296076	200	98698
17	17	1911318111	200	97318
18	18	1911363405	200	93512
19	19	1911434367	200	97074
20	20	1911512063	200	97446
21	21	1911514554	200	96889
22	22	1911524861	200	99871
23	23	1911596468	200	97178
24	24	1911668004	200	98348
25	25	1911706269	200	102630
26	26	1911818317	200	99141
27	27	1911818320	200	100058
28	28	1911867372	200	98413
29	29	1911867453	200	99222
30	30	1911926644	200	97582
31	31	1912011676	200	98101
32	32	1912072122	200	98384
33	33	1912077345	200	96449
34	34	1912160943	200	97462
35	35	1912164751	200	93616
36	36	1912164760	200	90004
37	37	1912164778	200	96020
38	38	1912213000	200	94847
39	39	1912215533	200	92916
40	40	1912268479	200	100420
41	41	1912268519	200	97814
42	42	1912268689	200	97248
43	43	1912268703	200	98408
44	44	1912268792	200	98326
45	45	1912389520	200	96041
46	46	1912389567	200	95512
47	47	1912400859	200	99526
48	48	1912466044	200	95692
49	49	1912475644	200	99498
50	50	1912478319	200	96787
51	51	1912576508	200	93217
52	52	1912576545	200	99885
53	53	1912619943	200	97456
54	54	1912679611	200	98400
55	55	1912683288	200	99671
56	56	1912816161	200	98443
57	57	1912816249	200	99463
58	58	1912818560	200	94028
59	59	1912852946	200	99184
60	60	1912853677	200	101735
61	61	1912900316	200	100458
62	62	1912944105	200	104536
63	63	1912996260	200	93808
64	64	1913167146	200	95540
65	65	1913235468	200	98269
66	66	1913261320	200	95598
67	67	1913332983	200	97983
68	68	1913394445	200	91749
69	69	1913419456	200	97685
70	70	1913576139	200	97838
71	71	1913596776	200	98947
72	72	1913601838	200	92876
73	73	1913619196	200	96954
74	74	1913640838	200	96373
75	75	1913640902	200	97175
76	76	1913640952	200	96186
77	77	1913641626	200	89527
78	78	1913679211	200	95459
79	79	1913732700	200	91072
80	80	1913732701	200	83734
81	81	1913817127	200	97104
82	82	1913922349	200	95219
83	83	1913930943	200	98315
84	84	1913931158	200	98308
85	85	1913970499	200	101834
86	86	1914012557	200	96627
87	87	1914017154	200	94329
88	88	1914017158	200	89175
89	89	1914017194	200	74667
90	90	1914023631	200	93295
91	91	1914033459	200	95609
92	92	1914059998	200	96789
93	93	1914083022	200	98142
94	94	1914087708	200	99955
95	95	1914092836	200	95841
96	96	1914245367	200	97754
97	97	1914260014	200	96458
98	98	1914280279	200	82587
99	99	1914342417	200	96027
100	100	1914342425	200	96614
101	101	1914358938	200	95924
102	102	1914391734	200	99203
103	103	1914394706	200	95976
104	104	1914440742	200	102187
105	105	1914454062	200	94178
106	106	1914476768	200	98162
107	107	1914476841	200	94628
108	108	1914496529	200	96796
109	109	1914513163	200	96612
110	110	1914523719	200	99295
111	111	1914523958	200	97074
112	112	1914524830	200	97864
113	113	1914561417	200	95713
114	114	1914590537	200	96536
115	115	1914593685	200	97431
116	116	1914609812	200	94269
117	117	1914609952	200	94235
118	118	1914624863	200	96414
119	119	1914624866	200	90591
120	120	1914626726	200	98595
121	121	1914646411	200	98548
122	122	1914658755	200	97847
123	123	1914670411	200	97784
124	124	1914670412	200	97575
125	125	1914670752	200	99696
126	126	1914670924	200	99951
127	127	1914672875	200	99610
128	128	1914678701	200	90629
129	129	1914696781	200	100502
130	130	1914703628	200	98252
131	131	1914708740	200	98250
132	132	1914709783	200	95265
133	133	1914714704	200	94693
134	134	1914714741	200	98568
135	135	1914714845	200	90294
136	136	1914715591	200	99853
137	137	1914717320	200	94719
138	138	1914724632	200	105701
139	139	1914744346	200	101694
140	140	1914760088	200	96733
141	141	1914802733	200	93368
142	142	1914809766	200	97144
143	143	1914831397	200	99222
144	144	1914833668	200	96473
145	145	1914834044	200	97002
146	146	1914837471	200	96608
147	147	1914839950	200	101969
148	148	1914901978	200	99791
149	149	1914950494	200	91453
150	150	1914953301	200	99463
151	151	1914964893	200	99556
152	152	1915007003	200	93797
153	153	1915009359	200	102230
154	154	1915021004	200	96094
155	155	1915021013	200	95963
156	156	1915021024	200	96910
157	157	1915033291	200	104347
158	158	1915045536	200	100475
159	159	1915047498	200	99157
160	160	1915048768	200	97823
161	161	1915050985	200	95137
162	162	1915061189	200	99601
163	163	1915068991	200	100166
164	164	1915069109	200	100061
165	165	1915069269	200	99719
166	166	1915081919	200	97664
167	167	1915081981	200	86068
168	168	1915082203	200	98470
169	169	1915084927	200	91187
170	170	1915101809	200	101493
171	171	1915110844	200	92626
172	172	1915114937	200	100946
173	173	1915122671	200	100573
174	174	1915137453	200	94835
175	175	1915143292	200	96763
176	176	1915161881	200	89372
177	177	1915170867	200	89733
178	178	1915172313	200	101170
179	179	1915172314	200	98935
180	180	1915191391	200	95479
181	181	1915194519	200	95893
182	182	1915194667	200	89358
183	183	1915240209	200	99712
184	184	1915243072	200	97621
185	185	1915251746	200	99241
186	186	1915254018	200	94511
187	187	1915288668	200	94788
188	188	1915288703	200	91678
189	189	1915322803	200	91246
190	190	1915326760	200	99879
191	191	1915339794	200	95166
192	192	1915360745	200	96683
193	193	1915361563	200	76991
194	194	1915373067	200	101652
195	195	1915373200	200	92681
196	196	1915374874	200	103041
197	197	1915395279	200	95329
198	198	1915399279	200	95221
199	199	1915435215	200	96320
200	200	1915436432	200	94827
201	201	1915447304	200	95134
202	202	1915453850	200	96819
203	203	1915461711	200	100687
204	204	1915462696	200	102132
205	205	1915462744	200	101088
206	206	1915464880	200	97273
207	207	1915466904	200	96429
208	208	1915466905	200	94397
209	209	1915474478	200	98272
