	i	size_tsv	size_htm
0	0	40	222716
1	1	40	220255
2	2	40	219747
3	3	40	220214
4	4	40	221979
5	5	40	220192
6	6	40	224171
7	7	40	223136
8	8	8	120803
9	9	40	203111
10	10	40	231338
11	11	40	228808
12	12	40	225846
13	13	40	236704
14	14	40	235815
15	15	40	235698
16	16	40	223842
17	17	39	213435
18	18	0	77280
19	19	2	103303
20	20	40	223379
21	21	40	219838
22	22	40	219822
23	23	40	221383
24	24	40	223764
25	25	40	223554
26	26	40	222779
27	27	40	225961
28	28	5	111343
29	29	40	201690
30	30	40	222424
31	31	40	219302
32	32	40	219767
33	33	40	219820
34	34	40	221320
35	35	40	219845
36	36	40	217315
37	37	40	221481
38	38	4	107984
39	39	40	199393
40	40	40	220598
41	41	40	218473
42	42	40	222485
43	43	40	222800
44	44	40	222879
45	45	40	222762
46	46	40	216659
47	47	24	171601
48	48	0	77275
49	49	0	78205
50	50	40	237250
51	51	40	234241
52	52	40	236194
53	53	40	236125
54	54	40	236334
55	55	40	236217
56	56	40	233108
57	57	40	235828
58	58	3	105682
59	59	18	150053
